,comments
0,全程看左上角图片
1,失眠了
2,国士无双
3,战术后仰
4,懂了，四月底
5,国士无双
6,233
7,不是反对政策，但是我真想说:救救黑省大四的吧，看看线上毕业还有多久？
8,我们湖南已经几个月没有增长人数马上要开学了。
9,国士无双
10,河南 广州  像这样的省人口 比一个国家人口都多
11,钟老辛苦了
12,中国加油
13,其他人一动不动真可爱
14,一省包一国  不对一国对一国
15,加油
16,加油！
17,我4月7号就开学了
18,我
19,，
20,首尔网不好↑卡了
21,，233333
22,日本人退出群聊
23,钟老辛苦
24,韩国新增已经50以下了，整挺好
25,算算中国还是有上百个三甲医院那
26,我们4月6日就开学了，太幸运了
27,辛苦啦
28,嗯嗯
29,祖国加油
30,民为贵君为君
31,上学去
32,太想上学了
33,加油
34,面积藐视
35,中国必胜，加油！
36,来了来了
37,。
38,前面那个是江西的，初三还是高三？
39,还真是，浙江省等于一整个韩国
40,说的是人口 
41,运营
42,好可怕
43,加油加油！！！！！
44,一切都会好起来
45,辛苦了。
46,第六个同学，麻烦开下视频
47,这扎心了啊
48,哈哈哈哈哈哈
49,加油
50,中国加油
51,哈哈哈哈
52,我们都开学好几天了啊
53,钉钉了解一下
54,武汉加油
55,来了
56,，
57,我已经开学一周了（江西的）
58,钟老C位
59,哈哈哈
60,说实话吧，我还不想上学
61,。！。！。！！。！！
62,。！。！！。！。！。！。！。！
63,。！。！。！。！！。！。！。！。
64,！。！。！！。！。！。。！！。。！！！！。！！。。！！！。！。！！。！。。！。。！。。！。。。！。！！。！
65,哈哈哈哈哈
66,哈哈哈哈
67,划重点 要考
68,马上就开学咯
69,暗示了
70,钟老师强调了两次开学时间
71,一个省等于好几十个国家呀
72,国士无双
73,钟老师太对，老师太对
74,流行病学概念～
75,下面那个首尔大学教授断网了吗
76,一个省（的人数）等于一个国家（的人数），前面的弟弟语文老师怎么交的
77,一个省一个国家，楚国
78,我明天开学
79,一个省等于一个国家
80,武汉什么时候开学
81,我好想上学啊
82,内蒙古大学的不要走，呼和浩特
83,一键三连
84,武汉啥时候能开学？
85,辛苦了，希望疫情早结束
86,哈哈哈
87,是在认认真真听
88,韩国这次确实做的不错，比日本睁眼瞎好多了。
89,邢海明大使的脸好可爱啊
90,钟老辛苦了
91,哈哈哈哈哈
92,钟老辛苦了
93,是啊，加油啊
94,人口，差不多了
95,辛苦了
96,为钟院士打call
97,韩国控制确实是还不错
98,233
99,我们开学了都
100,那这些人进化了？还有抗体了
101,钟老辛苦了
102,说的好
103,韩国:那我们要锁国？
104,钟老辛苦了
105,我想念我的生活费
106,胶州的我瑟瑟发抖
107,中间帅哥确实太有魅力
108,哈哈
109,疫苗快点研制
110,我想念老子的同学了
111,江苏省在宿舍上网课呢
112,加油
113,广普
114,热乎的
115,韩国人好白
116,刚刚下课
117,唉
118,@江苏省
119,一个省差不多是个中型国了
120,我想赶紧开学，内蒙古的大学，我很想念我在学校里的朋友们
121,啊啊啊啊啊啊啊
122,大学呢
123,我不想上学
124,比如米国，那才叫爆发
125,中国太大啦，一个省（的领土）就等于一个国家啦
126,韩国打脸
127,韩国这次抗疫做的不错，希望中韩两国能在日后建立更深厚的友谊
128,挺好的
129,有
130,哈哈哈
131,怎么才这点弹幕
132,你瞧那中间的帅哥，多帅啊
133,来了
134,钟院士，中国人的骄傲
135,支持
136,来了
137,哈哈哈哈哈
138,湖北比两个韩国还要大
139,广普呀 狗头保命
140,厉害。精准。
141,韩国的疫情控制的不是很好嘛
142,世界人民都要挺住！
143,米国就是多地
144,哈哈哈
145,666
146,美国就是大爆发
147,三月底到四月底，快了
148,哈哈哈哈
149,哈哈哈哈哈哈哈哈哈
150,在现场
151,比如那谁谁谁
152,我们是人口大国
153,一个省等于一个国家
154,哈哈
155,嗯嗯
156,。
157,国士无双
158,国士无双
159,辛苦了
160,期待开学
161,特朗普：我怀疑你在说我，但我没有证据。
162,钟老加油！！
163,韩国也要挺住啊！加油！！
164,同意
165,一个省等于一个国家
166,，，，，，
167,沙发
168,快了
169,固的
170,不要开学
171,哈哈  欧洲人表示不服
172,国士无双
173,first
