,comments
0,手动点赞
1,危
2,提了辆车
3,普通人尽全力
4,都涨价了
5,没钱咋去吃啊
6,钱不够
7,大家加油花钱
8,没钱(=_=)
9,是的
10,活在新闻联播里
11,没钱
12,苦难辉煌
13,会玩哈哈哈omg
14,没钱
15,你们有钱。
16,今天湖北万达抽奖活动，我抽到了满一百减五十的券哦
17,手机没钱心里慌
18,发点钱吧 我去吃    增加消费
19,点了很多外卖
20,哈哈哈哈哈哈哈权叔
21,海底捞
22,小朱配琦哈哈哈哈哈哈哈
23,恰。。。。饭？？？
24,去年的那顿黄焖鸡是我最后一次下馆子了。。。
25,没钱啊
26,车贷 房贷 难呀
27,抱歉，还真有人天生就神通广大的咯
28,孙猴子也是拜师学的艺，没有睡天生神通广大
29,是
30,什么新品类这么神奇
31,危
32,是没下过篮球馆了
33,做口罩啊
34,权叔
35,恩
36,可惜富人饭量小，穷人没钱吃不好
37,没钱
38,这也是为什么乱世出英雄
39,哈哈哈哈
40,绥芬河在哭泣
41,暂停截“危”
42,是啊
43,海底捞吃相难看
44,疫情后主要是没钱
45,价格涨得厉害
46,昨天刚刚下过
47,海底捞，喜茶出来受死
48,@西贝莜面村
49,我又饿了
50,暗示海底捞吗
51,鼓吹消费主义
52,奥利给
53,就是得有危机意识，想存活，想做大，必须要创新，敢试。消费者说了算。
54,海底捞一块五一片土豆，我连海底捞都吃不起了？
55,谢谢，房贷一月几千，花着呢（狗头）
56,海底捞出来挨打
57,我也想活在新闻联播里
58,恰排骨
59,新闻联播报道的眉州东坡的措施真的不错
60,吃顿好的！
61,海底捞西贝喜茶
62,然而疫情使我更穷
63,更穷了
64,西贝和海底捞出来挨打
65,馋啊
66,哈哈哈哈哈哈小猪佩奇
67,没钱就消费不了
68,加油站加油
69,想念学校门口的无骨烤鱼
70,康帅去哪了
71,对
72,哈哈哈哈哈就
73,hhhhhh
74,小猪佩奇
75,小猪佩奇可还行
76,梅州苏轼
77,学好唯物辩证法，走遍天下都不怕
78,联播男神
79,啥都涨价买啥
80,感谢公司，照常发工资
81,是呀
82,存款！
83,哈哈哈⊙▽⊙
84,中国企业加油
85,@喜茶
86,让经济流动起来
87,辣条
88,1
89,早睡啊
90,辣条
91,嗯
92,疫情期间给高速公路服务站送餐
93,嘿嘿，明天就下馆子
94,眉州东坡确实好吃
95,这就点外卖
96,有人不
97,中国人威武!
98,积极消费
99,存钱买房呗
100,沙发
101,好晚了
102,OHHHHHHHHHHHHHH
103,辩证法
104,创新
105,11111
106,加油加油
107,嗯
108,确实
109,创新是国家进步的灵魂
110,吃起来！
