,comments
0,用拼多多啊
1,皇储
2,狠起来连自己都抢
3,纽约被政府放弃了吧！
4,真狠
5,呵呵呵
6,美国分裂？
7,建议纽约州独立
8,你我都是资本主义一切之讲利益，无偿的话你们是中国人肯定有小九九谋我们。
9,独立吧
10,他们也是人，也有很多是善良平凡的人，加油吧
11,纽约独立宣言
12,独立吧
13,那要国家干嘛？统一美国干嘛
14,美国首都华盛顿，兄弟
15,哈哈哈哈哈哈哈哈
16,哦
17,??????
18,看不见我
19,看不见我
20,政府干什么用的？？
21,医护人员只戴这么点防护，他们到底是不是人阿
22,额。。。
23,那直接独立算了
24,加州独立吧，都是人命啊
25,人没了你存着送终吗
26,分封制
27,这感觉马上就要独立了啊
28,加倍再加倍
29,科莫加油
30,独立吧
31,资本主义，太现实了，没钱的直接等死
32,666
33,名场面又来了
34,wtf？？
35,？？？？？？？？？？？？？？？？
36,其实也对，美国的州都是有各自的法律的，联邦政府也有自己的法律，个过个的
37,好玩
38,美国联邦貌似抢了好多次各州的物资了
39,我去，让我建立自己的储备，又拦截老子的物资，你想干嘛
40,然鹅并不容易
41,好    政     府
42,分   封   制
43,？？？？？
44,超级加倍!
45,超级加倍神词
46,？？？？？？？？？？？？？？？？？？？？？？？？？？？、
47,6666
48,那要国家政府干嘛吃的？养猪嘛？
49,美国不会解体的，诸侯不满皇帝，还不敢反，差一个契机
50,众所周知，纽约与美国无关
51,邦联了
52,独立 独立 独立
53,哈哈哈哈哈哈哈哈好
54,独立赶紧独立，然后世界上就会出现40多个美国
55,妈妈最爱的儿子
56,自己人都抢？
57,所以，联邦政府存在的价值是啥？？
58,拍卖赚钱了！
59,纽约是首都？笑了
60,心疼医护人员
61,驸马爷？
62,哈哈哈，怪哉
63,？？？？？？
64,川普加油
65,呵，特朗普女婿，呵
66,纽约还是首都谢谢
67,xswl
68,哈哈哈哈哈哈哈哈哈哈
69,美国队长3内战
70,优越的资本主义
71,啥时候能看到美版《铡驸马》23333333
72,一个国家的都不帮啊
73,？？？
74,快入关
75,23333
76,？？？？
77,？
78,啥都不管，好意思说自己有完全权利
79,Freedom！
80,哈哈哈哈哈哈xswl
81,名场面
82,蚊帐
83,纽约独立吧
84,妈妈最爱的儿子
85,犹太女婿
86,独立
