,comments
0,太棒了
1,片
2,全人类的毒瘤美国
3,危
4,唢呐组准备
5,恭喜
6,好开心
7,活该
8,安排安排
9,军舰不应该各自独立？为什么病毒能进去
10,加油，自由米立坚
11,的确不是个案
12,舰队不能要了
13,挂满旗开到中国来，我们给你检查检查
14,川建国发动手风琴攻击
15,我好像笑
16,美军趴窝了世界和平了
17,没事，鹰酱把所有舰长都撤了不就行了~
18,说明，传染源在美国啊
19,一个营了
20,烧了吧！
21,美丽的风景线
22,不错
23,如果美国最新研发的福特号军舰也有人感染了，那才叫一个爽。
24,大 结 局！
25,撤了撤了
26,恭喜
27,中国加油
28,这事
29,额
30,不愧是你们
31,川建国加油
32,BGM走起来
33,漂亮
34,恭喜啊
35,哇
36,继续加油指数增长
37,恭喜
38,火烧连营
39,靓丽的风景线
40,超级大国
41,团灭美军？
42,这就是那自由的海风和空气吧
43,泪目
44,这个大叔还挺帅的
45,说什么大实话
46,漂亮国真的漂亮
47,漂亮
48,开除他，他在说什么呢！
49,军舰也会靠港的，然后就各种下去浪
50,美国球
51,这个人戴的是老花镜
52,建  议  击  沉
53,等死吧
54,恭喜恭喜
55,啧啧啧
56,你也知道啊
57,这时候能不能把他偷了
58,在海上隔离中，怎么来的疫情?
59,真是滑稽
60,收旧航母
61,唢呐都叫不醒
62,目前还是核潜艇安全
63,喜大普奔
64,开除他
65,梦幻联动
66,喜闻乐见
67,川普竟然没有把这个人开除(狗头)
68,危
69,天      谴
70,全回港待着吧，瞎溜达啥
71,400名确诊，疯了
72,喜大普奔
73,刺激
74,恭喜恭喜
75,恐怖航母
76,航母几个月在海上漂，到底是从哪里感染的呢？滑稽.jpg
77,罗斯福会说你是罪人（滑稽）
78,他们是怎么接触到感染源的？
79,出来混迟早要还的
80,简单，再撤三个舰长，就当不知道！！
81,撤了撤了
82,恭喜啊
83,罢免警告
84,Captain Crozier！Captain Crozier！Captain Crozier！
85,恭喜恭喜，普天同庆
86,各种意味上的加油
87,所以这些舰长也不求援？
88,鹰酱 开过来 让我们帮助你呀 顺带帮你们检查下设备修缮方面
89,来给我们瞅瞅
90,你没管了
91,科 学 养 蛊
92,瞎说什么大实话！
93,WOW
94,梦幻联动
95,梦幻联动
96,乖乖屯兵太多了吧！大自然警告
97,加油加油加油
98,自作孽 不可活
99,海上兵变，东西分庭，大美利坚万岁！
100,这位太高阶了，开除不了
101,恭喜贺喜
102,扔了吧
103,这航母有毒，不能要了
104,uqsi
105,美军一点不无辜
106,恭喜米国
107,明天全开除咯！
108,明天就开除
109,加油
110,666
111,世界警察也病了- -
112,等待第一艘核潜艇
113,开始顾头不顾腚了
114,开除开除
115,美国加油（doge）
116,这个剧情似曾相识
117,厉害了，火烧连营
118,老天有眼
119,你也想下台了
120,不要返航，这里不是家
121,极差的危机处理能力，fired
122,令人舒适
123,新角色出现
124,美国加油！！！继续加油啊！
125,普天同庆！！！
126,继续甩锅中国撒
127,哈哈哈哈哈哈哈
128,完了，回家抱孙子吧
129,开过来，我们帮你治
130,恭喜恭喜
131,恭喜恭喜
132,恭喜恭喜
133,恭喜恭喜
134,恭喜恭喜
135,you are fired
136,也太难了吧
137,看看乌里扬诺夫斯克号预计人数吧
138,哇哦
139,呕吼
140,仅管这样，我们也不能发下戒心，如此反常的行为背后或许是大动作！
141,大   明   劫
142,超级大国嘛
143,哇哦
144,66666
145,不介意上舰帮你们消个毒
146,哈哈
147,挺好挺好
148,!
149,在圣迭戈亲眼看见过卡尔·文森
150,好
151,珍珠港
152,哇喁哇喁，世界大界
153,前面那个你是馋核动力航母的技术吧你
154,嗷
155,刺激
156,这人得开除
157,GG
158,哦哦
159,苍天饶过谁
160,都是好东西呀都是好东西呀，
161,不愧是你
162,他们怎么感染的
163,淡定川普
164,哈哈哈哈
165,！！！！
166,不愧是你
167,！
168,哈哈
169,4分钟
170,秀啊
171,666
172,不介意的话开到我们这来可以帮忙治疗一下
173,wow
174,wow
