,comments
0,武汉起步价十块钱还鬼？？？？？
1,芜湖
2,最讨厌这种引导式问题了，尬聊
3,中国，还行！（半泪目）
4,人间烟火气
5,长沙起步八块吧ᕕ(ᐛ)ᕗ
6,泪目
7,民族的脊梁
8,辛苦了！
9,起步价十块啊，我上学要花25，老看计价表哈哈哈哈
10,热闹的武汉回来啦
11,想哭(┯_┯)
12,重庆晚上11白天10块
13,小姐姐漂亮
14,贵州安顺起步6块
15,芜湖塔台，允许起飞
16,芜湖～～起飞咯～～
17,芜湖～起飞
18,飞飞飞飞飞飞飞
19,芜湖~~~
20,芜湖
21,芜湖~
22,起飞
23,小城市起步八块
24,欢迎武汉归队
25,近了不去
26,成都10块起步
27,去武汉
28,哈哈哈哈哈哈
29,加油
30,一分一毛都是爱
31,我谨代表自己感谢伟大的武汉人民湖北人民
32,审问
33,武汉清零了
34,芜湖！
35,唉，疫情那会儿一个人开车出去，全程都没一辆车，心里真的好难受
36,每天上班走过洪山体育馆，从二月份抗疫值守时的风雨阴郁到现在复工后的四月份风光灿烂，真的是看着武汉一天天好起来，大家都平安就是最好的人间四月天
37,06年武汉起步价三块钱
38,566！！！啊啊啊啊啊啊啊啊好想武珞路啊！
39,对的呀
40,飞飞飞飞飞飞飞飞飞飞飞飞飞飞芜湖
41,问的没问题
42,飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞
43,加油
44,天津起步11
45,哈哈哈哈哈 武汉的司机全国闻名的这是真的
46,肯定是征得本人同意才露脸的你们真操心
47,发现武汉人都好会说
48,我加油赚钱，以后和家人去武汉旅游！加油武汉！我女儿天天给你们加油呢
49,5.5起步价
50,官方卡点，最为致命
51,我觉得你们可以扫一下这个支付的二维码
52,戴口罩
53,武汉回来了
54,湖北加油
55,太好了
56,切子
57,想死热干面
58,我的大武汉啊
59,组团去武汉（0/100）
60,真·漂亮
61,起飞～～
62,小姐姐我的，拔刀吧
63,吓尿了
64,说得太好了
65,央视现在怎么那么皮，这个标题…
66,还是堵车好
67,项链也挺漂亮（滑稽
68,这觉悟不是一般司机啊！
69,又骗我去武汉
70,飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞
71,新疆8快
72,哈哈哈.
