,comments
0,啊啊啊啊地花的ed！
1,BGM好评！！！！！！！！！
2,花子君ed！！！！！！！！
3,bgm好评好评
4,哇啊啊啊啊啊
5,啊啊啊！花子君
6,花子啊啊啊啊啊
7,谢谢
8,谢谢
9,中国加油！
10,花子君！
11,老二次元了这ed
12,花子！！！！！！！！
13,谢谢
14,啊啊啊啊啊啊是花子的ED
15,泪目
16,被武汉博物馆永久收藏了
17,谢谢
18,谢谢，谢谢
19,致敬
20,飞呀飞呀我的骄傲放纵
21,谢谢
22,谢谢
23,谢谢
24,谢谢
25,ed呀
26,天呐 甜甜哭了
27,谢谢！
28,谢谢
29,谢谢
30,谢谢！
31,谢谢
32,谢谢
33,加油
34,谢谢!!!!!
35,谢谢
36,谢谢
37,谢谢谢谢！
38,谢谢
39,bgm！！！！！！！！
40,谢谢！
41,啊啊啊啊激动！！！主人平安，太好了！！（bgm也超喜欢）
42,加油加油
43,谢谢
44,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
45,谢谢
46,加油
47,谢谢
48,谢谢
49,谢谢
50,谢谢
51,谢谢
52,加油
53,平安就好
54,谢谢
55,谢谢
56,没事╯▂╰可太好了
57,谢谢
58,bgm！！！花子ed啊！
59,谢谢！！！
60,谢谢！
61,谢谢
62,谢谢！！！
63,加油
64,谢谢！！！
65,谢谢
66,谢谢
67,谢谢
68,谢谢
69,贾君鹏？
70,谢谢
71,谢谢
72,谢谢
73,谢谢
74,谢谢
75,谢谢
76,谢谢
77,谢谢！
78,海甜甜好漂亮啊
79,海甜甜
80,谢谢！
81,谢谢
82,谢谢！
83,谢谢
84,谢谢
85,BGM好评，老二次元了
86,谢谢谢谢
87,我天啊这BGM
88,谢谢！！！
89,谢谢
90,支持CCTV
91,白衣天使多嘛
92,很好呀
93,谢谢
94,谢谢
95,谢谢
96,谢谢
97,谢谢
98,谢谢
99,bgm一听就听出来了（有九班的吗）
100,一听就听出来了（有九班的吗）
101,谢谢
102,谢谢！
103,谢谢
104,谢谢
105,谢谢
106,谢谢！！！
107,谢谢
108,家里没了
109,谢谢
110,武汉加油！中国加油！
111,谢谢
112,谢谢
113,谢谢
114,谢谢
115,平安就好
116,谢谢
117,加油！
118,谢谢
119,谢谢
120,谢谢
121,花子？！
122,谢谢！
123,让我想到了那个电影叫什么
124,我眼里进砖头了
125,谢谢
126,谢谢！
127,谢谢
128,谢谢！
129,谢谢
130,谢谢
131,谢谢
132,谢谢
133,谢谢
134,谢谢啦
135,谢谢
136,海甜甜好漂亮
137,谢谢
138,谢谢！
139,武汉加油
140,谢谢！
141,谢谢
142,谢谢
143,谢谢
144,加油谢谢
145,谢谢！
146,谢谢
147,谢谢
148,谢谢各位
149,谢谢！
150,蟹蟹
151,武汉加油
152,谢谢
153,谢谢！
154,谢谢
155,谢谢
156,海霞女神太美了
157,谢谢
158,谢谢
159,武汉加油，中国加油！
160,致敬
161,谢谢！
162,平安就好
163,谢谢
164,谢谢！
165,谢谢
166,谢谢！
167,谢谢！
168,谢谢！
169,谢谢谢谢谢谢谢谢
170,谢谢谢谢谢谢
171,谢谢谢谢
172,谢谢
173,谢谢
174,武汉加油
175,谢谢
176,谢谢！
177,致敬
178,谢谢❤️
179,谢谢
180,世界加油
181,泪目
182,谢谢
183,谢谢
184,谢谢！
185,谢谢！
186,谢谢
187,谢谢
188,谢谢
189,谢谢
190,谢谢
191,窗帘都黑了hhhhhhh
192,谢谢
193,谢谢
194,谢谢！
195,谢谢！
196,谢谢
197,bgm！！！
198,OHHHHHHHHHHHHHHHHH
199,谢谢
200,谢谢
201,bgm！！！！！
202,谢谢
203,谢谢
204,满分作文
205,加油
206,泪目
207,谢谢
208,谢谢
209,谢谢！
210,BGM好评
211,！这个BGM
212,谢谢
213,谢谢
214,谢谢！！！
215,谢谢
216,谢谢你们的付出
217,谢谢！！
218,谢谢！！
219,谢谢！
220,谢谢
221,谢谢
222,谢谢
223,加油
224,加油
225,加油
226,谢谢
227,谢谢！
228,窗帘质量不错唉x
229,窗帘火了hhhhhhh
230,bgm是花子君的ed唉（小声
231,花子君的ed！！！
232,谢谢！
233,bgm好评
234,谢谢
235,谢谢！谢谢！
236,bgm！！！
237,谢谢
238,谢谢！
239,中国加油！
240,致敬
241,衣服好看
242,谢谢
243,谢谢
244,中国加油
245,谢谢
246,谢谢！
247,谢谢
248,谢谢
249,谢谢
250,谢谢
251,谢谢
252,谢谢
253,海霞姐姐！！！~~~
254,谢谢
255,老二次元了
256,花子君的ed！！
257,谢谢
258,谢谢！！！
259,谢谢
260,平安就好
261,谢谢！！
262,谢谢
263,加油
264,谢谢
265,谢谢
266,谢谢
267,谢谢
268,谢谢，泪目
269,谢谢
270,回来几天
271,谢谢
272,谢谢！
273,平安就好
274,谢谢
275,谢谢
276,谢谢
277,谢谢
278,谢谢！
279,太好了
280,感谢，致敬
281,致敬
282,中国加油   世界加油
283,谢谢
284,泪崩
285,谢谢！！！
286,哈哈好惊喜
287,谢谢！
288,谢谢
289,谢谢
290,致敬
291,谢谢！
292,谢谢
293,谢谢
294,没事就好
295,官媒用二次歌曲真的好戳我！！！！！！！
296,花子君！！！！！！！
297,一听BGM就是老二次元了
298,谢谢
299,致敬
300,谢谢
301,加油
302,谢谢
303,泪目
304,武汉加油！
305,爱你们!
306,谢谢
307,谢谢
308,谢谢
309,谢谢
310,谢谢
311,谢谢！
312,谢谢
313,谢谢！
314,谢谢
315,谢谢
316,谢谢
317,啊啊啊地花ed
318,？？？BGM？
319,盒盒盒地花BGM
320,谢谢
321,塔台的对话真的很感人
322,谢谢
323,谢谢！！
324,bgm老二次元了
325,谢谢！
326,今天的设备和灯光设备质的飞跃
327,感谢武汉！武汉加油！
328,大赞
329,哈哈哈
330,谢谢
331,谢谢！
332,支持武汉，武汉加油
333,加油
334,谢谢
335,谢谢
336,泪目，谢谢你们
337,谢谢
338,都太可爱了
339,谢谢
340,谢谢！
341,谢谢！！
342,加油
343,谢谢
344,谢谢！
345,OHHHHHHHHHHHHHHH
346,谢谢
347,感动！！
348,花子ed好评
349,感谢你们
350,谢谢
351,谢谢
352,加油
353,谢谢！
354,哭啦
355,谢谢
356,谢谢!!!
357,平安就好
358,热乎的
359,谢谢！！！
360,谢谢！
361,捂汗加油
362,我要见脱下假发的你
363,7777和8888
364,辛苦了！
365,啊啊啊！是花子君的歌啊啊啊！
366,谢谢！
367,谢谢！
368,谢谢
369,谢谢
370,谢谢
371,谢谢
372,花子ed！！！
373,地花ed？？「惊喜」
374,Bgm是地花ed吗
375,谢谢
376,加油
377,谢谢
378,谢谢！
379,谢谢
380,中国加油
381,谢谢
382,谢谢
383,谢谢
384,太好了
385,谢谢
386,bgm好评
387,谢谢
388,谢谢！
389,tiny light！
390,花子君？
391,谢谢
392,什么叫国际BGM啊(战术后仰)
393,谢谢
394,这不是花子君的ed吗
395,谢谢
396,谢谢
397,辛苦了
398,辛苦了
399,不愧是央视，文案就是棒
400,谢谢
401,太好了＼(^▽^)／！
402,kyle祖传beat（
403,回来就好
404,主人回来了吗
405,bgm？？？？？？？？？
406,谢谢
407,谢谢
408,感动
409,谢谢
410,花子君！
411,地缚少年花子君的ed!
412,地花ed
413,平安就好
414,花子君ED可还行
415,谢谢你们！！
416,中华民族是伟大的民族！
417,真好
418,鼓掌
419,暖心的结局
420,谢谢
421,BGM好评
422,太好了
423,谢谢
424,连载
425,谢谢
426,回来就好！
427,谢谢
428,是啊，我爱我的国，爱我的同胞
429,加油
430,家里估计遭殃了
431,泪目
432,我大武汉本来就本该不凡
433,好早呀
434,泪目
435,谢谢
436,加油！
437,泪目
438,谢谢你们！
439,谢谢
440,花子君的ED！
441,感动
442,谢谢
443,在一点点变好哦！
444,感动
445,祈福国泰民安！
446,谢谢
447,谢谢
448,BGM好评!
449,网友真的太贴心了，一切都在好起来鸭
450,谢谢
451,谢谢
452,中国加油
453,感动
454,谢谢
455,xx
456,谢谢
457,没事最好
458,好暖啊～
459,谢谢你们的付出，辛苦了
460,欢迎回来
461,加油
462,感动
463,中国加油
464,中国加油 世界加油
465,谢谢！！！！
466,中国加油世界加油
467,谢谢
468,谢谢！！！
469,谢谢！！！
470,谢谢！！！
471,谢谢！！！
472,哈哈哈哈哈
473,加油
474,谢谢！！！
475,谢谢！！！
476,海霞姐姐好漂亮
477,海霞好美
478,爱你们！！！
479,平安就好
480,飞呀飞呀，我的骄傲放纵！
481,好暖
482,谢谢
483,恭喜
484,热乎着呢
485,来了来了
486,谢谢你们！
487,很暖的
488,中国加油
489,承包空屏
