,comments
0,哈哈哈哈哈
1,有些人就是矫情，啥条件没逼数
2,00后也长大了
3,哈哈哈哈哈哈哈哈哈哈哈哈
4,致敬我也是11小时
5,瘦了
6,您就是英雄
7,爱你们
8,我大学就在江夏区，很偏了
9,开心！
10,快爆，号给你整没了
11,致敬！
12,哎呀，别在这讨论戏曲了吧，都很好听，很有特色的，别招仇恨呀
13,理解的，有家庭有孩子。
14,可以吹一辈子了，致敬英雄
15,我们湖北的大鼓
16,我当家你说了算
17,哈哈哈
18,这是官方？
19,谢谢你 平凡英雄
20,中国的英雄 就是他们
21,哈哈哈哈哈哈哈哈哈哈哈
22,哈哈哈哈哈哈哈哈
23,哈哈哈哈哈哈哈哈哈哈哈哈
24,哈哈哈哈哈
25,真实
26,感动，致敬
27,哈哈哈，好实在的话
28,太棒了！！！
29,这个节目胆子好大，哈哈哈
30,祝你的人生都是美好
31,应该的！应该得！
32,1
33,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
34,我也是
35,哈哈哈哈哈
36,哈哈哈
37,致敬
38,孩子好像爸爸
39,哈哈哈哈
40,好可爱
41,我不能呼吸了
42,他一定会来！
43,普及：全国最大的内陆湖是青海湖 武汉东湖是中国第二大城中湖
44,致敬英雄
45,这个是央视摄影 北京人
46,有血有肉
47,实在人大哥
48,好人
49,爷们！
50,致敬
51,发大财
52,真实
53,致敬！
54,英雄！
55,对不起哈哈哈对不起
56,致敬
57,泪目
58,画风突变
59,接地气的视频。
60,好好看的姑娘啊！
61,致敬
62,加油加油
63,优秀
64,就是英雄
65,没系安全带的声音
66,哈哈哈哈哈
67,点赞
68,"向英雄致敬！摄像老师也是,向你们致敬！"
69,理解太能理解了
70,城中湖
71,祝你发财，祝大家都发财
72,拖回来，哈哈哈
73,加油
74,加油
75,啥人都有
76,厉害
77,不是吹牛啊，你真的做到了
78,泪目
79,白眼可爱哈哈哈
80,这是你应得的！！！
81,如果我在中国我肯定做志愿者
82,感动
83,武汉人民直接又可爱
84,哈哈哈
85,平凡的人，不平凡的心
86,加油
87,加油
88,哭了！
89,致敬
90,好人一生平安
91,真情流露
92,好像丑叔
93,开头大片
94,谢谢你的真实！！！！！谢谢！！！！
95,致敬
96,活着就好
97,致敬英雄
98,是的，这个白眼，很有特色，就是有些人不咋地清白
99,真实
100,英雄
101,他一定会来
102,哈哈
103,致敬
104,加油啊
105,加油
106,可爱的人
107,鹅鹅鹅哈哈哈哈
108,总得有点惊天动地的事情。
109,小伙子变大叔了。哈哈哈。
110,白眼好评
111,感觉好冷
112,哈哈哈哈
113,眉目清秀欸
114,全程泪目
115,辛苦了
116,我也想回家吃
117,简直泪目
118,湖北大鼓啊啊啊啊
119,哈哈哈哈哈
120,哈哈哈哈哈哈可爱
121,哈哈哈哈哈
122,那个男人一定会来
123,辛苦啦
124,真实
125,泪目
126,00接棒了
127,英雄
128,谢谢有您们！
129,哈哈哈哈哈哈哈哈哈哈哈哈有内味了啊啊啊啊 哈哈哈、
130,90表示我们准备接棒
131,真实，哈哈
132,花鼓戏啊
133,这个白眼就是老们武汉人的怼
134,致敬
135,哈哈哈
136,泪目
137,知行学院
138,可爱
139,哈哈哈
140,泪目
141,谢谢你  加油 祝你幸福
142,向你致敬 你辛苦了
143,英雄值得崇敬！
144,我们90后刚接棒，还得80带着
145,白眼优秀
146,现实
147,2333
148,出院还要隔离吧
149,普通人不明白别人的辛苦
150,你不是英雄谁是
151,森林公园
152,水果湖隧道
153,哈哈哈哈哈，他会来
154,真实
155,大哥实在人
156,90会加油的
157,这是我学校的宿舍
158,好样的
159,网不好真实哈哈哈
160,致敬
161,就喜欢这种敢说有敢做的人！
162,英雄！
163,白眼 开
164,真实，不管如何，你都是英雄
165,哈哈哈哈哈哈
166,一个个伟大的平凡人
167,致敬
168,挣钱养家 很有担当的
169,垃圾车悠扬的歌声?
170,了不起！
171,哈哈哈，贼喜欢这个白眼
172,致敬
173,应该的
174,哈哈哈哈哈哈
175,对不起我笑了
176,这种切换太暖了
177,太难了老百姓现在
178,真贱这些人
179,敬礼您比我们都爷们
180,加油
181,白眼灵性
182,好多志愿者
183,感动
184,英雄
185,致敬
186,英雄总是笑着说出那些苦难
187,致敬
188,都是懂道理的人
189,致敬
190,谢谢，致敬
191,可以吹一辈子滴
192,可爱滴人
193,普通人才是英雄
194,你很棒！谢谢！感恩！
195,。
196,拖回来 太真实了
197,真实了
198,实在人
199,哈哈
200,感谢
201,真实
202,哈哈哈哈哈哈白眼好
203,理解理解
204,当仁不让
205,多好的武汉人民
206,泪目了QWQ
207,哈哈哈哈哈
208,亲切
209,yeah
210, 哈哈哈
211,哈哈哈哈
212,您啊是武汉话里的敬语
213,谢谢！！！！
214,中国人总是被他们当中最勇敢的人保护的很好！
215,我们老武汉人心目中的武汉是老城区
216,汤逊湖以前不是武汉市的
217,大部分的武汉伢都是这样的快活人
218,你疫情期间不是一直都在赚钱
219,说楚剧不好听的，你滚去听别的
220,快三个月了
221,泪目
222,真实
223,感谢
224,哈哈哈哈哈哈可爱
225,我家就住东湖附近
226,老婆应该是孝感随州的
227,女的四川口音
228,方方们
229,哈哈哈哈哈哈可爱
230,加油！
231,英雄配美女
232,白眼翻的好可爱
233,all广告
234,哈哈哈哈哈哈哈，有那味儿了
235,还是感谢
236,简直了，平民英雄，让人泪目，令人致敬
237,只有退休了才能享受生活
238,哈哈哈哈哈哈哈哈哈哈
239,好可爱啊哈哈
240,老婆总是这样，希望老公能顶天立地，却又担心危险不想让他去
241,致敬！
242,榜样！
243,健康哦~
244,健康赔~
245,英雄
246,致敬
247,好人有好报
248,英雄！1
249,英雄！！
250,感动
251,嫂子口罩摘了更美了
252,哈哈 我老公也是脱成这样再进家门，回来第一件事洗澡
253,加油
254,很真实
255,太感动了这个话
256,劫后余生
257,官方好皮
258,都是好样的！
259,辛苦了
260,辛苦了
261,致敬
262,泪目
263,辛苦了，辛苦了，辛苦了，辛苦了，辛苦了
264,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
265,加油
266,么事
267,方方？
268,快放我走，我要去赚钱
269,泪目
270,致敬
271,哈哈哈
272,？？？？
273,心疼
274,英雄
275,加油
276,真实
277,“耶”哈哈哈哈哈
278,真的谢谢你
279,谢谢你
