,comments
0,芜湖！
1,谢谢你们，
2,致敬
3,致敬勇士，致敬逆行者
4,加油加油加油！！泪目！
5,感谢
6,致敬
7,关门大吉！
8,关门大吉
9,关门大吉
10,关门大吉
11,偷渡的击毙！
12,偷渡的打死！
13,感谢你们，关门大吉
14,致敬
15,中国加油
16,累得
17,广西致敬
18,感谢
19,关门大吉
20,黑龙江哈尔滨人在此致敬医疗团队
21,广东致敬
22,致敬
23,致敬
24,谢谢
25,黄歇
26,我们中国人都是好样的
27,感恩你们的付出
28,我初中就有白头发了
29,他眼睛为什么红红的?
30,致敬！！！辛苦了！！！
31,感恩！！！
32,关门大吉
33,雷神山，谢谢你
34,关门大吉
35,心疼
36,关门撒花
37,关门大吉
38,关门大吉
39,关门大吉
40,感谢
41,加油
42,中国加油
43,哎
44,东北兄弟加油！
45,黑龙江感谢你们，愿你们平安回家
46,说明问题又大了！！！！！
47,辛苦了
48,辛苦了
49,关门大吉！
50,致敬
51,黑龙江要停暖气了，会冷，医护人员多穿点厚衣服，东北干燥，记得带润唇膏，谢谢你们(*°∀°)=3
52,关门大吉
53,致敬
54,关门大吉
55,致敬英雄
56,辛苦了
57,辛苦了！真的，平安回家
58,辛苦了
59,辛苦了！
60,黑龙江加油啊，绥芬河那片还有一战呢
61,贵州的英雄
62,关门大吉
63,致敬
64,关门大吉
65,加油
66,加油
67,关门大吉
68,唉，这时候感觉自己啥都做不到
69,黑龙江加油
70,辛苦了
71,致敬
72,平安归来
73,致敬
74,辛苦了！
75,平安回来
76,辛苦了
77,谢谢！
78,心疼！！！辛苦了！
79, 谢谢！
80,谢谢你们，中国加油
81,关门大吉
82,致敬
83,致敬
84,关门大吉
85,辛苦了
86,非常感谢您们
87,关门大吉
88,关门大吉
89,辛苦了
90,我的天。。
91,关门大吉
92,加油厦门
93,致敬
94,致敬
95,谢谢您们驰援我的家乡，谢谢您们，谢谢！
96,辛苦了
97,关门大吉
98,感谢在一线及背后默默付出的人员
99,致敬！
100,一定要平安回来
101,致敬
102,一夜白头 辛苦了
103,致敬
104,黑龙江人民谢谢你们
105,黑龙江齐齐哈尔人致敬！
106,关门大吉
107,援鄂的是辽宁，包雷神山的是辽宁
108,致敬
109,感恩
110,关门大吉
111,关门大吉
112,关门大吉
113,致敬！
114,致敬
115,最可爱的人
116,致敬
117,祝早日平安归来！
118,云南也感谢你们！
119,                     感谢！        你们！            O(∩_∩)O                白衣天使！
120,                            感谢！
121,谢谢你们！战士英雄！O(∩_∩)O
122,辛苦了，英雄
123,关门大吉
124,致敬
125,谢谢
126,致敬
127,倒闭大吉！
128,辛苦了！
129,致敬
130,黑龙江人致敬
131,黑龙江。。。
132,致敬
133,关门大吉！
134,致敬
135,辛苦了
136,辛苦了
137,泪目
138,关门大吉
139,一定平安归来
140,谢谢你们
141,辛苦了
142,好！
143,关门大吉
144,goodbye leishenshan
145,辛苦了
146,致敬
147,愿你们凯旋归来
148,关门大吉
149,恭喜恭喜恭喜
150,广州感谢您啊
151,关门大吉，倒闭！
152,致敬
153,谢谢你们，你们辛苦了！
154,关门大吉
155,辛苦了
156,全体医务人员辛苦了！感谢你们！
157,辛苦了(≧∇≦)/
158,致敬英雄
159,辛苦了
160,泪目
161,致敬
162,热的
163,辛苦了
164,关门大吉哦
165,nice终于关门了
166,此生无悔入华夏，来世还做中国人。
167,贵州因你而自豪
168,关门大吉
169,心疼
170,山西？？
171,开心，关门大吉
172,泪目
173,辛苦了
174,泪目
175,关门大吉
176,关门大吉
177,致敬
178,加油
179,辛苦了
180,关门大吉
181,加油
182,ohhhhhhhhh
183,ohhhhhhhhhh
184,致敬
185,致敬
186,关门大吉
187,致敬
188,致敬！
189,关门大吉
190,大贵州为你骄傲
191,黑龙江加油
192,辛苦了
193,贵州人民为你骄傲
194,泪目
195,黑龙江加油
196,恭喜关门大吉
197,辛苦你了
198,关门大吉
199,关门大吉
200,关门大吉
201,一定要平安归来
202,加油
203,太难啦
204,愿平安
205,致敬
206,关门大吉
207,祝愿勇敢的人们平安归来
208,致敬
209,致敬
210,致敬
211,辛苦了
212,祝愿勇敢的人们平安归来
213,好
214,祝愿勇敢的人们平安归来
215,关门大吉！
216,祝愿勇敢的人们平安归来
217,加油
218,泪目
219,关门大吉
220,辛苦了
221,关门大吉
222,向英雄致敬！
223,关门大吉
224,辛苦了
225,致敬
226,关门大吉
227,辛苦了
228,致敬
229,关门大吉
230,关门大吉
231,中国加油！
232,关门大吉！
233,辛苦了
234,关门大吉！
235,关门大吉
236,谢谢你们！！！
237,关门大吉
238,泪目
239,关门大吉
240,心疼
241,辛苦了
242,关门大吉
243,致敬英雄！
244,辛苦
245,关门大吉
246,致敬
247,恭喜
248,泪目
