,comments
0,两个阿姨一个叔
1,虾头最好别吃，虾黄也不干净
2,觉得餐饮好做还暴利的自己咋不去开店啊。
3,前方高能
4,前方高能
5,前方高能
6,哈哈哈哈哈哈哈
7,哈哈哈哈哈哈
8,实诚的老板啊
9,我去
10,哈哈哈哈哈哈哈
11,？？？？？？？？？？？？？？？？？？？？？？？？？？ ？？？？？
12,再次看了眼左上角的标
13,吃丑了
14,肥哈哈哈
15,得好几个月才回本 还有淡季旺季
16,这得有多少积蓄能供得起
17,????????
18,你是半个阿姨
19,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
20,？？？
21,左下角是干煸藕丝
22,阿姨都不想搭理你哈哈哈
23,好想再去吃虾球
24,？？？
25,月入百万
26,黄是不能吃的 、这是误导
27,？？？？？？？
28,挺好玩的视频
29,你不算
30,纯自助啊
31,你那几只够你吃的吗？
32,勤行
33,我家乡这边烧之前是不去虾线的
34,不吃钳子吗？
35,?????
36,武汉人回答你左下角是干煸土豆
37,哈哈哈哈哈哈，叔你就快剪！
38,肥肥虾庄的凉面不好吃
39,巴厘龙虾难吃
40,40个点是很假的
41,食材哪要那么贵 太扯了
42,那你吃的太多了
43,哈哈哈哈哈贝雷帽
44,哎呀那你吃不了一两只啊叔
45,大开大合
46,？？？。？
47,币已投出
48,老板收入又少了一千
49,？？？？？？？？？？
50,顺便再送一桌菜
51,？？？？？？？？？
52,？？？？？
53,？？？？？？？？？？？
54,？？？？？？？？？？？
55,肥肥凉面好吃
56,这盈亏平衡点有点高
57,美团最黑
58,反正就是不赚钱
59,？？？？？？
60,正片开始了
61,哈哈哈哈哈哈哈哈哈
62,哈哈哈哈哈哈哈哈哈哈
63,这个剪辑真的有央视内味儿了
64,就惦记着吃了
65,大家看出来了吗，专业的不说话，业余的话多
66,怕给别人   砸招牌
67,哈哈哈哈哈哈
68,房租吸血啊
69,哈哈哈哈哈哈哈哈哈哈哈哈
70,能不能不biaji嘴
71,开始了
72,？？？？？
73,西餐
74,基本不赚钱
75,一个月亏20万
76,？？？？？？？？？？？？
77,痛痛痛
78,1000斤
79,肥肥
80,啊？？
81,丑了丑了忒丑了
82,包食宿 3000是差不多了
83,这个腮都不剪
84,大开大合
85,祖传表情，大开大合
86,？？？？？？？？？
87,？？？？？？
88,？？？？？？？？？？？
89,？？？？？？？
90,大开大合
91,人家是专业的
92,不嘬一下没内味儿
93,？？？？？？
94,体力活工资肯定不高啊
95,哈哈哈哈哈
96,哈哈哈哈哈哈
97,上流
98,太不容易了
99,肥肥是真的好吃
100,干煸土豆丝
101,好饿呀
102,？？？？
103,哈哈哈哈
104,哈哈哈
105,？？？
106,？？？？
107,老板账算的好，生意肯定好
108,武汉不比北京上海
109,真不容易，卧槽还有五险一金
110,真不容易
111,？？？？？
112,清洁工应该也是阿姨做
113,然后才3000多点工资
114,蒜蓉小龙虾也超级好吃
115,？？？？？？？？？？？？？
116,央视吃播
117,？？？？？？
118,一个月三千我活不下去
119,十个小时 一个月才给三千 太黑了吧
120,声微
121,我也被夹过，超疼，会出血的
122,三千多不少了
123,开始升华
124,来体验复工的就吃上了
125,蓝精灵的帽子
126,做教育培训的真的不容易 熬过这个寒冬 加油
127,企业不活下去都没饭吃
128,美团饿了吗都是吸血鬼 商家都这么觉得
129,哈哈哈，哈喽，要不要说excuse me？
130,最坏的就是连个平台，所有餐饮都是给平台打工的。20-25的抽成
131,？？？？？
132,底层人不都这样么。。
133,哦是吗，我不信
134,哎哟，叔
135,东三省
136,太丑了
137,大开大合、
138,原汤还原食
139,？？？？
140,一吃都没黄
141,自助餐
142,干煸藕丝！每次出去必点！
143,干煸土豆丝绝了
144,？？？？？？？？？？？？？？？？？？？？？？
145,美团饿了么都是吸血鬼
146,血汗工厂
147,剪慢点 给叔点面子
148,不愧是你
149,莫名爽
150,？？？？
151,哈哈哈哈哈哈哈哈
152,哈哈哈哈哈哈
153,蒜蓉才香
154,白嫖可还行？
155,白嫖
156,人言否
157,你没半个
158,1个，不能再多了
159,哈哈哈
160,你半个都不算哈哈哈哈
161,.............叫你不好好干活
162,我饿了
163,哈哈哈哈哈哈
164,就算不是疫情，阿姨厨房工也是什么都得做吧
165,半个阿姨
166,车轱辘脸
167,？？？？？
168,心脏骤停！
169,？？
170,丑了丑了
171,???
172,骗吃骗喝
173,？？？
174,毛不易
175,快干活吧，还在聊天哈哈哈哈
176,谁的钉钉!!
177,哈哈哈哈
178,你要搞懂互联网公司的扩大方式 不能光看亏不亏
179,干煸土豆丝
180,装 你不看 人家肯定比你有本事
181,加油！！！
182,你换口罩了
183,妙啊
184,?
185,沙湖路那一家！！！！不远！！！
186,哈哈哈哈哈哈哈哈哈哈
187,钳子肉呢
188,丑
189,丑了丑了丑了
190,一会真香
191,幼稚鬼
192,丑了
193,光速去世
194,外币巴布
195,这是央视新闻的采访啊
196,哈哈哈哈哈哈哈哈哈
197,没出去工作过真觉得钱那么好挣啊
198,黄没了
199,叔是0.1个
200,叔好厉害
201,偷税感
202,叔你不摘帽子我没法专注
203,我在央视新闻看吃播
204,哈哈哈
205,主题升华
206,经典表情
207,哈哈哈，脸呢
208,又要开始蹭吃了
209,哈哈哈哈哈哈
210,哈哈哈哈抱抱的那个
211,感觉弹幕对这底层工作的收入是一点概念没有啊。这个收入是非常正常的水平。
212,在各行各业吃东西的视频
213,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
214,你为什么像蓝精灵
215,不洗手不给吃饭
216,排面
217,武汉大宝鉴
218,？？？？
219,不愧是你
220,湖北人欢迎全国各地的朋友们来武汉旅游，品尝武汉美食。
221,那不是土豆丝，是藕丝
222,那不是我家边上
223,哈哈哈
224,我就知道丑了会刷屏 
225,该来的还是来了
226,愉悦感
227,太特么思密达了
228,曼妙
229,大开大合
230,丑了丑了
231,丑了
232,？？？？？？？？？？？？？？？？？？？
233,你洗了几只吖够你吃吗
234,一点？手套都黄了叔
235,大开大合
236,妈妈惹老板亏了哈哈哈哈哈哈亏大了
237,我就知道
238,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
239,？？？？？？
240,你胖了叔
241,太想了
242,太丑了
243,太丑了
244,太丑了
245,告辞
246,爽啊
247,靠
248,？？？你这是人话吗
249,？？？
250,哈哈哈哈
251,？？？？？？？？？？
252,哈哈哈哈哈
253,老板：凭啥？？？
254,3000是正常工资
255,阿姨是左撇子耶
256,好多点
257,？？！！
258,0.0.
259,0.
260,0.0.0.
261,.0.
262,摄像老师呢
263,赶紧干活
264,饿了么22%我家这边
265,加油
266,久违了
267,武汉物价不低啊…………
268,哈哈哈哈哈哈哈哈哈哈
269,阿姨辛苦了
270,哈哈哈哈哈哈哈哈 叔太可爱了
271,抱团取卵方能渡过难关
272,你是来找工作的，注意你的态度
273,怎么可能不付钱吗
274,气突央
275,开始本职工作
276,回归吃播？？？
277,重点来了
278,2.0001
279,嗯？？
280,武汉加油
281,残忍啥 吃不过小龙虾涨的速度
