,comments
0,......
1,一开始严重的时候都有消毒
2,wdnmd
3,逐渐变美食vlog
4,这个视频真的有趣，我又看了一遍，顺便三了个连
5,冰箱都滴滴叫了！
6,真香~
7,太穷了
8,大辣椒
9,讲究
10,鼻子没遮住
11,这？？？
12,朱总
13,厉害了！
14,哈哈哈哈
15,非洲警告
16,漂亮国：防疫是不可能的，这辈子都不可能防疫的
17,非  洲  警  告
18,朱一旦出来报道
19,非洲警告
20,长得有点像朗朗
21,朱一旦
22,特殊时期不算贵了
23,？？？？？？
24,？？？？？？？
25,算便宜的啦，上期一个菇就42块
26,注意安全！加油！
27,哈哈哈哈哈
28,央视搞起吃播了
29,哈哈哈哈哈哈哈
30,你的冰箱在教你了
31,2333
32,这是口罩.令人心寒
33,前面那个郡县制过分了
34,？？？？？？
35,？？？
36,外国人除了要带口罩，还需要带一个鼻罩和眼罩。
37,这也不是我唯一看到口罩这么戴的人了。
38,这个叫做带好口罩？？？？？？？？
39,可以关下冰箱再聊嘛
40,西撒哈拉呢
41,@
42,jiayou
43,加油
44,郡估计和我们的省一样，分区域管理
45,我超爱吃香菇
46,看起来不错
47,朱一旦：非洲警告
48,传统文化
49,关门啊！
50,贵可能大多都靠进口或生产力不足
51,朱一旦的外卖公司吗
52,我不是在看央视新闻嘛
53,据说非洲的手机支付搞得挺好
54,看着冰箱门就能想到我妈怎么打我的
55,怎么秒变美食节目
56,戴个口罩把鼻子露出来可还行，哈哈
57,感觉好新鲜
58,从瓦坎达进口的？？？
59,你有钱到哪不舒服
60,物价还好啊
61,感觉像up主拍vlog
62,承包空屏
63,苹果打钱！
64,朝天椒
65,美食区up
66,想吃红烧狮子头？
67,挺快的啊
68,太贵了
69,旦总功劳
70,朱一旦默默点了个赞
71,脱 离 标 题
72,注意安全别去海边捡海胆
73,排面
74,真.番茄汤
75,真.番茄汤
76,央视新闻非洲独家合作伙伴——朱一旦（doge）
77,注意安全
78,央妈，你家孩子咋，，，改吃播了，哈哈哈
79,+0. 发的
80,不算很贵吧
81,是的那是一旦集团
82,有肉么
83,？？？？幸好我不爱吃香菇
84,恰饭警告/狗头
85,马 小 敏
86,哈哈哈哈
87,哈喽 很开心你还能安全地点外卖
88,茄子，辣椒，西红柿，茄辣西，是西北人
89,太惨了
90,哈哈哈哈哈哈
91,瓦坎达进口
92,肉呢
93,这不是一个美食博主 退散
94,促进了肯尼亚的电商
95,吃播
96,冰冰箱响了
97,有点贵啊
98,哈哈哈哈哈
99,B站很有排面嘛，特地打招呼。
100,猝不及防
101,加油
102,左耳聋了
103,富人区啊
104,我去
105,注意安全啊！！
106,估计是戴口罩太热，呼吸困难
107,怕不是湖南人
108,高于均价几倍还不叫贵？
109,不是你买的起就叫不贵，，，
110,【朱一旦】进入直播间
111,前段时间买了三个白菜花了五十多
112,我昨天也做的烧茄子
113,关门啊
114,好可爱哈哈哈哈哈哈
115,贵
116,我们想象中的非洲也不至于穷成那样吧？差距也没那么大。
117,mei
118,贵不等于先进，可能是生产力不行
119,被刀了
120,讲究
121,太贵了
122,这是啥
123,冰箱门不关么？？
124,冰箱门让我抓狂
125,排面
126,"前面的,口罩怎么带说话都方便"
127,舌尖上的非洲
128,说不贵都都是没买过菜的吧
129,有卖糕的吗
130,看了下不是合作视频( ⊙ o ⊙ )啊！
131,你和旦总是什么关系嘿嘿
132,为什么我突然觉得自己可以好像还不错的样子？
133,很贵
134,哈哈哈哈哈哈哈哈
135,哈哈哈哈哈哈哈
136,物资不行？
137,美食up主？
138,舌尖上的央视23333
139,辛苦了
140,猝不及防
141,@朱一旦
142,冰箱门没关啊大兄弟
143,血亏啊
144,排面
145,不是应该发Facebook吗？
146,注意安全！
147,肯尼亚的先令
148,朱一旦默默的给你点赞
149,@朱一旦
150,？？？
151,美食节目
152,逐渐变成做菜视频
153,妈见打
154,wow
155,舌尖上的。。。。
156,哈哈哈~
157,非洲还可
158,正片开始
159,肯尼亚首都内罗毕的生活还是很惬意的
160,7点？
161,同在肯尼亚看这个视频，加油啊！
162,美食博主上线
163,？？？
164,郡县制？？
165,好贵
166,不是点外卖体验吗？
167,郡？
168,这么贵！
169,哈哈哈哈哈
170,注意安全
171,这个真好，很简洁，不像我们的商城，一张图啥都有，视觉太疲惫了
172,本来越是偏远的地区就条件应该越好呀
173,大开大合
174,蛋总！
175,吖
176,哈哈哈哈哈哈哈
177,物价有点高
178,冰箱门，冰箱门，冰箱门，冰箱门
179,在，这央视？
180,这是，大乱炖
181,关冰箱！
182,专门为B站拍的
183,承包空屏
184,美食up上线
185,突然变成做菜教程？
186,Ksh?
187,前面的，踏空找那样戴应该是为了方便说话
188,声音和音乐声道分开的
189,估计被采访的时候表示尊重才拉下来说话的吧
190,厉害了，美食博主
191,美食up
192,有些贵
193,隔壁小孩馋哭了
194,口罩没带好啊兄弟
195,好贵
196,看起来不错啊
197,还是亏的
