,comments
0,都死二十多万人了………
1,九月份 700万确诊了 考古
2,七月份前来考古
3,210万
4,210万了
5,130+万了
6,？？？？？？
7,您长的就像个奇迹
8,保护建国同志
9,？？？
10,130万
11,130万
12,不三连我心里过意不去
13,一百多万了，十分担心……
14,？？？
15,每天圆谎 懂王太难了 
16,五月了！！！！！！！！！！！！！！！！！！！！！！
17,哈哈哈哈
18,自由万岁，死又如何？
19,哈哈哈哈
20,?
21,哦，这是央视的
22,四月是你的谎言，五月是你的遗言。
23,小朋友，你是否有很多问号？？？
24,红领巾鲜艳
25,消毒剂喝多了
26,四月是你的谎言
27,我做的对吗
28,五月了小特
29,五月了
30,四月是你的谎言
31,113万了
32,人间四月芳菲尽，美国病毒始盛开
33,五月了，还没有消失
34,113万了
35,一百万了
36,？？？？？
37,表情包get√
38,哈哈，四月是你的谎言
39,标题好评
40,哈哈哈哈哈
41,为什么川普是白眼圈
42,100w了
43,没人比我更懂搞垮米国
44,要超百万了……
45,四月是你的谎言
46,哎，建国不容易
47,美国流感
48,103w路过
49,100w了啊
50,四  月  是  你  的  谎  言
51,极度讽刺
52,抗疫鬼才
53,人类迷惑行为大上标清瞩目
54,女少  口阿
55,笑死个人了！
56,嗯嗯过百万了不愧是你川建国
57,非          常           好
58,差  不  多
59,美国以后可能会犯浑
60,四月是你的谎言，完美还原日剧
61,100w考古
62,与   我   无   瓜
63,伊朗：哈哈哈哈哈哈哈哈哈哈哈
64,现已98万
65,给特朗普愁的头发都白了
66,特朗普这样会不会坐牢诶
67,？？？
68,额
69,你们国家有些地方是温带海洋性气候，不存在温度高的啊
70,现在应该有100万+了吧
71,五月是你的遗言
72,已经100w了哥
73,头发白了
74,四月是你的谎言
75,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
76,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
77,都过百了。。。
78,降 智 言 论
79,？？？
80,哈哈哈
81,能把疫情弄成搞笑视频，特朗普也是厉害
82,现在都快五月了
83,世卫掩护下建国同志喂！红领巾呀！
84,明白人                                                憨批
85,你家四月56度？
