,comments
0,问题谁都能提，关键是要解决
1,可怕
2,返单了
3,黑龙江加油
4,完了
5,加油
6,加油
7,哈尔滨人在  加油！
8,千万不能大意
9,中国加油
10,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
11,啊啊啊啊
12,黑龙江加油
13,真的
14,加油
15,黑龙江加油呀
16,我们国家也要警惕
17,揪心
18,亡羊补牢为时未晚
19,严防死守，在全球疫情绝对消灭前，口罩与防聚集不能丢
20,不是为了问责，是为了堵住漏洞
21,支持
22,"昨天出去吃饭,店里都满人了"
23,那么多人你能一个个管过来
24,真的假的
25,疫情还没结束，不能放松警惕！
26,不要松懈！
27,加油！
28,广东到处聚餐了
29,不要放松警惕啊
30,东北人很紧张
31,黑龙江人来报道
32,然而要开学了
33,好想开学
34,加油黑龙江
35,已经开学的高三生表示紧张
36,揪心
37,我爸爸都聚两次餐了而且我还在黑龙江怕了怕了怕了
38,我的天呐
39,哈尔滨，加油啊！
40,加油黑龙江
41,不要放松警惕
42,确实很多人都开始聚餐了而且很多次
43,押韵了
44,疫情还没有过，大家警惕
45,现在从家由武汉变成了加油黑龙江。
46,人员开始流动，这种情况不可避免！
47,我现在出门都不敢在口罩啊
48,+1
49, 1111
50,唉
51,1
52,加油啊
53,有点躺枪
54,甘肃已经开学了
55,可怕
56,稳住
57,←东三省怎么你了？
58,加油啊，加油
59,唉，唉╯﹏╰
60,有可能是无症状感染者
61,加油
62,阿弥陀佛
63,东北的兄弟姐妹们撑住！
64,喜欢夏丹
65,中国加油
66,感聚餐的真是胆子大
67,可怕
68,不要放松警惕
69,现在还不能松懈
70,不能松懈啊
71,大家都不能掉以轻心！一起加油！
72,加油
73,加油！！！
74,对1
75,一定要守住啊
76,对
77,这人应该要追究刑事责任吧
78,。
79,一次聚餐惹的祸
80,真未敢聚餐
81,稳住！
82,不要反弹啊
83,1
84,唉
85,test
86,祈福
87,j
88,顶
89,；；
90,嗯
91,朱广权话
92,还是不能松懈
93,为什么
94,没有弹幕？？？？
95,1
96,1
97,疫情未明了，防疫进行时!
98,中国加油
99,唉
100,坚守
101,黑龙江加油
102,？？？？
103,中国加油
104,第一没人
105,确实，随着全国形势的好转，以及某些国家的反面对照，不由自主的有些放松警惕，要引以为戒啊。
106,哇
107,揪心
108,祝世界人民早日战胜疫情
109,愿平安
110,不要聚餐
111,这要配合吧？为啥还聚餐？
112,加油
