,comments
0,300w预约
1,300w预约
2,老子乐意
3,快两百万辣
4,用生命换自由，一开口就老西方运动了
5,特朗普:假的，下一个
6,140w
7,我们乐意
8,？？？？？这我不能理解了
9,进来就点个赞
10,？？？？？
11,破百万大关
12,谭德赛
13,Bing?
14,140w
15,川建国
16,爷明明早说了
17,130万了
18,两百万考古
19,120w了解一下
20,？？？？？
21,？？？？
22,110万了
23,前面黄字一开口就是老阴阳怪气了
24,不不不只有古今中，没有外
25,120万了
26,FREEDOM！！！
27,拆那拆那拆那拆那...blabla
28,我们理得清没用，主要是老川普不愿意承认自己
29,wish：希望（不大可能的事）发生；怀着（不可能实现的）愿望——牛津词典
30,现在已经五月了
31,再来一遍
32,我们厌恶的是某国政党，拿人命当儿戏
33,中国自古以来很多自然灾害了，已经有那脑子了，而美国就没那么容易接受了
34,110万了
35,甩锅大王
36,一开口就是老西方人了
37,106万了
38,百万已过
39,107万警告
40,107
41,freedom
42,永远叫不醒一个正在装睡的人。
43,武汉封城了，还不算警示你们要什么。
44,为了防止他们听不懂我们翻译成英文给他听
45,？？？
46,？？？？
47,刚刚背完的单词就看到了...加深记忆get
48,100万了
49,100w了
50,美国加油
51,100万了
52,我愿意
53,有意见？给我憋着
54,一百多万了
55,已经98万啦
56,我们乐意响应国家政策宅着，西方国家管的着？
57,马上一百万了
58,马上一百万了
59,四月是你的谎言
60,25号89万了
61,？？？
62,88万了
63,对不起，我们中国人的自由是大家的自由，而不是利己主义的自私且狭隘的自由，谢谢
64,四月是你的谎言
65,23号80万了
66,八十万了
67,真香了
68,毕竟美国还是有不少   无辜    的人
69,这帮曾经鼓捣出女巫的货保不准要在疫情没过就再来当医闹！
70,我在B站学英语
71,剪成美利坚了
72,笑死我了，
73,人 权 自 由
74,没有人比我更懂病毒
75,哈哈哈哈哈
76,现在4月22号美国80万
77,1月3日没问题啊
78,没人比我更懂双标
79,自由美利坚，甩锅每一天
80,建国同志你怎么了，你忘了你是红领巾了吗
81,建国同志你怎么了，你忘了你是红领巾了吗
82,自由
83,字由
84,75w了
85,一月份就告诉你了
86,哈哈哈哈哈，然后看看他们现在
87,？？？？？？？
88,我现在觉得美国人是很傻，又土的形象
89,四月是你的谎言
90,哈哈哈哈哈哈哈哈哈哈哈哈哈，xswl。川建国同志好棒
91,中国人就用中国话解说
92,川建国啊，差不多得了，别害死他们
93,建国，可以回来了
94,不是可能，是肯定
95,动动脑吧，说英文是为了放在油管上
96,武汉加油
97,川普：没人比我更懂新冠
98,加油
99,前面说四月是你的谎言的 不要用特离谱玷污了
100,76万了
101,川普迷惑行为
102,四月是你的谎言
103,四月是你的谎言
104,不知道为什么，我忍不住笑了
105,这就是所谓的自由吗？i了i了
106,别，我不希望。
107,把这个放到美国，川普的脸要被打烂了
108,哈哈哈
109,没人比我更多了疫情
110,你们用的香吗
111,哈哈
112,哇
113,建国，你的脸呢？！
114,哈哈哈哈哈
115,自由
116,这英文发音听得爽
117,73万了已经
118,现在80万了
119,穿越回来的我告诉你们，美国灭亡了
120,现在73万了
121,那什么能不能说中文，我们听不懂你说的是什么
122,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
123,呵呵
124,？？？？
125,脸呢
126,哥哥好帅
127,老阴阳人了，建国功勋卓著
128,啧啧
129,四月是你的谎言系列
130,我们愿意谢谢
131,我们封城的时候，他们还骂我们呢…怎么可能不知道
132,体谅一下，毕竟人家没5G(狗头)
133,奇 迹 般
