,comments
0,这是美国谢谢。
1,问是不是罗马的，脑子不用可以捐了
2,vlog、工作两不误
3,7月考古，美国还远远没有到达峰值
4,巴西应该说的是葡萄牙语吧
5,这个记者哥哥会汉语西语葡语和英语
6,骞哥口语太好了吧啊啊啊
7,骞哥好帅
8,骞哥排面
9,大佬，膜拜
10,猛男
11,能不能好好听听晓骞报道的内容?
12,刘哥
13,TOYOTA
14,战地记者
15,不，为了再创高峰！
16,这个小哥的思维好清晰啊
17,福奇
18,刘哥注意安全啊
19,他是福建人
20,……
21,妈妈问我为什么跪着看视频
22,2333333
23,大佬注意安全啊
24,自由才是最重要的！其他的都免疫
25,大佬！
26,帅
27,骞哥！！！！！
28,注意安全啊
29,这记者小哥太猛了
30,猛男！
31,加油
32,似李！
33,美音好评
34,这是在罗马吗？
35,男神中传葡萄牙语系毕业的
36,去黑帮那个是你吗
37,开 最好全美 全部复工 这才自由啊
38,因为汉语和英语发音部位不同
39,复工吧
40,这不是采访巴西黑社会的小哥吗
41,他还会说客家话
42,注意安全
43,很多人估计挺不到能正常看球的那天
44,你又来了！！
45,大佬 注意安全
46,奶音猛男
47,钻石城？
48,大佬，注意身体安全。
49,也许不开门可能就要破产了
50,巴西语哈哈哈哈
51,大佬
52,大佬记者
53,我说怎么这么眼熟呢
54,大佬我们又见面了了鸭
55,肖华都快哭了
56,去过哥武大本营
57,大哥大哥大哥
58,大哥
59,钻石城那位老冰棍站住！！
60,你信了？
61,这记者小哥很猛的，我喜欢，
62,葡萄牙语
63,有点小帅
64,好帅啊
65,大佬你好
66,这个记者！
67,这是要养蛊啊？
68,像李佳琦
69,接近峰值，没说抵达峰值，没明确数值也没时间，有些人真的是什么都杠...
70,应该是新增峰值，
71,奶音猛男
72,是你啊 又见面了 大佬
73,钱比命重要
74,哥们你咋老往危险的地方跑啊
75,但是球迷会在场外聚集吧……
76,你是导演！
77,眼熟的小哥哥
78,没观众不挣钱还举办个毛
79,猛男记者
80,小哥声音挺好听的
81,三连支持
82,眼熟正常，这个小哥就是那个采访黑帮的猛男
83,采访巴西毒枭的大佬！！！
84,在线你咋监视犯规什么的
85,峰值！早呢~~
86,峰值是指目前为止最高的数据，根据科学推测了，不是你觉不觉得会上升的原因/擦汗
87,又是你
88,这不是   那那那 那个男人
89,球比命重要
90,猛男
91,奶音
92,自由
93,还没到呢
94,巴西
95,资本家受不了了
96,注意安全
97,去过贫民窟
98,真的是峰值么？？？？到没到？
99,腻害小哥
100,超级记者
101,川建国同志表示，没有人比我更懂开赛
102,有
103,好帅
104,又是你
105,难道不应该先整疫情？
106,天哪这记者精通葡萄牙语和英语
107,是你
108,这是采访巴西毒贩那个记者
109,巴西说葡萄牙语..........
110,刚刚那架飞机前几天到过深圳拿救灾物资
111,钻石城？
112,顶峰？你是认真的？
113,这不就是英雄联盟赛事吗
114,有
115,前面那个巴西语的xswl
116,看见这点雕像我就知道这里绝对是钻石城！
117,勇猛的小哥
118,how old arw you？
119,声音好好听啊
120,我寻思入不敷出，也不至于冒这个险吧
121,让它开
122,峰值？
123,小哥，好久不见
124,这是当年里约奥运会期间去采访巴西毒贩记者
125,小熊队
126,峰值？直线上升中呢
127,这是个狠人
128,奶音猛男你好
129,峰值？我觉得还早。。
130,辣个蓝人，又是你
131,小哥哥很勇猛哦
132,很多球员不同意
133,又是你？
134,牛人
135,峰值还早呢
136,谁定的峰值！！！！
137,←有
138,白袜队不服
139,前面的，是巴西好不好
140,太难了 啊
141,这个记者有点眼熟
142,奶音猛男好评
143,猛男你好
144,一超多强
145,他还会说巴西语
146,会说巴西语
147,这位大哥是猛男！
148,刘哥总是出现在最危险的地方
149,采访西班牙毒枭的那个记者！
150,一讲英文怎么声音都变了
151,有人吗？
152,快开
153,又是你
154,唉，消停点吧
155,安静
156,敢不敢掀起留海，让我们看看发际线
157,没人？？？
158,直接搞直播？
159,热乎的
160,峰值？
161,又是辣个蓝人，骞哥我偶像。
162,好帅。
163,在线呗
164,听川皇的
165,是那个猛男啊！
166,刘哥好
167,要不安全了
168,小哥长得好帅
169,有点帅
170,可以可以
171,骞哥威武！
172,这个小哥不简单
173,刚刚！是刚刚！！！
174,？？？？
