,comments
0,哈哈哈哈
1,妈妈最爱的儿子
2,怎么啥都问中国要
3,不给
4,欧耶
5,现在看这个，太搞笑了
6,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
7,表情包get
8,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
9,笑？ 人家的意思是制造业搬家 真以为自己不得了看问题药多面
10,因为 全球分工 一个想活的舒服 一个要发展起来 
11,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
12,怪我们咯？
13,We need china
14,在告诉你一个惊喜 你的领带也是Made in China
15,意思就是我需要china!
16,哈哈哈哈哈
17,总统先生made in China
18,太难了，他们
19,尴尬现场
20,你们连国旗都是我们制造的
21,我们需要好人，made in China
22,好！好！哈哈哈哈
23,你以后还需要中国疫苗
24,哈哈哈哈哈哈哈哈
25,MADE IN CHINA
26,惊不惊喜，意不意外？
27,MADE IN CHINA
28,Made in china
29,哈哈哈哈哈哈
30,达安基因
31,我也听的是guns？
32,《made in China》
33,哈哈哈哈哈哈
34,made in China
35,我们在努力让他made in other countries
36,你忘了裹尸袋，嘿嘿嘿
37,可能这就是美国不积极抗疫的原因他们想要自己赚这笔钱
38,您也是自己人？
39,and we live in china
40,哈哈哈哈
41,我爱中国
42,背景音乐很搭
43,好好
44,小朋友，你是否有很多问号
45,他自己最后都说了，好好
46,好
47,哈哈哈哈哈
48,噗嗤
49,好  好
50,我们不需要漫威
51,Made in China
52,美国省
53,xswl
54,美元可是美国制造的
55,哈哈哈哈哈
56,？？？？？？？？？？？
57,不要还给我们
58,我们需要漫威，made in usa
59,哈哈哈哈哈哈哈
60,妈宝太郎
61,惊不惊喜，意不意外
62,哈哈哈
63,不要还给我们
64,想知道那声笑是什么意思？冷笑嘛？还是敬佩?
65,你是能不用还是咋的…？
66,好
67,中国
68,嘿嘿
69,接着就行
70,妈妈最爱的儿子
71,哈哈哈哈哈哈
72,好！好！好！
73,心理阴影
74,因为实惠
75,哈哈哈哈
76,不知道啊
77,战忽局龙组安排一下，找个机会做了他
78,怪我们咯？
79,哈哈
80,哈哈哈哈哈哈哈哈哈哈哈哈
81,小伙子你心里是否有许多？？？
82,哈哈哈哈哈哈哈哈哈哈
83,penta kill
84,美国制造业可以转移不能回流
85,哈哈哈
86,科莫，你不懂的多了
87,科莫莫，你不懂的多了
88,中国加油
89,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
90,哈哈哈哈哈哈
91,好好好好好！！！！！
92,made in China
93,n
94,妈妈最爱的儿子
95,MADE   IN  CHINA
96,made in China.哈哈哈
97,这个，哈哈哈哈哈
98,e
