,comments
0,我们还没有开学
1,不要开学啊啊啊啊啊啊
2,不要开学啊啊啊啊啊啊啊啊
3,不要开学啊啊啊啊啊啊
4,开学啊啊啊啊啊啊啊啊啊啊啊啊啊
5,哈哈哈
6,温州人
7,神兽
8,？
9,别做梦了，哈哈哈
10,想上学
11,我要开学
12,辛苦了
13,不要开学啊
14,最美烟熏妆
15,一边上班一边抗议
16,不要开学！！！
17,我要上班
18,求开学，我在家里淡出鸟了
19,吉林毕业生求开学
20,这个偶尔发音是俺们典型的瑞安普通发
21,我很久以前是一年级 1994年到现在有多久啦
22,这些小祖综再不上学真的要乱了啦
23,(高二狗)真的想开学。。
24,开你吗
25,迅速
26,我大瑞安人才辈出。
27,在家天天被骂我要回校
28,我要上学
29,要不退学费也行呀 大学生太穷了
30,快点开学呀 
31,听到没，别做梦了
32,稳住，别慌
33,现在的黑眼圈比之前好多了，看来我们疫情确实好多了
34,你别做梦了
35,很纠结想不想开学
36,不开学真的好吗
37,哈哈哈
38,很多学校宣布这学期不开学了，你们。。
39,不要开学啊啊啊啊啊啊啊啊啊啊啊啊啊
40,上了一个月班的路过
41,我要上学
42,治疗掉
43,迅速的解决掉
44,在家里不要上学吗
45,胖了
46,你别做梦了
47,你们不上学，我还要上班啊！不然怎么还贷款啊！
48,不想开学
49,大学的，老想上学了
50,老师辛苦啦。
51,加油
52,是的呀，这样的生活我够了
53,我很久以前是一年级～
54,我求你了网课吧，我诚实
55,不要开学
56,教授辛苦了
57,这以后都会是常态
58,新常态！！
59,张老师注意休息啊
60,梦该醒了
61,这黑眼圈
62,广西开学啊！啊啊啊啊啊啊啊啊
63,你们听到救护车声音了吗
64,要开学咯！
65,想不想上学是自己的事 不想上学碍你们啥事了 这都值得喷
66,健身房快开门吧
67,我猜前面的是小学生
68,咖啡机咖啡机打钱
69,哈哈哈哈哈哈哈
70,谢谢医生，大爱无疆
71,辛苦您了
72,辛苦了
73,论持久战
74,我已经上了两周了
75,我想上学啊啊啊啊啊
76,黑眼圈啊，辛苦了
77,耳朵长的真好
78,快开学啊啊啊啊啊，快让我去实习啊啊啊啊啊
79,上学！冲冲冲！
80,慢一点上学吧    拜托了
81,我要上学我要上学
82,快点开学啊啊啊啊啊
83,好想上学
84,该读书的，放我们去读书！！！！
85,张教授辛苦了
86,那这样一定要给医生、护士加工资才行！
87,请送我去上学！！！！
88,就你这点能耐，提鞋去吧
89,明天开学了
90,那个咖啡机是什么牌子的，有点想要
91,就是说少见多怪
92,哈哈哈
93,前面不上学的你认为文科很舒服吗？
94,不要开学啊！
95,小区还不解封 不让进
96,张老师，眼圈好重。注意休息哈
97,我要上学我要上学
98,跟我高中政治老师好像
99,开学开学
100,听见没有，赶快开学
101,所以吉林省啥时候高校开学
102,我要上学啊啊啊啊啊啊啊
103,老张是真务实
104,好想上学
105,迅速的消灭掉
106,他到底是干什么的？他代表谁发言
107,这种黑眼圈一般人长不出来的……
108,赶紧给高校开学吧 要哭了
109,一听就是老新闻周刊了
110,老师辛苦了
111,快开学啊
112,我已经习惯戴口罩了
113,张医生，好好休息一下吧！辛苦了
114,哈哈
115,哈哈哈认命回学校吧
116,口吐芬芳了，剪了
117,哈哈哈哈真的好直接
118,？？？
119,阴间视频
120,赶快上学吧啊啊啊啊啊啊啊啊啊
121,太惨了
122,张医生黑眼圈消了好多
123,不想上学…
124,好直接哈哈哈哈
125,哈哈哈
126,有1就有2 有2就有3 不能放松警惕
127,留学生哭了
128,北京开学！！！！！！！！！！
129,黑眼圈好重
130,这黑眼圈
131,+1
132,好想开学
133,我以为他要说解决掉，噗哈哈哈哈哈哈
134,该吃吃该喝喝
135,张文宏也有胶囊咖啡机
136,辛苦
137,加油
138,还是要戴口罩，勤洗手
139,你别做梦了
140,这个黑眼圈，心疼啊
141,高校还不肯开学！
142,迅速地处理掉
143,明天开学
144,今年怕是要网上毕业了
145,东湖啊
146,心疼
147,这黑眼圈厉害了啊
148,老师黑眼圈严重啊
149,这是在说云南用生命求学的莘莘学子吗？
150,再不开学我就毕业了啊
151,不是不正常，是不现实
152,山东高校啥时候开学，我想读书
153,我不要上学啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
154,要开学了啊，舒服舒服
155,我不要上学啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
156,2333
157,新闻周刊
158,眼圈好重，张医生辛苦了！
159,收到了！那么，山东高校啥时候开学
160,出门戴口罩勤洗手保护好自己
161,加油
162,加油
163,加油
164,。
165,没错！
166,是的
167,持久战
168,233
169,hao
