,comments
0,就是租
1,卢恩符文
2,医学记录念得快，行政措施用词用字用得少，自己都不认得，反而记者对行政用词更能识别。真实不做作
3,字挺好看的，很有感觉，就是我真的看不懂（＃－.－）
4,加油
5,看懂了“大家一起”
6, 我找到认识的字了！！年龄那个框框
7, 我早先认识的字了！！年龄那个框框
8,医生只是视力差，不是认不到啊。。。
9,医生:我们一般凭感觉
10,中国加油 加油 加油 加油
11,这个病那个字真的厉害
12,我能看懂一大半
13,爱信不信，忙到一秒都要挤
14,据说在以前医生真的有专用字
15,辛苦了
16,看到T波异常
17,加油
18,真加密文字
19,？？？？？
20,初二之前，谁会想到这么严重，现在马后炮真多，都是方方之流
21,666
22,严谨
23,china 加油
24,解码失败
25,不是主任写的好吧，前面都说了有记录人了，都是记录人写的字啊，主任认不出也有可能啊
26,啊
27,现在记者跟我们一样懵
28,专业字体
29,审核了？
30,不用打码，我看不懂
31,这是速写吧
32,完全看不懂
33,这字可以啊，基本能看懂
34,有电话号你看不懂？没看见尾号吗
35,刘欣！
36,不打码也看不懂啊
37,现场解密
38,自带密码
39,加油
40,666
41,致敬张医生
42,中国加油
43,别打啦，我不识字啊！
44,加密
45,打码好随意
46,真的看不懂。。
47,中国加油
48,？？？
49,参与会诊的医生没有感染已经不错了
50,中国加油
51,？？？？？？？！！？
52,。。
53,中国加油
54,就像快速笔记一样
55,这个是字？
56,加油
57,说这些干嘛呢？
58,自己都不认识了吧
59,假装明白
60,中国人都看不懂，别说外国人了
61,哈哈哈
62,加油
63,哦哦
64,666
65,加密文本
66,她也得慢慢看
67,打码应该是患者名字
68,果然医生的文字是专用的医疗体
69,哇，我竟然认出了CT
70,？
71,37号？？？
72,不打玛我也不认识
73,我看懂了“呼吸”
74,！！！
75,我就看懂一个数字6
76,中文不适合速记？字母语系记录快了错误才多
77,像天书一样
78,打码是保护患者隐私啊，那个是患者信息
79,哈哈哈哈
80,医生的字还真是不好看清
81,加密文件
82,？？？？？？？？？？
83,自己也得看一会
84,考试，害怕害怕害怕
85,考试
86,哈哈哈哈，自己都不认识
87,我半个字都认不得
88,医生加密文字
89,说实话了
90,加油我们一定赢
91,解 码 眼 镜
92,医生都写拉丁文
93,自带加密文件
94,自带机密文件
95,记者厉害
96,弹幕需要审核？
97,翻译眼睛哈哈哈，想要
98,没事，加密字体，
99,认真，负责
100,中国加油！
101,别打码了，反正也看不懂
102,双黄连刚开始研究就报道了，结果造成很多人抢购，科学还是要严谨
103,科学要严谨
104,这是有字体的啊，认真的写肯定很好看的
105,只认识自己的签名
106,我看不懂
107,我們又見到劉欣了！
108,厉害了
109,哈哈哈哈隔，你问记者？！
110,解密中断
111,医生：我写了些啥？
112,中国加油
113,欣姐
114,他们反应不快，
115,听说是校友，致敬
116,哈哈哈哈哈哈哈哈哈哈哈哈hh或或或或或或或或或或或
117,摩斯密码
118,打码的是名字啦，病例没啥好打码的
119,嗯承认吧
120,笑死我了
121,？？
122,啥子哦
123,0
124,你们这些人，能认识几个中国字，专业的词汇又不懂，能看懂才怪
125,？？？这字
126,看不懂的字
127,医生的字都是这样加密的吗？
128,记者:这几个字写的我能看懂，医生:这字有点工整我看不懂了
129,针对性治疗
130,天书
131,这需要打马赛克吗
132,不要刷了
133,眼睛臂戴到帽子外面了，强迫症表示很难受。。。
134,眼镜臂戴到帽子外面了。。
135,机密文本
136,加油
137,当时新闻出来我也没想到这么严重
138,还用打码吗
139,因为要快，平时病人多，你写慢了，治疗速度就慢。病例比这还惨
140,手写。。。
141,的确是的
142,记者厉害 哈哈哈哈
143,我聋了
144,我不是医生 但是我写的字我也不认识
145,字还挺好看，就是看不懂
146,不打码我也看不懂
147,我怎么突然有点听不懂说的啥
148,我就看懂四个字。大家讨论
149,针对性
150,没有吧
151,哈哈哈哈哈哈
152,哈哈哈哈哈各种资料
153,她是科室主任
154,针对性治疗
155,写病历 会诊记录v
156,加油
157,说要审核那个造谣了
158,除了数字基本看不懂啊
159,慢放了三遍看清了人名。。。马赛克打晚了
160,这字真好看
161,武汉加油
162,如果想美国似的可能含糊过去了
163,只是因为发现没效果做了更仔细的专家会诊和检查
164,加油哦
165,武汉加油。
166,同款档案盒。
167,加油
168,中国加油啊
169,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
170,技术活
171,终于看到采访张继先的了
172,。。。。
173,加密文本
174,加密通话
175,辛苦了
176,针对性
177,中国加油
178,??????????
179,致敬
180,致敬致敬致敬致敬致敬致敬致敬致敬致敬致敬致敬
181,医生的字不打码我也不认识…………
182,秘密文档
183,加油
184,中国加油
185,中国加油！
186,不是张医生写的！！！！！看清楚是尹琴
187,什么语言
188,中国加油！
189,翻译眼镜hhhhh
190,解码眼镜
191,难道全世界的医生真的发明了一种文字
192,加油
193,戴眼镜也不一定能看出来吧hhh
194,果然加密了
195,这么多？？
196,解密失败
197,人工解码中
198,解码眼镜
199,？？？？？？？？？？？、
200,弹幕要审核么
201,中国加油，武汉加油，黑龙江加油
202,什么捏
203,我们遇到冠状病毒，也不要怕！微笑着面对它！消除肺炎的最好办法就是面对肺炎！坚持才是胜利！中国，奥利给！
204,前面有药方
205,中国加油！
206,武汉加油！
207,兔子加油！
208,不好意思恕我才疏学浅就是不打码我也看不懂这字
209,完全看不懂
210,哈哈哈哈哈哈哈哈
211,向白衣天使致敬
212,看不懂
213,致敬
214,加油
215,祖国加油
216,早期住进去了嘛，救活了呗，后面住不进了，人多了
217,加  密  文  字
218,不打码我也看不懂
219,老师，别念了
220,加油中国，中国加油
