,comments
0,太痛了
1,真的很恩爱 
2,刚开始就哭了
3,太难受了 
4,致敬
5,致敬
6,院长家好朴素啊
7,眼泪真的止不住
8,不要啊 不要这样…
9,苍天 为什么这么残忍
10,这么好的人没了 是国家的损失…
11,天啊 神经外科超辛苦超厉害…
12,难过死了
13,天啊 这对夫妇真的好好
14,眼泪止不住
15,这样好的夫妻为什么没能到白头…难过死了
16,去最危险的最困难的地方战斗
17,天啊
18,好难受。时光倒不回去了。这么好的人回不来啊
19,越是相爱越是难分
20,感谢英雄
21,哭
22,太年轻了老天不公
23,呜呜呜呜呜呜
24,多好的男人
25,家里还有孩子
26,哭死，刘院长真英雄，这才是我们应该崇拜的偶像
27,唉
28,这男人也太好了吧QAQ
29,这就是爱情啊QAQ
30,致敬
31,致敬
32,多幸福的家啊
33,致敬
34,唉，唉
35,rip
36,逝者已去，生者自强
37,伟大的爱情
38,致敬
39,致敬
40,致敬
41,唉。好心痛
42,哭了，哭了，哭了
43,太难了
44,致敬
45,真的好感人
46,希望您能好好调理身体  整理心情  继续过好日子
47,医生已经尽自己最大的努力了
48,真的太难了 两面夹击
49,多么积极向上的一位医生啊
50,真的辛苦你们了
51,好懂生活的医生啊
52,真的辛苦您了
53,致敬  
54,不容易，致敬
55,致敬
56,好医生
57,致敬
58,致敬
59,我看哭了
60,好棒
61,好相爱啊，失去一定很痛苦
62,抱抱姐姐，我都要看哭了
63,致敬
64,只知道你们苦，却不知道你们这么苦
65,致敬
66,致敬
67,眼睛进砖头了
68,致敬
69,致敬
70,致敬烈士
71,致敬
72,真的太惋惜了
73,会好的
74,会好的
75,会好的
76,致敬
77,这样的父母培养出的一定是最优秀的孩子。
78,铭记，前行。
79,是的
80,你也超级累的啊
81,致敬
82,医者仁心！
83,我哭到停不下来
84,真哭了
85,致敬
86,致敬
87,致敬
88,致敬
89,抱抱
90,致敬
91,致敬英雄
92,致敬
93,致敬
94,致敬，忙碌可以延缓悲伤情绪的影响，时间长了，就能好一些
95,致敬！
96,致敬！
97,和我堂姐一个医院
98,致敬
99,闺女大一还好说，儿子才初中不好照顾的
100,致敬，走好，定不负您
