,comments
0,又重了
1,都画发际线了就别洗头了
2,那是刘德华吧
3,h哈哈哈哈
4,太帅了
5,摸鱼了
6,哈哈哈哈哈哈哈哈哈哈
7,摄像手太稳了吧
8,哈哈哈哈哈哈哈哈哈哈哈哈哈
9,哈哈哈哈哈哈哈哈哈哈哈
10,?
11,fansile
12,哈哈哈哈哈哈哈
13,？？？？？？？？？？？
14,哈哈哈哈哈哈哈哈哈
15,哈哈
16,我不装了，我摊牌了
17,？？？？？？？？？？？？？？？？？？？？？？？
18,？？哪里可以学剪头
19,牛皮
20,《萌新》
21,企业是免交的····
22,心怀不轨
23,哈哈哈哈
24,说人话
25,不是看你一把年纪了？哈
26,聊死了
27,这说话是真的有水平
28,手机袋
29,还是国企好
30,这人去植发了么
31,把我男朋友都吵醒了
32,啥玩意？？
33,万一………
34,震惊，央视记者初体验，一天竟然只赚20块钱！     小编今天和大家分享下，央视记者去理发店复工初体验竟然只赚了20元，是不是非常让人感到意外呢？
35,震惊，央视记者初体验，一天竟然只赚20块钱！     小编今天和大家分享下，央视记者去理发店复工初体验竟然只赚了20元，是不是非常让人感到意外呢？好了，以上内容就是本期全部内容了，下期再见！
36,半夜憋笑哈哈哈哈哈
37,已经很便宜了
38,？？？？？？？？？？？？？？
39,谢谢
40,哈哈哈哈哈哈
41,哈哈哈哈哈
42,？？？？？？？？？？？？？？
43,装垫儿台
44,头数   哈哈哈哈哈
45,挺年轻啊
46,在线开车
47,家都没了还行
48,哈哈哈哈
49,光大
50,点名广大
51,真滴专业！新闻发言人
52,随时随地吃播
53,哈哈哈哈敷衍
54,哈哈哈哈哈哈
55,哈哈哈哈哈哈哈哈
56,这个同意
57,尬
58,有央视内味儿了
59,五年都这末次 哈哈哈
60,辛苦了
61,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
62,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
63,哈哈哈哈
64,教育培训冲击太大了 还有很长缓冲期现在学校一星期上六天学
65,哈哈哈哈哈哈哈
66,一个月减一次头发的我，花个百来块洗个这样的头我还是可以接受的
67,萌？
68,光大 危
69,熟悉的手机袋
70,太可爱了这个小姐姐
71,一颗头一块钱？
72,哈哈
73,就硬聊呗
74,哈哈哈哈哈哈哈哈
75,哈哈哈哈哈哈
76,这里剪一次得两三百吧
77,????????????
78,我外放，我擦
79,帅
80,武汉国际会展嘛这是
81,专业起来了
82,装垫儿台
83,我不是记者
84,生活难
85,唉
86,会说话
87,真的
88,？？？？？？？？？？？？？？？？？？？？？？
89,在央视洗头的
90,不愧是你
91,至少两个机位，这头洗的压力好大
92,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
93,靠这么多
94,哈哈哈哈哈哈哈哈
95,这几个发量怎么这么好
96,？？？？？？？
97,这小拇指翘的…
98,感觉下一秒辛巴主题曲的狂吼要迸发出来了
99,2.3月贷款 信用卡都可以延期还款 打电话说一下就好了
100,我们家也延后了一个月
101,资深设计师 设计总监本来工资就高还有分红
102,哈哈哈
103,光大出来挨打。
104,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
105,太能说了
106,打着央视新闻的牌子呢
107,央视点名光大
108,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
109,这题目就明显超纲了啊
110,上流
111,正片开始
112,被绑架了就眨眨眼
113,叔 这口罩有点小啊
114,？？？？？
115,叔为啥跟个厨师似的
116,哈哈
117,气突央
118,这是理发师而且这家不便宜啊
119,我要学剪发
120,不愧是你
121,就这
122,哈哈哈哈哈哈哈哈
123,哈哈哈哈哈
124,？？？？？？？
125,你在跟央视合作
126,没说话就不会留下证据哈哈
127,这是企业的发言人吧这么专业
128,哈哈哈哈哈哈哈哈哈
129,哈哈哈哈哈哈哈哈
130,哈哈哈哈哈哈哈哈哈哈哈哈
131,搞清楚，这是央视新闻，问收入很正常啊，了解民生，被问到人也没有不愿意说出来啊
132,不对啊 教培不是最后一波呀
133,嗯.......嗯
134,头数？？？？
135,？？？？
136,？？？
137,@1818黄金眼 出来干活了
138,走路好像张嘉译呀
139,美化了 美化了
140,萌？新
141,叔，他们只是不放心你剪头发
142,哇
143,哈哈哈哈
144,帅哥哥好厉害！！！！！
145,尬聊第一名
146,好赚啊
147,哈哈哈哈哈哈哈哈
148,哈哈哈哈哈哈哈哈哈我笑死了
149,致敬
150,tony
151,色眯眯色眯眯哈哈哈哈哈
152,发际线也能画？？？？
153,推迟到九月份吧
154,哈哈哈哈哈哈
155,知识盲区
156,点赞可爱的义剪小哥
157,哈哈哈哈哈洗个头几个镜头架着
158,女顾客：这个人怎么那么机车
159,哈哈哈哈哈哈
160,顽皮中年人，吸引力饱满
161,都挺精致的
162,哈哈哈哈哈
163,像小哥致敬！
164,哈哈哈哈哈哈哈
165,？？？？？？？
166,真的像厨师哈哈哈哈
167,平时一天洗20多个也有7000+的
168,黄埔路一方商场的资生堂最贵
169,哇呜
170,哈哈哈哈哈哈哈
171,？？？？好厉害
172,开头是你，对吧哈哈哈
173,我就是教育培训机构的，已失业TAT
174,身体很老实
175,光大，是不行的。
176,？？？？？？？？？？？？？？？？
177,我理个发才6块
178,哈哈哈哈哈哈
179,哈哈哈哈哈哈
180,别滴我头上
181,我讨厌洗头的时候跟我瞎聊天的
182,呛找我了
183,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
184,哈哈哈哈哈哈哈哈哈哈老洗头工了，干了5年还是洗头
185,来洗头的
186,反了吧，明明是企业免交，个人部分还是要交
187,哈哈哈哈哈哈哈
188,哈哈哈哈哈哈哈哈哈
189,？？？？这么高 
190,专业
191,传统技能，蹭吃蹭喝
192,拖！！！！！
193,大开大合
194,？？？？？？？？？？？？？？？？？？？
195,特能聊
196,？？？？？？？？？？？？？？？？？？
197,？？？？？？？？？？？？？？
198,丑新
199,？？？？？？？？？？？？？？？？
200,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
201,。。。。
202,哈哈哈
203,哈哈哈哈哈哈哈哈哈哈哈
204,以为是狮子王
205,啊 我正在吃祐禾
206,做什么工作注入灵魂
207,不要用手抠鼻子
208,。。。。
209,剪头发这么赚钱啊，一两万
210,配合
211,你还真敢问，他也真敢说
212,尬聊
213,萌新
214,试图加入
215,小龙虾要拔虾线
216,在央视鬼喊鬼叫第一人
217,这是发廊老板吗。。这么有文化
218,哈哈哈哈哈哈哈
219,哈哈哈哈哈哈哈哈
220,哦，武商呀
221,谢谢小哥哥呀
222,啊哈哈哈哈哈哈哈叔呀
223,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
224,小姐姐好可爱啊哈哈哈哈哈哈
225,叔呀
226,师傅在旁边监工哈哈哈哈哈哈
227,小姐姐： ? ? ?
228,哈哈哈哈哈哈哈
229,小姐姐好懂啊哈哈哈哈
