,comments
0,老谭加油！
1,老谭加油！！！
2,大家加油
3,保护
4,@欧美国家@澳大利亚
5,世卫：我到底是造了什么孽？？
6,保护
7,人民都没有了，又谈何政治
8,世界加油
9,中国想合作，但是也要有人听啊！
10,老谭太难了
11,加油！
12,同志一切安康！！！
13,坏起来了
14,世界加油
15,@美国
16,点名特朗普
17,老谭，不容易啊
18,玩火尿床
19,加油
20,加油
21,加油
22,同姓
23,我
24,确实
25,瘟疫公司的制作人是不是看见未来了
26,郑智化:我已经几十年没玩过火了！
27,凛冬将至
28,老谭加油
29,哦～
30,加油
31,↑放送事故？
32,加油
33,老谭加油！
34,带你成盒带你跪
35,自由！
36,太难了
37,老谭加油
38,郑智化：？？？
39,人类加油
40,保护
41,保护我方老谭
42,保护我方老谭
43,为无辜的人祈福
44,加油！！
45,WHO加油啊！！！！
46,保护保护保护
47,老谭加油！！！
48,谭同志好
49,谭书记好
50,支持
51,末世
52,加油加油
53,建国加油
54,.说的对
55,加油
56,说得好
57,世界加油!
58,感觉世卫组织好难啊！
59,说口音重的人  听力能力很差
60,老哥挺住
61,谭德塞：我代表德先生和赛先生向全世界发出如下呼吁
62,美帝的一般民众能看到这个视频吗
63,老谭真挺努力的。好干部。
64,说给美国的
65,老谭操碎了心
66,突然又想起了三体
67,哦
68,这英语是不是有点口音
69,川普不会听
70,@美国
71,我们何其有幸，生在华夏
72,应该是让我们阻止这场悲剧吧
73,热乎的
74,他跟我同姓！！！
75,心累
76,保护保护
77,印度?
78,没错
79,加油
80,保护我方老谭！
81,世界加油！
82,不可能
83,直接说美国注意了就行了
84,老谭保重
85,什么口罩鸭
86,点名特朗普
87,世界加油，
88,嘿嘿嘿
89,老哥又来了
90,嘿嘿
91,我投币了，你呢？
92,老谭保重
93,世界加油！
94,世界加油！这是世界的灾难，要共度难关
95,中国结束了
96,老谭，辛苦了
97,保护
98,保护
99,加油
100,世界加油
101,口罩？
102,是啊
103,加油
104,加油！！！
105,世界加油
106,热乎
107,见证历史
108,说得好
109,加油
110,加油
111,加油鸭ヾ(✿ﾟ▽ﾟ)ノ
112,支持你们，加油
113,嗯
114,保护
115,嗯
116,加油
117,为撒这个老哥说话那么让人爱听？
118,世界加油
119,保护
120,地球加油
121,明白人
122,加油加油
123,加油啊，世界
124,加油
125,奶油
126,厉害
127,希望世界快点好起来
128,加油
129,世界加油
130,加油
131,对的
132,加油
133,是的呢
134,热乎的
135,来了来了
136,第一发弹幕，第一个播放
137,弹幕呢
138,热乎
