,comments
0,致敬
1,致敬，谢谢你们
2,辛苦了
3,国士无双
4,致敬！！
5,辛苦了
6,致敬
7,国士无双
8,国士无双
9,致敬
10,致敬！！！
11,国士无双
12,致敬
13,国士无双
14,致敬
15,谢谢你们！！！！！
16,啊啊啊啊啊太想流泪了，致敬！太强了
17,致敬
18,国士无双
19,致敬
20,致敬！
21,谢谢您
22,美国哭了
23,OHHHHHHHHH
24,感谢钟院士团队支援协和医院西区
25,国士无双！
26,国士无双
27,辛苦
28,致敬抗疫英雄！
29,国士无双，辛苦了
30,辛苦了，谢谢您还有你们
31,国士无双
32,国士无双
33,“我们挺过来了”
34,国士无双
35,谢谢你们，你们的样子就是天使的样子
36,国士无双
37,辛苦
38,致敬
39,致敬
40,谢谢您
41,国士无双
42,辛苦了
43,国士无双
44,国士无双！
45,国士无双
46,1
47,辛苦了
48,国士无双
49,致敬！！
50,辛苦了！
51,致敬！加油！
52,致敬
53,辛苦了！！！
54,这么多天挺过来了，不容易啊！致敬
55,向你致敬
56,国士无双
57,钟老爷子辛苦了
58,坚持 就是胜利！
59,国士无双，致敬
60,辛苦了
61,国士无双
62,国士无双
63,辛苦了！
64,致敬
65,国士无双
66,我们挺过来了
67,我们挺过来了
68,致敬
69,辛苦了！
70,谢谢钟老，谢谢！谢谢！
71,国士无双
72,致敬
73,致敬
74,辛苦了！！
75,国士无双
76,致敬！！！
77,致敬！！！
78,辛苦了！
79,致敬！
80,向医护人员致敬！
81,致敬！！
82,国士无双
83,国士无双
84,国士无双
85,致敬！
86,致敬
87,国士无双！
88,国士无双
89,作为为中国人感到很骄傲
90,国士无双
91,致敬
92,辛苦了
93,致敬
94,中华必胜
95,发自内心的感谢
96,致敬
97,辛苦了各位
98,国士无双
99,国士无双
100,加油
101,国士无双！！！
102,国士无双
103,致敬
104,所有一线医护人员辛苦了
105,国士无双大国风范。
106,致敬
107,国士无双
108,钟老憔悴了好多
109,致敬
110,加油！
111,太感动了啊啊
112,致敬！
113,致敬!
114,国士无双!
115,致敬
116,国士无双
117,致敬
118,国士无双！
119,致敬
120,国土无双
121,真大国重器，国士无双
122,致敬
123,辛苦了啊所有的医护人员
124,致敬
125,声音有点小，有字幕就好了
126,致敬
127,挺过来啦！
128,感谢有你们
129,致敬
130,致敬
131,国士无双！
132,凯旋！
133,致敬
134,致敬
135,致敬
136,国士无双
137,致敬
138,我有国士，天下无双
139,国士无双
140,致敬
141,前面的土和士分不清建议去上幼儿园
142,致敬
143,广医威武
144,国士无双
145,广州医一院！！
146,致敬
147,国士无双
148,钟老幸苦
149,凯旋归来
150,国士无双
151,加油！
