,comments
0,笑死我了
1,名场面
2,Fake news
3,哈哈哈还哈哈
4,官方吐槽哦
5,FAKE NEWS
6,病患注射消毒药水
7,孩怕
8,确诊了
9,专家:？
10,我不认识他我不认识他，别看我
11,不愧是你
12,2020年10月2日，川同志得了新冠，你相信这能是真的
13,快注射 ，你自己刚好得了
14,你现在就注射
15,快进到直播注射消毒水
16,开始你的表演
17,请自行注射
18,10.2考古
19,10月2日前来你已经阳性了
20,同归于尽
21,Birx：你不要看我啊
22,真会说笑！
23,东风快递更高效
24,你懂个锤子！
25,医学鬼才
26,没人比我更懂病毒
27,hhhhhhhhg
28,《天赋异禀》
29,聪  明   绝  顶
30,23333
31,没有人比我更懂你
32,very nicely
33,？？？
34,犀利
35,坐立不安
36,医学奇迹
37,老阴阳人了
38,不塞我说的
39,当时我害怕极了
40,？？？
41,hhhhhhh
42,名场面
43,名场面
44,这样人会被消毒液杀死
45,医学鬼才
46,医学专家
47,努力不认识他
48,Are you readyAre you readyAre you readyAre you readyAre you readyAre you readyAre you ready
49,没有人比我更懂新闻
50,没有人比我更懂病毒
51,懂王
52,没有人比我更懂假新闻
53,cnm
54,Henshin!
55,Henshin
56,6666
57,医学鬼才
58,真的懂
59,极限一换一
60,洗手液也可以
61,懂王
62,fake news
63,666
64,哈哈哈
65,666
66,orz
67,没人比我更懂病毒
68,直接去肺治肺症
69, 瑟瑟发抖
70,大实话
71,经典老番
72,世   界   著  名 药
73,砖家
74,没有人比我更懂
75,6666666
76,名场面
77,没有人比我更懂全世界
78,丨丨丨丨丨丨丨丨丨
79,！！！！！
80,不愧是你
81,你又懂了
82,额，，，   
83,不愧是你
84,恐怖啊
85,我的手风琴呢？？
86,我去，up居然是央视！！
87,专业
88,医学鬼才
89,诺贝尔
90,女：我不认识他，我不认识他
91,扁昔鸟～和扁鹊差不多
92,op
93,但他也能把器官和细胞杀了
94,出现了！fake news！
95,砖家
96,乔治·华盛顿：劳资TM打下来的美国
97,全 知 全 能
98,小天才
99,特朗普：消毒水真好喝
100,我真牛
101,全知全能川普
102,人才
103,名场面
104,没有人比我更懂
105,医   学   鬼   才
106,没有人比我更懂消毒
107,说单口相声呢
108,三年之后又三年
109,加油川建国 马上就要回家了！！！
110,医学鬼才
111,每天一遍，抑郁再见
112,没人比我更懂病毒
113,你好
114,班门弄斧
115,专业团队进入直播间
116,哈哈哈哈
117,我 杀 我 自 己
118,？？？？？？？？？
119,？？？？？？？？？？？
120,名场面
121,专家：我瑟瑟发抖
122,来了，fake news，哈哈哈哈
123,我很了解
124,小朋友你是否有很多问号？
125,聪明啊，老铁
126,太厉害了
127,是的是的
128,消毒剂
129,这样会杀死肺部细胞还会导致破坏肺呼吸功能，导致肺部纤维化
130,专业
131,我透，哈哈哈哈哈哈哈哈哈哈哈，
132,我笑了哈哈哈草
133,医  学  奇  迹
134,宿主没了
135,川牛逼
136,牛逼
137,人 类 之 光
138,哈哈哈哈哈
139,川哥一笑，生死难料
140,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
141,他没有常识
142,哈哈哈哈哈
143,活到老学到老
144,没人比我更懂记者
145,手风琴
146,没有人比我更懂手风琴
147,川普:我特娘的真是个天才
148,没人比我更懂消毒
149,医学奇迹
150,经典老番
151,手风琴带师
152,医    学    奇    迹
153,赶紧推广啊
154,哈哈哈嗝
155,哈哈哈
156,医学教授
157,专业医生
158,就算华佗在世，也会认你为爷爷
159,何不食肉糜
160,没人比我更懂你
161,哈哈哈哈哈哈哈哈哈哈哈哈哈
162,fake news 就完事了
163,小  砖  家
164,女：我是个盗版的
165,手风琴
166,哈哈哈还好还好哈
167,哈哈哈哈哈哈哈哈？
168,正道的光
169,这个可以载入美国史册了
170,光  明  正  大  的  造  谣
171,哈哈哈哈
172,？？？？？？？
173,？？？？？
174,医 学 奇 迹
175,？？？
176,哈哈哈哈哈哈哈哈哈哈哈哈
177,医学鬼才
