,comments
0,哈哈哈哈
1,？？？？
2,今天是2021年1月19日
3,我在武汉买过三分之一的花菜 
4,花菜一半
5,哈哈哈哈哈哈哈哈哈哈
6,哈哈哈哈哈哈哈哈哈哈
7,不是男女，是养家和自己吃
8,哈哈哈哈哈你会称吗
9,买卖嘛  很正常哈哈哈
10,就说熟，还真是白沙洲
11,我靠这是白沙洲吧
12,能选的都是有的选，没的选择只能硬着头皮活着
13,湖中医来报到
14,辛苦了，叔
15,汽水包是什么东西？好吃吗
16,央  视  带  货
17,全是无氧运动
18,戴着95口罩缺氧
19,汽水包是什么
20,不讲价？
21,佛
22,这不便宜啊
23,连去皮这功能都不知道？还杠？真当自己是后浪？
24,洋葱没有排面
25,来了
26,现在想端直接天眼就够了
27,迷茫
28,哈哈哈哈哈哈哈哈哈哈哈哈哈
29,南方的菜放不久的
30,哈哈哈
31,买菜也不容易
32,有点贵
33,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
34,哈哈哈哈哈哈大姐太可爱了
35,好帅啊，叔都累出双眼皮了，哈哈哈哈哈哈哈哈
36,建议搞个小推车
37,我在这【狗头】
38,新发地警告
39,迷茫
40,武汉每个区的口音都不一样 不必纠结啦哈哈哈
41,啊呀这熟悉的大市场
42,迷茫可怜无助弱小
43,哈哈哈哈哈哈哈哈哈哈
44,好贵哦
45,哈哈哈
46,哈哈哈
47,青山区妇幼三弓路那
48,还真是建设一路
49,哈哈哈哈哈
50,哈哈哈哈哈哈
51,环保袋+1
52,燥起来
53,居然是我家对面的菜场......
54,前门泰坦尼克三等仓舞会的等等我
55,2020.6来看，最近地毯车挺火的
56,哈哈哈哈哈哈哈
57,搞个小推车吧
58,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
59,哈哈哈哈哈哈哈
60,空虚公子
61,没钱的人都喜欢买好车
62,好担心等会查人货混装
63,妹子别拐啊，怼上去
64,瞧瞧人家大姐，都不带喘气的
65,不错 力资省了
66,白沙洲啊
67,这是一顿的价 想啥呢一个个的
68,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
69,我爸妈就是这样卖菜的  真的太辛苦了
70,有没有 武昌工学院的
71,泪目
72,泪目
73,迷茫
74,没有弹幕？
75,菜场故事哈哈哈哈
76,这是靠近建一与三弓路之间的地方
77,这BGM是 john ryan polka 啊
78,太辛苦了
79,为什么不用小拖车？
80,说的对
81,咱南方都是吃新鲜的，吃菜要吃品种多。
82,"真不错,咱们的国民素质真是提高太多了"
83,会好的
84,我在这里买过菜！
85,建设一路嘛？
86,我去过嗷
