,comments
0,不懂就不要乱说，练什么签名，醉了
1,感谢
2,最厌恶那些老公知在那阴阳怪气说垃圾话
3,方方住大别墅了
4,我们小区没有感染者但每天社区工作人员都坐在大门口工作
5,以前打农药的
6,租房和合租的也多 因为价格便宜
7,老小区 都要老的不行了
8,《在一起——武汉人》里面的原型应该就是这位皮大姐
9,皮定均
10,真实
11,感动
12,现在都有打印的处方笺和收费单吧 
13,老社区最累
14,主要数量太大了 做不过来
15,害
16,阿姨太累了，辛苦了
17,就骗他说国产的也要让他吃下去
18,这房子看着像九龙城寨
19,皮皮鲁
20,饼叔
21,真实
22,才知道叔真名...
23,栏杆涂油过于真实...
24,BGM：Faure 的sicilienne（西西里舞曲）
25,卧槽 真是万松园小区啊
26,感谢你们！！
27,隔壁小区
28,医院的单子能看懂的都是奇人
29,哈哈哈
30,好安静
31,中国这次能够抗疫成功，也离不开咱们这些社区工作者们的付出啊
32,皮皮鲁就姓皮啊
33,说得对！嗯嗯！
34,你们辛苦了，爱你们
35,好辛苦啊。致敬
36,这个社区装备很好了 我支援的社区没这么好的防护 0.0
37,太不容易了
38,致敬
39,快退休啦~要好好休息哇
40,哈哈哈哈 保持乐观~
41,电动喷雾器，我用过
42,这个脱下口罩的立意太棒了
43,辛苦了
44,哈哈哈哈哈哈哈哈
45,真的好累啊
46,天呐，好辛苦
47,辛苦了!
48,这个口罩好难受哇，鼻子都遮住了
49,不是求着别人活着，他只是想做好自己的工作吧
50,这集看过，当时很感动
51,历历在目的二月
52,致敬
53,伟大
54,街道工作不好干，而且没有编制的人待遇很低
55,有居委会就不需要物业了
56,真实
57,你好，社区送温暖
58,5.23了
59,难道救命的过程就不可以提辛苦了吗？
60,哈哈哈
61,武汉的社区确实辛苦到了
62,辛苦了
63,辛苦了
64,不容易啊
65,老人又不懂，医生开什么说什么就怎么吃，自己买怕吃错了怎么办
66,致敬
67,致敬
68,致敬
69,致敬
70,致敬
71,处方药很多都不是中文，怕你自己去买来吃出事
72,万松园这里
73,23333333
74,青少年要认真想，我们这一生到底是要为了什么而奋斗
75,这不涨工资怎么能行呐，太难了
