,comments
0,这个最搞笑
1,？？？？？？？？？？？？
2,川宝宝的妈妈粉。。。
3,这种人出事了不配别救，还要为因为他的人性感染了别人讨个公道
4,自由美利坚，和平每一天
5,自由 自由啊啊啊啊啊啊啊啊啊啊啊啊
6,明白人
7,喜欢民风，ｉ了ｉ了
8,我喜欢这哥们，哈哈
9,爱了爱了
10,喜欢这民风，ｉ了ｉ了
11,草
12,哈哈哈哈哈哈哈哈哈哈哈哈哈
13,我一直以为只有日本人这么中二，这美国人也是。。。哈哈哈
14,看来低智是可以传染的【doge】
15,加油
16,加油
17,枪击每一天
18,自     由
19,真的刷新了我的三观
20,天啊，这也太…哎～
21,欢迎来到动物园直播
22,川宝妈妈爱你
23,脑抽吗
24,No作nodie
25,自由美利坚
26,向我开炮！
27,对对对，你说得对
28,freeeeeeeeeeeedom
29,明白人
30,心疼记者小哥
31,文明观猴
32,总算是知道为什么美国有丧尸末日了
33,这不是自由主义了，这是极端自由主义者。
34,恶心啊
35,这个记者小哥哥好帅～
36,Freeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeedem~
37,加油
38,川宝，妈妈爱你
39,美丽的风景线
40,新专有名词诞生，记住要考
41,此人安排一下，需要做一个医学解刨，免疫新管
42,国家没了你们就彻底自由了，自由殖民地
43,这跟曾经不愿意剪辫子的中国人没差了
44,特异性免疫
45,？？？？？？？？
46,大        无       畏
47,当一堆人发热咳嗽浑身无力，拿脚去发展经济吗
48,带着口罩说话就是硬气
49,带着口罩说话就是硬气
50,带着口罩说话就是硬气
51,好莱坞:这种人才我们要了
52,没见过这么奇怪的要求
53,为了免费而战
54,战术指挥
55,加油，你们是最棒的
56,慕洋犬：好羡慕
57,摘口罩吧
58,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
59,干的漂亮
60,哈哈哈哈哈哈哈哈
61,孔乙己处刑曲？？？
62,死亡录像
63,free
64,记者的心理阴影
65,冲冲冲
66,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
67,哈哈哈哈哈哈哈
68,现在300万了
69,？？？？？？？？？？？？？？？
70,您厉害
71,？？？？？？
72,？？？？？？
73,？？？？？？？？？？
74,你话太多了
75,因为他们吃不饱
76,这是真话对于他们来说，因为吃不饱
77,H1N1疫苗打的比谁都勤快
78,作秀
79,加州不民主党铁盘么？我是不是记错了？
80,记者都特么想穿防护服
