,comments
0,哈哈哈哈哈哈哈哈
1,中国好
2,五一快乐
3,刚强哥去组队
4,好亲切啊
5,手前面的好像我家的案板哈哈
6,劳动节快乐
7,！
8,真好
9,满分作文
10,山西今天36度
11,祝所有劳动姐节日快乐
12,难的看你那么开心的笑
13,我一度怀疑不是官方
14,眼镜好奇怪
15,眼镜是戴个框子吗
16,快乐
17,快乐快乐
18,好
19,不放假哈哈哈哈
20,满分作文
21,许楠有点热
22,节日快乐！
23,小手指好可爱
24,cue康康和小撒
25,加油
26,没错没错
27,节日快乐！
28,康辉康康了吗
29,可惜我没有康康到
30,五月三日商丘四十度
31,刚强老师考虑带货吗
32,男神好帅
33,感觉还没反应过来 就到盛夏一样
34,太热了
35,我家37度啦
36,节日快乐
37,弱弱问下口红色号多少→_→？还有头发发色多少→_→
38,36°
39,我也爱康康
40,好帅啊
41,我们就是
42,我不认识康康这个词啦！
43,康康来了
44,热乎
45,康康一下
46,福建已经开始穿短袖了
47,好可爱呀
48,真的好热！
49,真棒
50,奈斯
51,长沙要死了
52,38度  哭辽
53,五一快乐
54,春天来了啊
55,真的想哭
56,来康康 康康
57,我爱康康
58,康康
59,居然可以发弹幕了
60,康康
61,康康？？
62,五一快乐
63,哈哈哈哈
64,大家加油
65,嘿嘿嘿
66,刚强
67,爱我中华
68,致敬
69,康康可还行
70,少妇杀手
71,男神播必看
72,男神刚强
73,康康
74,加油啊中国 加油啊大家
75,梅开二度哈哈哈哈
76,一本正经的说康康哈哈哈
77,让我康康！
78,233333
79,哈哈哈哈哈哈
80,康康！
81,是的
82,让我来康康钱包
83,康康
84,为努力追梦的美术艺考生加油
85,消费都热了，凭什么我们不能校考
86,被清美重重重的一击，想哭
87,来康康
88,刚强老师不去组个队吗嘿嘿
89,康康!
90,好消息
91,康康！
92,康康
93,中国加油
94,加油
95,春天来了的样子
96,北京呢
97,累
98,666
99,几个月了没上班了，哪来的闲钱买这买那…
100,没钱
101,马上立夏啦
102,相信中国很快就能恢复经济，
103,没钱啊
104,我来康康
105,给我康康
106,今天出门丢了100多块钱 希望明天能走运
107,喔噢
108,让我康康
109,康康
110,热乎
111,已经5.2啦
112,沙发！！！
113,来了
114,承包空屏
115,D
116,今天5.2啦
117,辛苦啦
118,有人吗
119,233
120,233
121,233
122,233
123,加油
124,汤
125,烫
126,烫
127,好烫
128,加油
129,节日快乐
130,热乎
131,热乎
132,第一条弹幕
