,comments
0,不是文科班，是理科班，我原先就在6班，后来转走了。。郭老师是个很好的老师
1,1
2,这些名字是后期音似还是真的啊
3,量大。。。
4,哇，小姐姐好漂亮
5,智学网打钱
6,董倩明明挺好的
7,很负责
8,太认真了老师
9,给人用的东西不会难的
10,我和我妈说了一样的话
11,她还在六班呀
12,1
13,出成绩了 回来告诉你高了
14,1111
15,有人采访拍摄啊，当然要戴口罩呀
16,整个楼层就你们班最吵
17,很幸运有这样的班主任❤️
18,这是理科班
19,其实这人也没掉太狠，网上考试抄的太多了
20,我当时都要疯了。。。
21,老师我记住了
22,是我了
23,终于熬完了
24,太煎熬了！
25,老师我网断了
26,高中是真的累
27,你就是黑，麻烦再了解吧...
28,正是我了
29,就这？
30,老师一般孩子要的晚，为了教学
31,1
32,天门口音
33,寒假十天，暑假二十天，常规操作
34,6班是理科班
35,我们大十四离省图书馆真的近
36,1
37,1
38,大广西
39,说话和气质还有发型都像我们论文导师，看到就害怕哈哈哈
40,看了想哭怎么回事，太脆弱了
41,1
42,1
43,1
44,有的学生真的很过分……
45,太扎心了
46,京山我老家！！！！
47,不大吧
48,安徽滁州7天
49,一般吧
50,1
51,十天好短，我们高三都是38天
52,这个我知道，嘿嘿嘿
53,危
54,深有体会
55,太真实了
56,同款步步高
57,备课很花时间的…
58,老师真好，我们高中语文老师根本不管这些，某县级一中。
59,很少了好吧……
60,1
61,哈哈，我就是在玩手机
62,老师我麦坏了
63,1
64,1
65,对，就是过年那段时间，周围朋友有人得了说医院不收，只能回家，很恐慌
66,感动
67,我也一样
68,天呐
69,摄影师进镜头了
70,好真实
71,上过网课的老师都知道，上网课真的很累
72,1
73,智学网智学网
74,好愧疚……
75,好危险！
76,1
77,1
78,1
79,1
80,1
81,有多了一个月备考，很人性化了
82,肯定是文科班啦
83,女儿这个声音爱了爱了
84,哇！这个同学是怎么了
85,真的有这种一下子世界好小，事情就发生在自己家人身上
86,？？？这还量大？
87,12点正常
88,老师我没有麦
89,1
90,一样
91,分屏太真实了
92,劝学
93,高三5点40进教室
94,这个算早了
95,真的大家都很累
96,大部分老师都是很好的人
97,一节课你知道要备课多久吗
98,1
99,老师 使退却
100,不懂弹幕在杠什么
101,1
102,1
103,我们老师也是这样登太早结果一上课就掉下来
104,这个智学网掉线很正常
105,我们用智学网考试结果没考成原因是和老师对接的人辞职了
106,智学网就是随机连的
107,十一初两个校区用智学网听一个老师讲
108,小姐姐我可以
109,1
110,太真实了
111,分数线是有考生排名定的，不是说拉低就拉低
112,1111111
113,1
114,班主任限定表情包
115,对对
116,老师我麦坏了
117,老师是汉川天门口音吧
118,好老师！
119,台上一小时，台下备课累死
120,泪目
121,泪目
122,1
123,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
124,这是一门课
125,111 加油！
126,1
127,爽
128,害怕
129,真的好老师
130,1
131,用心啊各位
132,我也
133,省图书馆很近
134,辛苦了
135,14中！！！我的高中！！！
136,在家里带口罩？
137,老师的眼里尽是温柔啊
138,这一定是一位非常好的老师！
139,有被戳到
140,那几天就是天天看b站央视新闻动态，哪个省又加了几例病例
141,好看呀姑娘
142,果然文史不分加啊
143,董倩传统艺能，尬聊哈哈
144,反正这回是提供了很多出题的点了…悲喜交加
145,但是吧你要是平常上学的时候很好，这个时候变坏了，老师很难察觉，太难了，所以要自控！
146,真实，加油共勉！！
147,不是我跟你说，上网课绝对不要用iPad，那个分屏功能啊真是个祸害（在这种情况）
148,确实要看见老师比较好，我一个武汉中学生几个月没看见老师的脸了，难受！
149,可以采访一下武汉中学的老师吗！
150,我的天！可能是我未来的老师
151,加油
152,加油
153,老师也是人啊
154,班主任固有技能
155,网上考试做的做不完，你还想看书？
156,初七左右就开学了
157,高三10天很正常啊
158,牛皮纸？十四中也用这个？
159,草
160,十四中的老师？
161,加油武汉
162,111
163,董倩
164,用手机上课做PPT好麻烦，辛苦了
165,高考都要加油啊
166,学生的量才是大
167,这个主持人经常出现，应该是姓董，很专业
168,前面那个，不是说了她47了吗？
169,1
170,成长都是在逆境当中完成的
171,光线会不会太暗，对眼睛不好啊
172,老师我卡了
173,害怕
174,害怕
