,comments
0,一瞬间我竟然分不出哪个是画的
1,大家一起来吃桃
2,艺术啊
3,感觉乍一看很多都分不清
4,小姐姐好可爱
5,小姐姐好我又来了
6,像啊太像了
7,太好看了，不像（doge）
8,精 苏 落 泪
9,这就是战斗民族的威力吗哈哈哈
10,好可爱
11,厉害厉害
12,暗示你们不要想桃子
13,暗示各位在想桃子
14,有点像何同学的姐姐（狗头）
15,这不是抽象派这是立体主义！！
16,小姐姐，爱你哟！
17,我们有点想桃子了
18,厉害
19,厉害
20,这么强
21,小姐姐好好看呀
22,来了来了
23,666
24,牛逼牛逼
25,阿凡达？！
26,狠人。
27,列宾，爱了
28,小姐姐好美！
29,哇哦
30,完全一致
31,小姐姐脖子好长
32,冷静啊
33,哎呀这个厉害
34,这是什么
35,注意安全啊
36,有立体主义内味了！
37,哈哈哈哈哈哈哈哈哈哈
38,头上那是口罩？
39,头顶甜甜圈哈哈哈哈
40,可爱
41,好厉害
42,完全一致
43,果然世界各地的民众都是一样的23333
44,哈哈哈哈
45,灵魂cos
46,你们都在想桃子！
47,清明上河图可能是魔鬼
48,宝蓝？
49,哇！！！！好可爱！
50,好好看！！！
51,强！
52,好漂亮
53,是个狼灭
54,毕加索
55,蒙娜丽莎
56,厉害
57,少女和茄子
58,让我想起以前小时候看的用衣服摆成画的节目
59,阿凡达？
60,66666
61,圣彼得堡隔离了歌寂寞。。
62,厉害
63,一模一样
64,去  写  生  的  艺  术  生
65,那个胡子大叔是转世了吧妈呀
66,不及格
67,糟糕，心动的感觉
68,可以的，牛的
69,@孙一峰
70,毕加索？
71,是哥伦比亚啦
72,我想起了小时候看的小神龙俱乐部，我还记得那个叔叔
73,气质不像
74,猜到了，谢洛夫
75,被迫营业
76,呆唯
77,麻辣香锅？
78,吃桃子啦
79,没有驼背，不够像
80,啊～吓我一跳，原来穿了
81,小姐姐好
82,这些哪张是画的
83,俄罗斯这画真是人均艺术家呀
84,简直了
85,小姐姐太年轻了哈哈哈
86,A卡                                             N卡
87,看来眼镜是封印
88,太厉害了
89,我以为是男的
90,这穆索尔斯基也太像了吧
91,这也能cos，绝了
92,太直了
93,厉害了
94,男的？？？？？？？
95,抽象画愣是给你们弄成写实了，，，
96,变形人吧。。
97,真美
98,世界名画
99,这，好可爱啊
100,毕加索吗
101,狼人
102,我们批发桃子，要多少有多少（滑稽）
103,太强了！
104,民间艺术，爱了爱了
105,小姐姐好美啊
106,这个眼睛！
107,帽子不错
108,啊我见过这幅
109,太漂亮了
110,这个鼻子我羡慕了
111,毕加索的话都敢模仿太强了吧
112,闲怕了哈哈哈
113,小姐姐，有男朋友吗？有？要不要加一个？
114,你们在想桃子吃
115,所以说你们想peach
116,厉害
117,哈哈哈哈
118,哈哈哈哈
119,我心动了
120,毕加索
121,暗示你们不要想桃子
122,专业，优秀
123,天秀
124,好的，麻辣香锅
125,好棒啊
126,都是人才啊
127,艺术创想
128,专业啊
129,谈饱网
130,黄瓜
131,文 艺 复 兴
