,comments
0,奥利给
1,背后大佬发话了吧
2,我
3,@哥谭市。
4,甩脸上去了
5,用平淡的语气说犀利的语言，字字珠玑。
6,说得对
7,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、
8,奥利给】
9,梓萌女神。
10,@Dolnad J. Trump
11,霸气
12,哈哈哈哈哈哈哈
13,《有些人》
14,说得好
15,这段太给力
16,我就好奇问bGM是啥？
17,他们有脸么？
18,爆发
19,哈哈哈
20,记住了吗罩立键
21,.......
22,哈哈哈
23,回旋锅的哈哈哈哈哈哈哈哈好，好形象哈哈哈哈哈
24,帅气  霸气  喜欢
25,建议全文背诵
26,没人比我更懂
27,眼神帅炸
28,知道了
29,东风本田让安徽亳州牛上天克
30,霸气！
31,嗯
32,棒！！！！！！！！！！！！
33,哇唔
34,回旋锅
35,肯定起源于美国啊，要不美国甩锅这么快干什么
36,@特朗普
37,说得好
38,回旋锅太好笑了哈哈哈哈哈
39,666
40,川建国不行啊
41,咋不是人造的了呢？之前你们不还说是美国造的么？
42,那个倔强的抿嘴i了i了
43,看见你了
44,糊
45,川建国同志！
46,美
47,川建国退出直播间
48,爆发
49,川普才是最懂病毒的，不容反驳
50,好
51,说得好
52,回旋锅好秀
53,赞
54,敌人的敌人就是朋友
55,说来说去不就是想打一架
56,帅
57,霸气
58,顶
59,政治甩回来不？
60,完了，政治没了
61,大神护体
62,大神落体
63,漂亮
64,说得好太酷了！
65,没人比我更懂新冠
66,trying
67,将夜，决意
68,萌萌
69,回旋锅笑死我了哈哈哈
70,霸气！
71,干啥啥不行，甩锅第一名，川建国
72,漂亮！
73,你没那么多核弹你敢说就是他啊？
74,川建国:转身离开，有锅甩不出来
75,哦豁
76,说得好！
77,没错！
78,宇宙无敌超级阿姆斯特朗回旋锅
79,天真
80,说得漂亮
81,美国实验室别名大自然
82,霸气
83,霸气
84,还有澳大利亚有些人
85,川建国
86,霸气
87,Open  the  door，FBI！
88,希望大家登录中国权威网站西路网好好查查再说是不是一定不是人造的
89,你再说特朗普
90,爽
91,特打脸朗普
92,特朗普：我感觉有人在说我
93,萌萌哒
94,霸气
95,爆发
96,应该是美国爆发他们当成感冒给治了
97,hhhh
98,说的好
99,川普
100,好的，我记住了
101,帅
102,时间是诚实笃行者的朋友 是撒谎投机者的敌人
103,口才羡慕
104,挑眉帅
105,这就不需要保护了吧
106,哈哈哈
107,棒棒棒
108,哈哈哈哈
109,打脸
110,说得好锅甩的太快，弹回来就是打脸。
111,将夜
112,打脸！
113,帅气
114,事已至此
115,回                  旋                    锅
116,回        旋        锅
117,霸气！
118,将夜
119,哈哈哈
120,懂王
121,霸气，我喜欢
122,官方吐槽果然一击必中！
123,~
124,哈哈哈哈哈哈
125,霸气，说得好
126,@美国
127,@美国
128,hhhhh
129,承包
130,湖北人背了大锅
131,建国
132,精辟
133,精辟
134,不一定武汉首战爆发吧
135,川建国通知
136,哈哈哈
137,不是来自美国
138,这什么节目
139,帅气
140,将夜！！！
141,81111*
142,、
143,说得好
144,霸气
145,给台阶下？
146,不一定是武汉首先爆发，而是首先发现
147,回  旋  锅
148,看不见我
149,众所周知美国队长是美国代表，美国队长最擅长的就是甩锅，难免甩的时候有失误用脸接了
150,回旋锅哈哈哈啊
151,人造的也是美国那边造的
152,哈哈哈！
153,甩锅
154,保护
155,回力锅
156,哈哈哈哈哈
157,最后的眼神绝了
158,没人比他更懂得打脸
159,bgm好评
160,哈哈哈哈哈哈哈
161,罗永浩都没有美国打得多，打得快
162,将夜BGM
163,指责游戏不应该结束，应该剑指美利坚！！！
164,前面回旋锅那个，给我整笑了
165,假发露出来啦
166,蓬佩奥
167,好莱坞大片就是这么拍的
168,萌姐说得对。但愿世卫组织公开澄清事实！
169,说得好
170,哈哈
171,说得好
172,没有人比我更懂
173,内涵内涵
174,霸气！！
175,情报界
176,此处应该有掌声
177,回旋锅
178,来自美国实验室大大自然
179,刚！！
180,入关！
181,入关！
182,梓萌
183,美国！
