,comments
0,保护
1,所以要保护！
2,保护
3,保护
4,保护
5,保护
6,保护
7,保护          国徽
8,保           护
9,保                   护
10,保                                   护
11,照骗
12,保                       护
13,保                          护
14,女神
15,hhh
16,hhh
17,哈哈   犯不着起诉
18,保护
19,对不起，我念台词就想笑
20,棒棒棒
21,保               护
22,老时空警察了
23,黄色弹幕都遮盖国徽了 你保护什么呢？
24,保                                      护
25,阅片无数哪家强，每周三晚找老凉
26,保                                               护
27,保                                                      护
28,保护啥
29,不能笑除非忍不住
30,保护                                               国徽
31,保护                                                    国徽
32,保护                  国徽
33,保护                       国徽
34,保护             国徽
35,我喜欢华姐
36,帅又可爱
37,保护
38,哈哈哈哈哈哈哈哈哈哈哈
39,表白华姐！！
40,"fake news,下一个"
41,这些外国人没有脑子
42,保护花姐  花姐  花姐
43,老jkl了
44,BBC行为大赏
45,保护
46,女神甚至吹起了口哨
47,保护女神人人有责
48,女神
49,保护                             国徽
50,好萌
51,保护                            国徽
52,老移花接木了
53,笑死我了
54,保护                                                 国徽
55,哈哈哈
56,好
57,保护       国徽
58,保护            国徽
59,保护                          国徽
60,笑场了
61,移花接木难倒翻译官
62,我爱我的祖国，我爱我的祖国
63,保护                                                 国徽  
64,2007年的图（;￣O￣）
65,哈哈哈哈
66,保                              护
67,保护                                                    国徽
68,保护                                                    国徽
69,保护                                                    国徽
70,保护                                                    国徽
71,保护                                                    国徽
72,保护                                                    国徽
73,保护                                                    国徽
74,保护                                                    国徽
75,保护                         国徽
76,保护                         国徽
77,保护                               国徽
78,华姐！我爱你！！！
79,哈哈哈哈
80,交给鬼畜区
81,保护保护保护
82,保护             国徽
83,保护              国徽
84,保护                   国徽
85,真是不错的封面哈哈
86,好可爱啊
87,啊啊啊
88,真的可爱
89,可以起诉嘛？嗯？
90,哈哈哈
91,哈哈哈哈哈哈哈哈哈好可爱
92,老移花接木了
93,哈哈哈哈哈哈哈清楚明白
94,花姐姐多出来啊！
95,花姐姐啊啊啊啊啊啊啊啊
96,女神！！
97,花姐姐我爱你
98,花姐姐厉害
99,花姐姐牛
100,这不是为了。
101,老造假了
102,保                      护
103,保护国徽
104,保护                        国徽
105,老移花宫公主岭
106,萌萌哒
107,字幕你挡            国徽了
108,保护          国徽
109,保户                         国徽
110,营销号行为
111,保护         国徽      
112,保护            国徽      
113,保护         国徽      
114,保护                  国徽         
115,华姐，好样的
116,保（                          ）护
117,老移花接木了
118,给老子整笑了。
119,给秃凉处理一下
120,可以起诉它们吗？这句话好可爱
121,我女神
122,女神
123,老娘差点笑出来
124,哈哈哈哈哈哈哈哈哈
125,华姐，咱再忍忍，说完再笑
126,华姐威武
127,哈哈哈哈哈哈
128,官方开始融入B站生活了  泪目
129,我太难了
130,竟然有弹幕爱了爱了
131,她看我了!
132,保（                 ）护
133,没见识了吧，老娘给你科普科普。
134,阅片无数
135,英国媒体就是营销号吧ww
136,你一直在笑我 都没有停过
137,老移花接木了
138,保护                     保护 
139,花姐高萌
140,憋住，我们是专业的
141,律师函警告    律师函警告
142,能不能整点阳间的？
143,华姐：啧，老移花接木了
144,我忍住不了不好意思
145,把老娘整笑了
146,老移花接木了
147,阅片无数
148,翻译：你能不能整点阳间的活
149,保                护
150,保                 护
151,保                 护
152,保             护
153,保                                                      护
154,华姐好像我前女友
155,别挡住国徽
156,最后一句牛了
157,女神
158,移花接木怎么翻译
159,一般不笑除非忍不住
160,hhhhh
161,少移花接木了
162,淡定的华姐
163,加油
164,最后一下，可爱了
165,@凉风 说吧，外援是不是你？
166,是有些功夫在身上的
167,跟这些人说屁用没有。。。
168,没用的，别说了。
169,保护国徽
170,弄他
171,弄他们
172,啧
173,我想起高兴的事情
174,可爱又厉害
175,见封进
176,我怎么发现白皮都脑子有病呢？
177,4集第
178,他移花接木一直可以的
179,可以可以
180,啧
181,口合口合口合
182,我女神啊啊啊啊啊啊
183,华美人
184,营销号的手法，移花接木
185,我想起高兴的事
186,6
187,官方皮下看来已经适应破站的节奏了 完美融入B站生活
188,保护国旗
189,最后的问题好可爱
190,可以打死他们吗
191,声音真的好听
192,属实憨批
193,哈哈哈
194,超可爱
195,给中国爷爷整笑了
196,哈哈哈
197,哈哈哈哈哈哈哈哈哈哈哈哈
198,弹幕护体
199,此处应@凉风
200,我们都受过专业的训练 一般不会笑 除非忍不住
201,看华姐上扬了两次的嘴角
202,冲华姐就必须起诉！！！！！
203,哈哈哈哈哈哈哈哈哈哈哈哈哈哈太不要脸了
204,声音好听
205,哈哈哈哈哈哈哈哈哈哈哈哈
206,有弹幕吗
207,我的妈好可爱啊哈哈哈哈
208,哈哈哈哈哈哈哈哈哈哈哈哈哈
209,央视b站化真相了
210,。。。。。。
211,我想起高兴的事情
212,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
213,—————-
214,111
215,封面好评
216,给姐整笑了
217,啧
218,保护                  国徽
219,保                 护
220,保护                                                                                                国徽
221,声音这么小
222,哈哈哈哈
223,可可爱爱
224,她笑了
225,我想起高兴的事情
226,笑了
227,战略一笑
228,啧
229,保　　　　　　　　　　　　　　护
230,英国媒体老营销号了
231,能不能起诉他
232,华姐：发布会不能笑场，忍住！我是专业的！
233,可以
234,厉害
235,专门说老外听不懂的文言文
236,哈哈哈哈哈哈哈
237,封面哈哈哈哈哈
238,哈哈哈哈哈哈哈哈哈
239,时间不对呀
240,hhhhhhhhh
241,啧
242,可可爱爱
243,她笑了她笑了
244,啧
245,给老娘都整笑了
246,营销号行为哈哈哈哈哈哈哈
247,起诉，起诉
248,我大中华何惧洋寇侮辱
249,哈哈哈哈
250,hhhhhhhh
251,老移花接木了
252,老移花接木了
253,@秃凉
254,哈哈哈哈哈哈哈哈哈哈
255,哈哈哈哈哈哈哈哈哈
256,这个它字用的好
257,哈哈哈哈哈
258,逗乐了
259,嘎
260,啊哈哈哈哈哈哈哈
261,来自乡村爱情第三部第六集哈哈哈
262,还回去
263,@秃凉
264,怎么感觉华姐胖了呢
265,suit it
266,移花宫秘法
267,exchange flower contact tree
268,高萌预警
269,哈哈哈哈哈哈哈哈哈
270,老营销号了
271,我想起高兴的事
272,哈哈哈哈
273,天天怒斥也没见怼回去
274,哈哈哈我天
275,哈哈哈哈
276,专业
277,awsl
278,awsl
279,awsl
280,我们受过专业的训练，一般不会笑，除非忍不住
281,我女神
282,传统艺能
283,打他
284,啧
285,央视老饭友了
286,华姐我女神
287,大英亡了
288,啧
289,哈哈哈哈哈哈哈哈哈哈哈
290,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
291,开局一张图内容全靠编
292,应该起诉啊
293,把可爱打在公屏上  律师函警告
294,哈哈哈红红火火恍恍惚惚
295,哈哈哈哈
296,啧
297,好可爱啊啊
298,好可爱啊啊啊啊啊啊啊啊啊华姐姐！！
299,阅片无数
300,主织
301,女神
302,笑了
303,加油中国
304,报                                                                                                  护
305,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
306,我们并不常见
307,哈哈哈哈哈哈哈哈哈哈哈哈哈或
308,眨眨眼
309,反观，自由的美利坚关了实验室怎么说？
310,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
311,哈哈哈啊哈哈哈哈哈哈
312,女神，起诉他们，说的太可爱了
313,他们懂不了
314,海南省……
315,华姐威武！
