,comments
0,［+］
1,［+］
2,［+］
3,［］+
4,［+］
5,［+］
6,［+］
7,［+］
8,说的真实真是我国男篮面对的问题
9,无可奈何的笑了
10,男篮计划什么？
11,不是最后一个问题了吗
12,有姚明是中国篮球界的福气
13,大姚不拿钱？
14,打希腊加拿大能利好吗
15,幽默真的体现智慧
16,白老师的问题犀利啊
17,巧妇难为无米之炊
18,巧妇难为无米之炊
19,可惜这场是名场面，八一的赛季首胜，要是放打广东就好了。
20,姚头叹琦
21,姚主席
22,姚明情商真的高
23,大姚加油！！！！
24,你还怕大姚没钱吗
25,薪水0?
26,教育多么的重要 姚明在篮球界也算是高材生
27,我们中国男篮真是太厉害啦！！！
28,[+]
29,禁止外援，八一队笑嘻嘻
30,八一队：打没有外援的比赛？
31,男篮给女篮当陪练吧
32,苦笑
33,[+]
34,【＋】
35,81雄起
36,大姚好沧桑啊
37,难受
38,这要是个其他官员，估计直接被问懵了
39,直击核心问题
40,摸鼻子了
41,难
42,这是5G连线吗？
43,哈哈哈哈哈哈哈哈哈
44,期待
45,这赛季的CBA是真的好看，绝杀一个接一个
46,小丁这个伤啊，担心回来之后爆发力会打折扣
47,落选赛肯定是出不去，但是相当于和几支强队打对抗赛，还是要去的。
48,直播打赏可以
49,戛然而止？
50,太难了
51,CBA快开
52,说得好
53,哈哈哈
54,对啊 上次没有小丁
55,哈哈 姚主席真逗
56,大姚
57,世界杯之后，中国篮球至少倒退了10年
58,辛苦了
59,大姚的牙齿怎么了
60,几点
61,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
62,哈哈
63,哈哈哈哈哈哈哈哈哈
64,波兰大锤出镜了
65,送命题
66,落选赛冲不出去啊
67,还冲击呢？
68,女兆日月主席好哇
69,薪水为零，每月差旅费500万
70,生活不易，姚明叹气
71,是真的会说话
72,这里大姚钉钉响了一下23333
73,这里大姚23333
74,哈哈哈哈哈哈哈
75,哈哈哈哈哈哈哈哈哈
76,中国需要更多专业的人 需要更多专业人领导专业领域 而不是 你懂的
77,姚明 永远滴神
78,姚明 骄傲
79,大姚瘦了吗
80,[ + ]
81,苦涩的笑
82,不止健康还能大吃大喝的
83,棒
84,哈哈哈哈哈哈
85,内涵
86,没有吧  姚明发福后看起来有点羞涩
87,犀利啊
88,问得好
89,哈哈哈哈哈哈哈
90,1
91,直接季后赛？
92,小丁是不废了
93,CBA雄起
94,大姚：要我行我就上了
95,唉。。。周琦
96,哈哈哈
97,女兆日月
98,乖伦
99,直播打赏收费观看都可以有，一两块观看，这样能尽量减低俱乐部的损失
100,专业
101,老白咄咄逼人，大姚滴水不漏，爱了爱了
102,【+】
103,［+］
104,［+］
105,直播打赏可还行
106,笑笑更健康
107,女篮威武
108,别去了得了
109,七月？
110,[➕]
111,姚主席老了很多
112,一年改不什么
113,姚主席～
