,comments
0,哎
1,哎
2,九分金凤凰
3,中国加油，武汉加油
4,哎！真的服了
5,瑟瑟发抖
6,第二波在哪里呢
7,一中是牡丹江的吗
8,你最美
9,加油
10,衣服
11,加油！
12,哇哦(・◇・)不！
13,干杯就完事了
14,我开始方了
15,1
16,高考加油
17,还以为是口罩。
18,害怕
19,谨慎小心才好
20,难道现在还3月？
21,火钳刘明
22,太可怕了……
23,那个公安局被封锁隔离了吗？
24,带好口罩各位！
25,国外要是不赶紧治好。时刻都得绷着根弦。
26,挺住啊
27,细思恐极
28,不能放松
29,大家注意安全
30,小个人信息好
31,好了
32,果然没人看
33,我女神
34,水源？蚊虫？
35,2020怎么了
36,加油啊
37,艾玛 ，长春人难受死了
38,突然温情
39,我以为是送母亲口罩
40,大学在长春，开学无望
41,少出门
42,自己都不知道自己会不会……
43,好害怕
44,天哪
45,无症状太可怕
46,无症状感染？群体免疫有带实现？
47,害怕
48,太可怕了！
49,回不了家了
50,大家保护好自己和家人
51,我们市里基本没看到几个戴口罩的了
52,舒兰加油！一中高考加油！
53,三连给币！
54,听得我又想去看一次第一部将夜
55,保持社交距离
56,尽量保持社交距离吧
57,保持社交距离很重要
58,天啊
59,我家舒兰的
60,裂开
61,吉林加油！！！
62,任重道远
63,离舒兰很近的吉林学生哭了
64,将夜的背景音乐
65,封！
66,天
67,加油！！
68,你！好！我怕她们打我
69,方
70,口罩还是戴好
71,快递会不会
72,保护自己
73,加油
74,这么多？
75,？？？？
76,恐怖
77,吉林人裂开
78,舒兰附近表示我们开学又延迟了 我想上学
79,前景还不明朗。仍需谨慎防疫
80,妈呀
81,吉林隔壁的沈阳也有一例了
82,我们自己的平安就是最好的礼物
83,吉大的哭了
84,我的天。。
85,bgm将夜里面的
86,口罩不能掉
87,好好活着就是爱妈妈
88,加油
89,危
90,做好自我防护‘’
91,吉林市的现在吓的不敢出门了
92,我就是吉林省的，好慌
93,对！
94,口罩必须戴好！！
95,怪不得
96,超级感染者？
97,保持警惕
98,大家都要注意保护自己！
99,我都傻了
100,大家还要小心啊！！！ 
101,作为舒兰人我裂开了
102,现在有条件了，对重点地区大规模检测吧
103,老家舒兰的，没想到有朝一日还能以这种方式出名（无奈.jpg）
104,怕怕
105,中国加油！
106,舒兰人哭了
107,五一乱跑的人要小心了
108,害怕
109,舒兰人哭了
110,唉
111,节日快乐母亲
112,天哪
113,加油
114,东北顶住
115,♡
116,真的好恐怖
117,疫情尚未结束
118,唯一确定的就是不确定
119,我的天呐
120,天呐
121,还需要警惕
122,害怕
123,慌
124,舒兰人已暂时取消回家计划，一定戴口罩呀，而且天气还能接受，不是很热
125,害怕
126,不能掉以轻心
127,您也是
128,?
129,好的
130,好可怕
131,加油！
132,omg害怕
133,害怕
134,害怕
135,omg
136,害怕
