,comments
0,泪目
1,致敬
2,想哭
3,年轻人
4,致敬
5,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
6,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
7,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
8,泪目
9,致敬
10,央视主持说话加音乐让我头皮发麻
11,感动
12,和主持人一样鼻子已经酸了
13,致敬
14,好感动啊
15,泪目
16,致敬
17,好样的！
18,致敬
19,致敬
20,致敬
21,泪目
22,泪目
23,致敬
24,致敬！❤️
25,致敬
26,居然已经12年了啊！
27,泪目
28,致敬
29,致敬
30,好眼神
31,为什么我的眼里饱含泪水，因为我对这片土地爱的深沉
32,时间过的太快了
33,当年我八岁 今年都2字开头了 加油中国
34,致敬英雄
35,泪目
36,致敬
37,致敬
38,致敬
39,眼里进了砖头
40,泪目
41,致敬
42,致敬
43,致敬❤️
44,我出生的那天
45,他眼睛红了
46,我爱中国我爱中国啊
47,加油，中国
48,还有意大利
49,我看看谁不哭
50,致敬
51,25喽，加油中国
52,致敬
53,我们这四川十八线二十线小县城都派医护驰援前线了
54,致敬
55,致敬
56,雄起
57,加油！！
58,致敬
59,以后又有电影素材了，像《唐山大地震》
60,致敬！
61,致敬
62,祖国加油
63,感动
64,致敬
65,爱心长存
66,致敬
67,致敬！
68,致敬
69,致敬
70,好好好good
71,致敬
72,这是一个轮回。
73,那一年我十二岁，今年都22了
74,谢谢
75,致敬
76,瞬间泪目
77,致敬
78,致敬医护人员 ！！！缅怀逝者，
79,致敬
80,致敬
81,人老了，眼窝越来越浅了
82,泪目
83,泪目
84,泪目
85,致敬！
86,心怀感恩
87,泪目
88,致敬
89,泪目
90,致敬
91,致敬
92,灾难随机降临，同胞同袍同心
93,致敬
94,泪目泪目泪目泪目泪目泪目泪目泪目泪目
95,泪目
96,泪目
97,♡
98,致敬
99,致敬
100,川人从不负国
101,长大后我就成了你 泪目
102,致敬
103,泪目
104,泪目
105,致敬！
106,致敬
107,悼念～～～致敬！
108,泪目
109,主持人眼里有泪
110,致敬！
111,感恩
112,致敬
113,泪目
114,致敬
115,团团圆圆
116,加油中国
117,致敬！
118,致敬
119,一方有难，八方支援
120,全国人们团结在一起
121,十二年一个轮回
122,致敬！
123,泪目
124,致敬
125,致敬
126,加油中国
127,感动
128,致敬！
129,感谢
130,致敬
131,致敬
132,泪目
133,泪目
134,川人不负国
135,泪目
136,中国要雄起
137,致敬
138,致敬
139,致敬
140,川人未曾负国
141,想到了柴静在书中的描述
142,雄起
143,都12年了
144,致敬
145,致敬
146,泪目
147,致敬
148,加油
149,致敬
150,时间真的太快了
151,啊都12年了
152,川军好样的！
153,任何困难都难不倒也压不跨英雄的中国人民
154,泪目
155,泪目
156,哭，都给我哭
157,泪目
158,哪里有郭叔叔哪里就有我
159,十二年田
160,致敬
161,天哪，十二年了
162,致敬
163,这盛世来自中国
164,这样的种花家万岁
165,泪目
166,雄起！
167,致敬
168,眼圈发红
169,我们川娃子还是熊的起 
170,1.
171,好
172,多难兴邦
173,感谢白衣天使
174,中国人是明白感恩的，这也是我们优秀的传统文化
175,那时你帮我，今天我帮你。这就是中华民族伟大的地方。
176,中国要雄起！
177,好
178,敬礼
179,护士余沙 我每次疫情作文必举的例子!
180,1
181,爱的传递，生生不息
182,第一条
