,comments
0,？？？？？？？？
1,不要脸我拿走了啊
2,滚！
3,逝者安息……
4,磕  磕  巴  巴
5,河北脏话
6,我6月来也
7,明明是你们自己作死
8,？？？？？
9,老爷爷好可怜，嗓子都哑了
10,美国流氓国家
11,已经二百多万了
12,他倒还真的可以
13,6月了
14,PIG
15,懂 王
16,没证据就别乱说
17,你又看到了，你又知道了？
18,不要挡字幕，看不见了
19,病毒没有国家
20,66666666
21,China NEWS 
22,美国大流感
23,阴 间 滤 镜
24,瘟疫公司的bgm唉
25,nb
26,好(✪▽✪)
27,懂王上线
28,？
29,美国人去世了，美国的人消失了。
30,华姐果然是华姐
31,日常耿不爽
32,美国病毒
33,辛苦了
34,1.11号，他们因为没钱，都急哭了
35,你说的都对，哈哈哈嗝
36,七秒记忆
37,啥？
38,笑死
39,笑死我了
40,？？？？？
41,哈？
42,我不能告诉你，因为我不知道我没有证据我只是随便说的，够了菲克纽斯，我走了
43,我感觉你很快也会消失
44,还是有明白人的
45,老爷子真的太惨了
46,张口就来
47,那是真的牛逼嗷
48,美国病毒
49,保护我方建国
50,每次看到蓬佩奥这张脸就想笑
51,男神帅气！！！
52,四月是你的谎言
53,哈哈哈哈
54,复读机？
55,恭喜老美又拿下第一
56,美国：溜了溜了
57,美国病毒
58,美国病毒
59,满嘴屁话
60,？？？
61,？
62,川建国同志！！！！
63,CNN
64,世界和平
65,我有证据，我就是不说
66,文明观猴。
67,你也会消失的
68,保护
69,生灵有倒悬之急
70,自己给自己整晕了
71,我感觉尸体能填成一座山。
72,fake news
73,？？？？？？
74,就这？
75,哈哈哈哈哈哈哈哈
76,说得好
77,你慌了
78,明白人
79,说得好！！！！！
80,二百万指日可待
81,我要笑死了
82,我爱华姐
83,保护耿不爽
84,给爷整笑了
85,你们继续阴谋论，二百万指日可待
86,别说风凉话了，狗咬你，你还咬狗不成
87,同六月六号
88,6月6日了
89,？？？？？？？？？？
90,?_?Are you kidding me?_?
91,？？？？
92,丢额
93,？？
94,女神
95,以德报怨？以何报德？
96,帅！
97,懂王说了算
98,不愧是你
99,这么高的失业率我只能在都市天际线看到
100,100000+？❌ 5%死亡率✓
101,一说就退群
102,我不能告诉你，因为这是我编出来的
103,病毒：我不是一个人在战斗
104,赌徒心理
105,180+w
106,g o   a w a y
107,呃呃啊…
108,真就不做人了?
109,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
