,comments
0,保护央视？
1,美国太坏了
2,哦吼
3,能不能别老乱猜了，这就是美国病毒，别总说可能了，现在是肯定句
4,能不能别老乱猜了，这就是美国病毒，别可能可能的，肯定一点
5,这个“战争时期”说的是朝鲜战争
6,哦吼
7,老国家安全了
8,冷知识，美国在朝鲜战争期间发动过生物战。
9,现实版安布雷拉公司？
10,害怕
11,贼喊抓贼
12,有理有据
13,制裁漂亮国，还中人命
14,制裁漂亮国
15,孩怕
16,生化危机？
17,白色粉末
18,给我听害怕了这个BGM和旁白
19,推荐up主火锅大王，更加详细
20,火锅大王+9999999
21,这才是真正泄露病毒的地方
22,害怕
23,央妈！
24,蝙蝠就是因为长得丑背锅！！哈哈哈哈
25,CDC？？？
26,讲中国话
27,害怕
28,细品
29,哦吼
30,万一美国利用飞鸟播散病毒...
31,真是不得不想些什么
32,细品
33,蜂巢?
34,起保护伞至保护伞
35,？？？？？
36,血疫还行
37,哦豁
38,细思极恐
39,哦豁哦豁
40,哦豁
41,T
42,央妈我怕
43,美狗贱无敌
44,细思极恐
45,二战那个要是丢陆地上不是岛上就出来也就基本没动物啥事了
46,恶魔的种子又开始了？
47,疯狂暗示？
48,细细品
49,pls4
50,可怕
51,感觉和生化危机里的桥段一样。。。
52,刚刚吓死我了
53,生化危机既视感
54,哦哦哦
55,bgm直接送走我
56,我记得之前漂亮国有发碳疽信的
57,中门对狙
58,人家CGTN在b站有官方账号了！！
59,炭疽？这玩意能作为武器的
60,！
61,5A级病毒培养基地
62,来自自然界个p
63,…？！
64,1941年签订了拒绝用生化武器 美国当放屁
65,生化武器
66,丧尸不再是梦
67,你细品
68,这个男的
69,吓死我了
70,FBI！！！OPEN THE DOOR！
71,唉，外国人口低下是有原因的
72,“国家安全”，我懂了
73,吼哦
74,吼哦
75,吼哦
76,吼哦
77,吼哦
78,吼哦
79,吼哦
80,吼哦
81,吼哦
82,吼哦
83,吼哦
84,吼哦
85,啧
86,生物课代表路过，就路过而已
87,恐怖
88,炭疽特别可怕
89,弹幕zz这么多？
90,我发现这视频真得关了弹幕看
91,美国病毒
92,美国病毒。
93,我们准确的说 美利坚合众国病毒
94,建国同志失败
95,这个英语没字幕居然都听的懂！！爱了！
96,保护伞公司吗？
97,美国电影病毒
98,想想非典
99,美国电影里面有讲过
100,央视的啊
101,最初的电子烟肺炎来自这实验室周围
102,火锅大王 说过这事
103,吼猴
104,哟哟
105,美国破坏别的国家稳定还少吗？
106,央视用英语么？？？
107,害怕
108,病毒
109,病毒
110,病毒
111,害怕！
112,滚出地球
113,害怕
114,up
115,咋干都有想故意造病毒呢？
116,呵呵
117,害怕
118,火锅大王去看
119,开始反击
120,害怕
121,不是已经有证据证明病毒来自自然界了嘛
122,没国
123,恐怖
124,白哈哈哈哈哈哈哈哈
125,美国 病毒
126,心安了
127,@阿尔伯特威斯克
128,安布雷拉
129,这可以说是现实版的安布雷拉
130,保护伞公司现实版
131,安布雷拉
132,这男配音美语不错啊
133,估计川建国不会funny mud pee
134,人类灭亡会不会因为美国而开始？
135,害怕
136,                             天那！
137,BOW！
138,害怕极了
139,真的觉得挺害怕的
140,害怕
141,现代毒气部队
142,太可怕了吧
143,非    典
144,害怕
145,我靠
146,疯了
147,实锤了
148,s    c    p 
149,第二次生化危机？！
150,兔子和美利的中路对狙
151,瘟疫公司
152,美国病毒
153,这么想想最初爆发在中国真的是……你品，你细品
154,freedom
155,我丢这阴间的bgm
156,美国佬自己玩茨了
157,微生物？
158,害怕
159,你细品
160,？？！
161,美国病毒
162,这是中式英语吧
163,害怕
164,求英文字幕
165,这个操作直接把美国自己玩死了
166,这bgm
167,Welcome to the Raccoon City. 
168,死亡自由
169,美剧
170,央视？！
171,美国731
172,b
173,央视一般不乱说话，只要说了大概有底了
174,行尸走肉
175,哈哈哈哈哈哈哈哈
176,你         品                                 你          细           品
177,细品
178,美版731？！
179,入关！
180,登录华盛顿！战胜国才有资格看到真相！
181,美国病毒
182,细思极恐
183,大漂亮自作孽啊
184,害怕
185,害怕
186,害怕
187,保护保护
188,你细品
189,freedom
190,央视出的0.0
191,美国病毒，要给世界一个交代
192,恐  怖   袭  击
193,洋馆
194,美国病毒！
195,？
196,埃博拉病毒也是蝙蝠上的
197,我就说
198,生化危机？
199,?
200,真恐怖，这些人还有没有底线？
201,??????
202,暗示性很明确了，官方暗示
203,保护伞公司
204,细细品
205,现实版的保护伞公司
206,阴谋论？？？
207,害人害己
208,霉帝卑鄙无耻
209,紧急叫停，说明已经特别危险了，然后就拼命嫁祸中国
210,让全世界都知道霉帝的阴谋诡计
211,细思极恐
212,美国病毒
213,能整点阳间的配乐吗
214,这些只是推测而已啊
215,也不能百分百实锤啊
216,我懂了
217,我天是央视啊～
218,来了，这就是真相吗
219,细思极恐
220,已经明示了，美分们不要洗
221,生物安全
222,去年！你品，你细品！
223,美国赔钱
224,中门对狙
225,安布雷拉公司实体
226,必须给我顶上去！
227,大自然：怎么就背锅了？
228,火锅大王
229,火锅大王
230,害怕
231,我靠
232,这个时间。。。
233,美国病毒
234,害怕
235,消失啊
236,神特么浣熊市
237,官方实锤
238,建国你是不是由有。。
239,不是蝙蝠高搞的鬼也不能在吃再吃了
240,害怕，阴森及恐怖
241,害怕
242,弹幕别乱讲话？！
243,就是美国病毒
244,还好美洲和亚洲不接壤
245,保护
246,这已经不是阴谋论了
247,央视播的
248,害怕害怕
249,美国害人终害己
250,你品你细品
251,??????????????
252,官方发文了
253,炭疽……世界上最可怕的传染病之一
254,人类清理计划
255,合理怀疑
256,合理怀疑
257,美国打伊朗就是开始
258,你品你细品
259,我就说疫情刚开始起源模糊，原来是要现在来说用来对狙的
260,央视终于反击了！！
261,央视的？
262,害怕
263,正面刚
264,害怕
265,？？？？
266,疯狂控评。。。
267,埃博拉死亡率高达90%平均死亡率达到50%
268,啊啊啊 不敢出房间了都
269,太吓人了
270,虐杀原形
271,?
272,官方？实锤了？？
273,细思恐怖
274,害怕
275,安布雷拉觉得很赞
276,美国病毒
277,有前科啊
278,支持
279,洋馆实验室
280,我去  打团了
281,可这个看着是cgtv啊
282,口音真的不重要！各个国家说英语都有不同的口音，包括英语国家
283,哇…
284,美国病毒
285,是在暗示什么吗→_→
286,就是空气很香甜的那个马里兰州吗
287,667
288,三连点起来，点成最火视频
289,还真就美国病毒呗！
290,什么是超疾大国啊？
291,我也感觉丧尸要来了
292,这是承认了吗？
293,日本731的资料战后也移交给美国了，他们要想研究是有数据基础的。
294,合理怀疑
295,兰州人路过
296,这个知道
297,细思极恐
298,American virus
299,央视也
300,难得这就是传说中的搬起石头咂自己的脚吗？？？
301,瘟疫公司。
302,英国二战就研究过这玩意
