,comments
0,哈哈哈哈哈哈哈哈
1,哈哈哈哈哈哈哈哈哈
2,你开心就好
3,活到现在不容易，建国同志
4,你一票我一票，川川明天就出道
5,你开心就好
6,你开心就好
7,你开心就好
8,你开心就好
9,哈哈哈
10,你开心就好
11,建国同志
12,厉害啊
13,以身试法
14,直       播       带     货
15,开心就好哈哈哈
16,？？？？？
17,你开心就好
18,你开心就好
19,？
20,你开心就好
21,你开心就好
22,if you like it
23,没人比我更重
24,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我了
25,哈哈哈哈哈哈哈哈哈哈哈哈
26,辛苦你了，辛苦你在这里胡言乱语
27,你辛苦了
28,你开心就好
29,哈哈哈哈
30,谢谢，有被可爱到
31,你开心就好
32,你开心就好
33,你开心就好
34,没关系 这个药起效慢 要一个月左右才会稍微明显
35,天呐，特朗普以身试毒！太感人了，泪目！
36,笑出声
37,你开心就好
38,没人比你更懂药
39,你开心就好，优秀
40,哈哈哈
41,你开心就好
42,哈哈哈哈哈哈哈哈哈哈哈哈
43,以毒攻毒
44,饭桌会议
45,你开心就好
46,你开心就好
47,特朗普直播带货，赶紧来看看啊
48,药不能停啊
49,你开心就好
50,bgm可以hhh
51,神农尝百草
52,恰饭恰饭
53,我看你印堂发黑。。。
54,注射消毒剂不好吗
55,哈哈哈哈哈哈
56,你开心就好。
57,哈哈哈哈哈哈哈
58,哈哈哈哈
59,你开心就好
60,人类迷惑行为
61,这次又是帮哪家医药公司打广告哇
62,你变了
63,希望药没事
64,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
65,我也确实没想到
66,你开心就好
67,挨赖ki
68,你开心就好
69,你开心就好哈哈哈哈
70,厉害厉害
71,你开心就好
72,你开心就好
73,打脸狂魔
74,？？？？？？？？？？
75,？？？？？？？？？？？？？？？？？？？？？
76,？？？？
77,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
78,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
79,？？？？？？？？？？？？？？？
80,治疟疾的青蒿素也是中国生产的！
81,你开心就好
82,神农尝百草
83,神农尝百草
84,哈哈哈哈哈
85,你可以一直吃
86,没有人比我更懂xiao du ye
87,建议吃鹤顶红，0.01秒见效
88,我先笑为敬
89,不靠谱成了我每日快乐源泉
90,你高兴就好，哈哈哈哈
91,没毛病啊
92,5.23前来考古
93,简直想怎么玩就怎么玩
94,你开心就好
95,你开心就好
96,你開心就好
97,怕是个傻子吧
98,你开心就好
99, 看不见我
100,看不见我
101,看不见我
102,看不见我
103,看不见我
104,看不见我
105,看不见我
106,看不见我
107,看不见我
108,看不见我
109,看不见我
110,看不见我
111,看不见我
112,川普尝百药
113,你         开          心             就               好
114,你开心就好。
115,好巧哦
116,注意身体，同志
117,噢 你开心就好
118,不知你小学毕业否
119,?
120,泪目
121,你开心就好
122,没人比我更懂抗疟疾药
123,你开心就好
124,\   ￣▽￣   ／
125,建国同志小心别暴露了/滑稽
126,你开心就好
127,你现在在放屁
128,你开心就好
129,不是注射消毒液吗
130,你开心就好？？？！！！
131,你开心就好
132,你开心就好
133,你开心就好
134,你开心就好
135,手风琴大师
136,你开心就好
137,你开心就好
138,你开心就好，哈哈哈哈
139,你开心就好
140,我觉得他应该好好的上一节生物课
141,没人比我更懂药
142,神农尝百草，美版
143,？？？？
144,你开心就好
145,川普日常餐：抗疟药，消毒水
146,您身体真好
147,让他恰！
148,秀儿，川建国
149,你开心就好
150,建国尝百草
151,你  开  心  就  好
152,你开心就好
153,川普同志要献身科学了
154,哈哈哈你开心就好
155,你开心就好
156,牛皮
157,保护建国
158,你开心就好
159,多吃点半
160,笑死我了
161,神农氏
162,药别停
163,牺牲自己风险他人   秒啊
164,保持微笑
165,你开心就好
166,哈哈哈哈哈
167,？？？？
168,没有人比我更懂吃药
169,真的好巧哦~
170,?//
171,你开心就好，如果拒绝的话八成就被辞职了
172,直播带货？
173,直接打硫酸 那个效果更好 直接杀菌
174,希望人有事
175,建国！！！！
176,各位，鬼畜区见
177,没有人比我更懂吃药
178,开心就好
179,人才啊
180,你开心就好哈哈哈哈哈哈哈哈
181,哈哈哈哈哈哈哈哈笑死我了
182,"You happy is  OK,My easy"
183,你开心就好，我无所谓
184,川鬼才，天天新花样。
185,手风琴大师我来了
186,你开心就好 笑哭
187,开心就好
188,泪目
189,建国加油
190,？
191,开心出奇迹
192,..........
193,让他恰
194,让他恰！让他恰！
195,好吃吗
196,你开心就好
197,你开心就好！
198,饭烦恼你从哪
199,好的好的好好的
200,江河湖海
201,真·吃错药了
202,川建国辛苦了
203,张口就来呀 这是
204,你老直播带货啊你！
205,这是替身了吧
206,额呵…以前出事不说话，然后来个消毒剂又说自己不是医学界，现在又怂恿，不愧为你
207,弹幕身后走了？
208,真 吃错药了
209,帶医師
210,秃了？
211,说的自己都信了
212,说了你也不懂
213,好巧啊
214,建国同志为我们带来了很多欢乐
215,bgm好评
216,巧了
217,你开心就好
218,你开心就好
219,？？？？？？？
220,多吃点
221,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
222,哈哈哈
223,怪不得吃傻了
224,建国你怎么了
225,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
226,麻烦直播吃药，谢谢
227,大科学家
228,川建国同志辛苦了！！！
229,你开心就好
230,但是你们也没人问哈哈哈
231,你开心就好
232,医生都放弃治疗了
233,国际大嘴巴又来了
234,你开心就好
235,你开心就好
236,6666
237,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
238,呵，呵呵
239,？
240,？
241,你开心就好哈哈哈哈哈
242,哈哈哈哈哈哈哈
243,你开心就好哈哈哈哈哈
244,as long as you are happy
245,as long as you are happy
246,as long as you are happy
247,你开心就好
248,你开心就好
249,你开心就好
250,？？
251,你开心就好
252,看简介，可能导致心律失常
253,泪目
254,？？？？
255,你开心就好！
256,你开心就好
257,你开心就好
258,当代神农氏
259,喂。。。吃错药了啊
260,保护我方川建国
261,你又懂了？
262,量少无忧
263,假
264,你开心就好
265,手风琴演奏家
266,你又想卖这个了？
267,你 高 兴  就 好
268,你开心就好
269,该吃药了
270,医学鬼才
271,我最懂了
272,哈哈哈哈哈哈哈哈哈好哈哈哈哈哈哈哈哈
273,(⇀‸↼‶)
274,特靠谱(ʘ言ʘ╬)
275,不喝洁厕灵了？
276,建议颁发：诺贝尔医学事故奖
277,诺贝尔医学事故浆
278,我先来.你开心就好
279,哈哈哈哈哈哈哈哈哈哈鹅
280,训练有素的医生
281,你开心就好
282,你开心就好
283,诺贝尔医学奖预备
284,他们可不敢问你
285,脑白金？
286,能早点死就好了
287,你开心就好哈哈哈哈哈哈哈
288,药王
289,不是  你们美国人这么随意的吗 吃药这么随意？
290,辛苦了
291,你开心就好。
292,所以这就是他越来越秃的原因吗？？？
293,哈哈哈
294,建议颁发诺贝尔医学奖
295,他不傻，他只是把别人当傻子……
296,你开心就好
297,李朗娅
298,我不要你觉得，我要我觉得。
299,太可怕
300,原话，没毛病！
301,辛苦了
302,哈哈哈哈哈哈哈哈哈哈哈哈
303,开心就好哈哈哈哈
304,人言否
305,挣脏钱
306,老手风琴大师了。
307,？？？
308,希望人没事
309,哈哈哈哈哈哈哈哈哈哈
310,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
311,自己给自己下毒？？
312,?
313,川普适合娱乐节目
314,你开心就好
315,你开心就好
316,特有才
317,我靠
318,你开心就好
319,那祝你
320,你开心就好
321,你开心就好
322,哈哈哈哈哈哈哈哈
323,每天一个造谣促进消费
324,不是吃了几周？
325,你开心就好，哈哈哈
326,专业团队预订准备
327,多少钱一个坑位？
328,懂王
329,你开心就好
330,你开心就好
331,吃，就硬吃
332,特有才
333,？？？？？？？
334,？？？？
335,懂王是有这药的股票吧
336,专业
337,BGM好评...
338,回来吧建国同志
339,疟疾是寄生虫，新冠是病毒
340,看到你的消毒剂发明，就知道副作用
341,让他吃
342,笑死
343,消毒液不香了吗
344,每天一粒？药物的半衰期到了吗？，有效量到了吗？
345,if you like it
346,他手下有医药公司有积压库存？
347,老骗子了
348,rip
349,以身试药啊
350,笑死我
351,你开心就好
352,？？？？？？？？
353,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
354,感觉建国好像瘦了
355,白宫医生：你开心就好
356,你开心就好
357,你真聪明
358,你开心就好
359,你开心就好啦。。
360,川普孩儿，你开心就好了
361,哈哈哈哈哈哈
362,再来一遍
363,你吃了一周了，难怪老年痴呆了
364,多种职业丫
365,带医学家
366,你开心就好
367,诚实可靠特朗普
368,你开心就好
369,哈哈哈哈哈哈户
370,你开心就好
371,哈哈哈哈哈哈
372,我已经吃药一周半了
373,嘿
374,服用过会有后遗症
375,哈哈哈
376,逻辑鬼才已上线
377,你开心就好
378,你开心就好
379,多吃点
380,你开心就好
381,吃不死就多吃点
382,病急乱投医？
383,川普是秃了吗
384,这是想用谣言带动经济吗
385,                                                仅限特朗普
386,快  乐  源  泉
387,你开心就好
388,不愧是你
389,你开心就好
390,做人最重要的是开心
391,学到了。这就去淘宝下单
392,你开心就好
393,你开心就好
394,你开心就好
395,你开心就好
396,你开心就好
397,？？？？？？？？？？？
398,你开心就好
399,你开心就好
400,你开心就好
401,今日金句 :你——开——心——就——好
402,神农特朗普
403,人言否
404,这个嘴，是不是已经慢性中毒了
405,多吃点。
406,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
407,你是要笑死我 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈!!!!!!!!
408,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
409,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
410,are you serious(噗哈哈哈哈哈哈)
411,你开心就好
412,你开心就好
413,以后看他怎么说越来越好玩了
414,川药神在线带货
415,23333333
416,哈哈哈哈哈哈
417,美国神农 以身试毒
418,！！
419,准备要有一帮人消毒水送疟疾药了
420,哈哈哈
421,合理
422,你开心就好
423, 开心就好
424,没人比我更懂药
425,你开心就好
426,？？？？？？？
427,你开心就好
428,直播带货
429,以身许国？
430,哈哈哈哈哈哈哈哈哈你开心就好
431,哈哈哈没人问你
432,哈哈哈哈you like it
433,没有人比我更懂疟疾药
434,fine
435,你开心就好
436,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
437,哈哈哈哈哈哈
438,哦，原来是你的公司啊
439,我是药神
440,你是在做广告吗？
441,哈哈哈哈
442,讲个笑话，疟疾药中国人研究出来的
443,没人比我更懂吃药
444,你开心就好
445,你开心就好
446,哈哈哈哈哈哈
447,哈哈哈
448,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
449,美国药水哥
450,你开心就好
451,又搞事
452,哈哈哈哈哈哈哈哈哈
453,你开心我就开心
454,没有人比我更懂抗疟疾药
455,制药厂给你多少钱
456,恰饭了都
457,你开心就好
458,你开心就好
459,此地无银
460,真直播带货
461,你开心就好
462,你开心就好
463,你开心就好(内心os:吃吃吃，吃死你)
464,副作用可能是让脑子不太清醒
465,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
466,你开心就好
467,给你一个大拇指
468,你开心就好
469,每日快乐源泉
470,你开心就好
471,川普加油！哈哈哈
472,你开心就好
473,？？？？
474,这算自杀吗
475,你开心就好
476,你开心就好
477,谢谢伊朗在我们疫情严重的二月初向我们捐赠了300万个口罩
478,以身实验
479,白宫医生也觉得你没救了
480,川普不会得了老年痴呆症了吧
481,你开心就好
482,以身殉国
483,没发现川普头发没了吗
484,迷惑行为
485,？？？？
486,当糖豆了吗
487,人才啊
488,甘当试药小白鼠！
489,又在拿生命赌明天了
490,？？？？？？？
491,广告时间
492,你开心就好
493,一线工作者特朗普
494,你开心就好
495,直播带货
496,你开心就好
497,这药的公司和他有关吗
498,老药人了
