,comments
0,致敬中华五千年中医！！！
1,致敬中华五千年中医
2,致敬中医
3,不想落泪，想忍主住啊！院士
4,致敬
5,致敬
6,方方滚出来死
7,您是我们的英雄！
8,致敬
9,致敬！
10,致敬
11,辛苦了
12,把胆留在了武汉，真英勇
13,致敬
14,辛苦了♡
15,加油
16,辛苦了
17,辛苦了
18,泪目
19,致敬
20,张院士生病都是看中医
21,这是湿巾啊
22,辛苦了！英雄
23,致敬
24,我为什么不做极左分子？方方!因为你在污蔑我们整个国家!
25,致敬
26,致敬！！
27,辛苦了
28,都会过去的！
29,致敬
30,致敬  辛苦了
31,张院士今年72岁了 为何还如此伤悲落泪？
32,医者仁心 焉能不掉泪？
33,72岁的张院士 向您致敬
34,感谢院士
35,泪目 泪目 辛苦了
36,致敬
37,辛苦辛苦！谢谢您们！
38,致敬！
39,致敬
40,辛苦了
41,致敬
42,辛苦了
43,致敬
44,致敬
45,医者，仁心
46,辛苦了！致敬！
47,致敬
48,辛苦了  致敬
49,不忍卒读啊
50,辛苦了
51,辛苦了英雄
52,哽咽
53,中医为主，西医为辅！
54,致敬！
55,辛苦了 致敬
56,辛苦了!
57,致敬
58,辛苦了！！！
59,致敬
60,辛苦了
61,致敬
62,辛苦了
63,致敬
64,辛苦了
65,国医牛皮，张老英雄
66,致敬
67,致敬
68,致敬
69,辛苦了
70,辛苦了
71,辛苦了，致敬！
72,您辛苦了
73,致敬
74,致敬！
75,致敬！多半很惨烈，能让一个老中医这样动容
76,辛苦了，谢谢你
77,想哭
78,辛苦了
79,辛苦了
80,致敬
81,致敬
82,尊敬
83,辛苦了
84,感谢中医
85,想起来就难受
86,辛苦了！致敬！
87,加油！
88,真的太难了！辛苦了
89,俺们校长真是太棒了QAQ
90,辛苦了
91,致敬！
92,方方出来挨打
93,致敬
94,辛苦了
95,辛苦了
96,致敬
97,辛苦了
98,致敬！
99,辛苦了！
100,辛苦了
101,致敬
102,致敬
103,太难了，真的太难了。刚刚爆发的时候，全中国人民都太难了，终于挺过来了！
104,泪崩！
105,大爱
106,致敬
107,点赞
108,辛苦了
109,没有你们的努力何来如今的复工复产，万物复苏，致敬！
110,看着我流泪了
111,致敬
112,救救中医
113,中医黑的杠精不会来这抬吧
114,致敬
115,致敬！
116,辛苦了
117,辛苦了
118,致敬
119,辛苦了
120,致敬
121,致敬
122,致敬
123,辛苦啦！多亏了你们!致敬！
124,辛苦了
125,一泪胜千言
126,致敬
127,致敬
128,辛苦了
129,致敬
130,辛苦了
131,辛苦了
132,致敬守护我们的那些可爱的人，辛苦了
133,大家辛苦了！大
134,勇士！
135,辛苦了！
136,辛苦了
137,致敬
138,辛苦了
139,没有他们在，我们何以安生
140,致敬！
141,辛苦了
142,辛苦了
143,致敬
144,辛苦了辛苦了
145,致敬
146,致敬
147,万众一心，众志成城，守望未来
148,医者仁心
149,致敬
150,致敬
151,辛苦了
152,辛苦了
153,敬礼
154,辛苦了。
155,无处安放的我小手手
156,辛苦了
157,辛苦了
158,致敬
159,谢谢你们
160,有大爱的人都是及其温柔的
161,致敬
162,辛苦了
163,中国人民万岁，
164,致敬
165,辛苦了
166,辛苦了
167,大爱
168,辛苦了
169,致敬
170,辛苦了！
171,辛苦了
172,致敬
173,难过了
174,致敬
175,致敬！
176,终于看见张老师了
177,辛苦了
178,国士无双
179,辛苦了
180,辛苦了，致敬！
181,致敬
182,致敬
183,致敬
184,致敬！
185,致敬！
186,嗯致敬
187,感谢
188,辛苦了
189,致敬
190,致敬
191,辛苦了！
192,致敬
193,我现在也不敢回想，太艰难的一段经历
194,致敬
195,中医万岁！
196,泪目
197,加油！辛苦了！！！致敬！！！
198,辛苦了！！
199,致敬！！！
200,致敬
201,辛苦了
202,致敬
203,辛苦了
204,致敬
205,致敬
206,致敬
207,好想递纸巾
208,致敬
209,辛苦了
210,武汉加油 中国万岁
211,揉揉
212,辛苦
213,您辛苦了！！
214,致敬
215,致敬
216,致敬
217,辛苦了
218,辛苦了
219,辛苦了
220,唉，我哭了
221,致敬！
222,辛苦了
223,谢谢你，辛苦了
224,致敬
225,致敬
226,致敬辛苦了英雄
227,致敬
228,辛苦了辛苦了
229,辛苦了
230,致敬
231,哎
232,温暖的心温暖的人
233,辛苦了，致敬！
234,致敬
235,致敬
236,实质是谁造成的
