,comments
0,万恶之源
1,王所长很不错，很有艺术感
2,《无中生有》
3,传言的起源
4,大四喜
5,这硬语发音真标准
6,科研还是得看艺术生
7,所以漂亮
8,4姨太太
9,火箭般上升的正厅级干部，溜得一批
10,这个所长绝了 明目张胆
11,还合作
12,没用的病毒所
13,找病毒
14,那就是人工干预
15,人工
16,那就是了
17,那就是变异了
18,四姨太大提琴拉得好啊
19,卧槽 出镜了
20,好意思出来啊
21,德不配位
22,呵呵，你的院士老公呢
23,是的，关了好多
24,人为改造肯定要有控制，你控制不住的东西你不会随意使用，因为会自取灭亡
25,老公找的好
26,哦，这就是那位专业能力不够但靠着老公上位的？
27,刚刚好
28,。。。。。
29,完全有资格评论，谢谢
30,我就是女科学家，还搞生物的
31,没准考证，没准考证，没准考证
32,"她没高考准考证,她没高考准考证，没准考证"
33,你倒是回应一下你自己咋当上所长的呗
34,有才个屁，
35,你是艺术生
36,专业写就是征，征才是对的
37,标题错字了
38,一个节点都可以有很大差别，1100个...
39,就知道喷，有意思？
40,啥都知道，真厉害
41,你们啥都懂
42,也不高啊！
43,唉，有颜又有才的。爱了爱了
44,艺术生
45,回答的好专业呀，问题回答了，不该说的也只字未提！素质好高！
46,美国来的
47,哈哈哈哈哈哈
48,你打这么多字干什么？
49,高中生物拓展
50,冠念一声
51,可以什么？所长学术水平不明不白的
52,180万来考古
53,所以当初这种谣言是被某些有心人利用大部分人对这方面知识的欠缺，引导推动的吧？
54,噢噢，又长知识了
55,基因重组的可控性有多小？我相信九年义务没有白学
56,说很高的初中生物白学了
57,字幕疯狂上下交换
58,艺术生
59,但是并不是大家都上过高中
60,记者真的厉害，问的都很客观
61,人为改造的，你还是太看得起人类的技术了
62,教授好吧
63,这个这是一个小三
64,艺术生之光
65,哦哟是她啊
66,以我薄弱的生物知识我寻思那个突变本来就是低频性多害少利性不定向性的特点啊，自然突变也只是因为有自然选择啊，自然选择才有方向，突变是没有的吧 我们这么写会扣分的还有我们也会考这个区别
67,你们酸什么，人家真的是凭自己努力当上所长的（狗头）
68,上面有人吗？？？！！！
69,保护个鬼
70,学阀世家
71,戏子
72,艺术生
73,记者这个问题是尖锐，但是问的好哈哈哈哈
74,都说好看？？？？我怎么感觉一般？就是做所长确实年轻
75,输宏冰
76,懂了
77,打保护的去了解了解在发  好吗
78,这记者是自己人吗？
79,高三理科生表示so  easy
80,这么年轻就当所长了？！！！！！
81,人工改造 ？ 玉皇大帝下凡？（狗头
82,大提琴所长
83,前面的说人为改造的，你生物白学了吗？
84,声音好好听
85,弹幕酸死了
86,艺术生，没高考准考证
87,大提琴特长生你来啦
88,感觉今年高考好多知识点鸭
89,随机性
90,理科生学了高中生物的应该都能懂吧
91,这家伙怎么还是所长
92,所长好年轻
93,王所长气质！
94,所长漂亮
95,是的
96,临床经验丰富
97,画重点………仔猪
98,这是央视国际台
99,因为这是翻译
100,哟，艺术生啊[doge]全才啊
101,？？？？？
102,保护
103,保护
104,50年都难进化成
105,弹幕什么意思啊，自己人怀疑自己人？
106,你为疫情做贡献了吗
107,想给外行科普我们所做的科研太难了 这个差异在我们看来天差地别...
108,一切都是一场阴谋
109,舒校长现在很慌
110,前面那个相似率那个，人类和猩猩，猴子都比96高
111,这个艺术生可以
112,确实可以弄高考题，一开文就给你一堆听不懂的文字
113,美国去年关了几个生化实验室很可疑
114,特朗普：China
115,贼喊捉贼美利坚
116,王所长
117,英文好评  发到外网让他们多看见
118,问题恰恰在于自然进化需要这么久，如果人为改造呢？
119,保护
120,我以为会回应饶毅举报事件
121,我就单纯好奇啊，没别的意思，这个相似度80%是怎么个概念，有没有懂得解释一下
122,红色，我笑了
123,*
124,她来了她来了艺术特长生她来了！
125,保护
126,有可能，然后变异进化
127,记者问的问题都挺准的
128,？？？？
129,←小白
130,年轻漂亮，好厉害啊
131,据说所长是艺术生，这是对科研工作者极大的侮辱啊
132,p4负责人是中科院武汉分院院长袁志明
133,是征没错
134,播放6万了，评论260，希望你们不要对厅长有想法！
135,高考要考的
136,←左边的，自然突变是有一定的进化方向的，不是任意突变的。她想表达的是新冠和这个病毒之间不存在自然突变的联系。
137,这个问题很好
138,好孝
139,这是那个艺术生吗？果真长的可以
140,你不懂你点什么头啊
141,几百万猿类跟人类都没拉开多大差距
142,发声总比闷着好
143,人和大猩猩基因相似程度都有有97%呢
144,建国:fake news
145,艺术生，你来了
146,人和香蕉都有一半基因相似呢，这说明是完全不同的病毒
147,这就是高考关系户，现在所长吗？
148,懂的都懂，不懂的还是不懂
149,感谢科普
150,虽然我懵了，但我觉得说的对
151,保护
152,保护
153,前排保护
154,舒红兵
155,大提琴
156,高考不考这个，学医的害怕
157,还好意思出来？
158,分不清艺术生和艺术特长生？
159,艺术生气质是不一样嗷
160,问问美国我不信他们什么都不知道
161,无中生有？
162,好像是WIV1，当时发表在nature上
163,这个问题其实蛮尖锐的，关系到一个病毒库管理统计的问题
164,这句话有点败笔了...这个突变不是指哪儿打哪儿，而且打哪儿指哪儿
165,其实从病毒基因组大小看，96%算很接近了
166,美国制造
167,现有的病毒，有可能泄露吗
168,征字写错了吗
169,时光机
170,1：42的英语翻译错了，应该翻成covid-19
171,那是谁说蝙蝠的，现在都说是蝙蝠啊
172,弹幕来了！！！
173,高考画重点
174,2333333
175,你美国敢开放特里克堡生化研究所吗？
176,sans
