,comments
0,就是中国也帮忙了
1,意大利也难哦
2,欧盟本质上从来没有团结过，国家之间只有利益没有朋友
3,现实版的傲慢与偏见，害了他们自己
4,还亚洲，其他国家哪有中国生产的快
5,明明有两个月的时间
6,人类之洲欧洲总算定下来了，这可是全球经济聚集洲啊
7,罪  恶  都  市
8,人类命运共同体啊
9,亡羊补牢，为时不晚，可很多已经死去的人明明可以不用死的
10,希望这次疫情可以洗清欧洲人的偏见与无知，带来一个新的高度统一的欧洲，不要再被美国所左右
11,中国现在很多人就是民族自信心爆棚，啥都要中国好
12,这些白眼狼不值得可怜
13,白眼狼是记不住的
14,一个戴口罩不出门的事情居然会搞成这样
15,牢不可破的联盟
16,下次继续道歉
17,应该是亚洲共同体，欧洲共同体，美国自己搞美洲
18,欧盟团结对我们有利
19,黑死病
20,德国白给意大利治，可能吗。
21,戴口罩不自由呀，带什么口罩？
22,都是事后才诸葛亮
23,都没带口罩啊
24,德国不是抢了很多物资么
25,格陵兰
26,德国空军
27,不管怎么样 都希望世界好起来
28,我们是人类，我们要面临大自然的所有挑战，疫情之下！无国服之分！
29,泪目
30,奇异恩典
31,人类命运共同体
32,加油吧
33,美国呢？？？
34,政客丑恶的嘴脸
35,傲慢和偏见的代价，不过我还是希望快点好起来
36,反思归反思，下次估计还是这样
37,都是白眼狼
38,加油
39,这是欧盟自己的事情，弹幕小学生们别刷中国了
40,德国还是强的
41,关闭边境还是能理解的
42,我只难受 中国牺牲的医护人员
43,人类命运共同体
44,真的加油啊啊啊，早点好起来吧
45,波切利是不是病了 怎么这么瘦这么憔悴啊？
46,怎么不感谢中国
47,安德烈波切利
48,这个是央视的节目，强调欧洲团结，节目没放不等于没感谢
49,英国现在还没脱干净，某些政策依然能享受（很少）
50,会好起来的，欧洲加油
51,加油啊
52,英国已经退出欧美
53,现在想起意大利了  
54,rip
55,德国还是强
56,刺客信条：启示录
57,口罩？
58,摸摸瑞士
59,这是欧盟主席
60,加油，人类命运共同体加油
61,中国的援助没有提？
62,真好
63,这个法国人说的英语真酸爽，想起了昆汀的super cool
64,自作自受
65,嗯
66,总得开放的，不然经济撑不住，只要做好防护问题不大
67,还是德国靠谱
68,除了漂亮国，都得好起来
69,别玻璃心
70,马什么梅
71,疫情过后可能出现一大批脱欧的国家吧
72,哎。。。加油啊！！
73,加油啊！！
74,痛心
75,这就是文化的力量嘛?
76,承认中国那么难嘛
77,加油！
78,我们终会战胜它
79,啊啊啊看到边界拆了！一起面对最棒了
80,希望
81,这事后在说这种话好像没什么用
82,牢不可破的联盟2.0
83,塞铁！！！
84,加油！
85,人类命运共同体
86,可笑
87,no 作
88,加油
89,害怕
90,都是生命，唉。rip
91,赞美诗
92,我认为口罩需要带上
93,控制好了吗？光想着作秀
94,哇，他们还有棺材用
95,牢不可破的欧盟
96,瑞典也是不作为的国家，跟美国一样，反华
97,以后旅行要有选择性的国家去了
98,草菅人命者就是某些国家的政客
99,德国真的操碎了心
100,安德烈波切利这么廋了啊
101,不要把快乐建立在别人的悲伤之上…
102,德国还有余力？
103,现代世界中真的只有欧洲和东亚最和平了，两个经历过无数战火的洗礼的地区
104,reset
105,也许是与武汉保卫战相同的情绪感受
106,英国是不是又要大陆均衡了？
107,的确震撼人心
108,几乎全是东欧支援西欧
109,真的吗？我不信
110,宣传片而已
111,空话
112,不应该还有一句我们都是地球人吗
113,那个我为什么就%¥@“；：/-”“@呢？别骂我
114,我只是一个普通人
115,欧洲不团结永远无法渡过难关
116,那个欧盟医生说了中国话：谢谢
117,当你不尊重生命时  生命会无情的抛弃你
118,表面兄弟
119,超喜欢这首歌
120,很喜欢这首歌。。。
121,默哀
122,还好英国脱欧了
123,早知如此何必当初
124,无辜的生命系在他们的手上为什么他们却没有履行他们对这些生命的责任与义务
125,经过这次可能很多人都来中国办绿卡了
126,人命面前这些就啊啊可以先放一边吗
127,早的时候都干嘛了？
128,大难临头各自飞都是
129,这是傲慢和偏见所带来的
130,大家不要盲目地被感动到年底一定会大曝发而且会更严重
131,好多精欧精美
132,不是在骂骂咧咧嘛
133,这是欧盟主题 估计去掉中华援助那部分的 
134,这个视频重点是欧洲，别老是说中国的
135,自顾不暇
136,能成为经典了。。
137,不禁足，反禁卫生品出口，真同盟国，想法都一样
138,感觉外国政坛发言都很随意，一天一个变化
139,我看是下次也不一定吧
140,早点过去吧
141,唉
142,政治上的感谢谁信啊
143,德意同盟罗马柏林轴心doge
144,听信美国说的大流感
145,感到悲哀
146,法国今天又是三千，没有尽头
147,加油，人类！
148,这是米兰大教堂啊
149,那天我开学
150,别说什么没提中国了 看看标题再问问题
151,祝你们早日结束疫情
152,早知如此，何必当初呢
153,世界加油！
154,逝者安息…
155,不得不说 西方人真会宣传
156,请注意标题…“欧洲”
157,请你们感谢下中国的医疗队
158,为什么不说下中国来的援助？白眼狼
159,马后炮，
160,欧洲现在最硬气点是默克尔了
161,西欧的德国法国这俩还有点希望
162,一帮白眼狼
163,没收入……坚持不下去了
164,贪这么肥
165,还不是这些高高在上的政客不作为导致的？
166,逝者……
167,全凉了
168,前面的那位，已经不是战国七雄了，是战国30多雄
169,默总
170,精神buff
171,欧洲的古建筑还有艺术感，真好看
172,正常，表面合作而已
173,印度男孩又说对了
174,都是生命啊，，，
175,啊啊啊啊好难受
176,吴彦祖
177,泪目
178,愿在他们的世界生命得到尊重
179,欧盟就像战国七雄
180,欧洲谁还敢听老美的话呢
181,团结的力量——
182,得意联盟
183,我们同为人类
184,欧洲，美国都完了
185,中国跟欧洲隔太远了最多运点物资，谈不上合作
186,这个联盟甚至不如中国团结
187,下一步是不是要驰援美利坚了
188,也许欧盟在后悔，当意大利爆发时，他们怎么没有像中国那样团结！
189,那个女士脸上有口罩勒出的痕迹
190,本来这些都可以避免的，中国早就预警了
191,看标题，这次重点不是中欧，而是欧洲内部
192,这是给欧洲团结的一次机会，不要错过！
193,财长好帅
194,没戴口罩而聚集 这就很尴尬
195,不尴尬吗还笑
196,欧洲是欧洲人的欧洲，东亚的好的影响，往往都会淡化了之
197,是拉丁语吗
198,英国脱欧了
199,美国当我没说
200,希望欧洲各国能反思
201,只有适当的打击才能让人类明白自己是弱小的
202,愿逝者安息
203,加油
204,亡羊补牢，为时不晚
205,前面不可能那个建议重新想想国与国的关系
206,这是主要讲欧洲的，不要老想着别人感谢我们家啊
207,加油
208,全是新坟
209,泪目啊！！
210,道歉有用？
211,防疫资源不紧张了，边境隔离可以撤了、团结可以回来了、精神可以提倡了，希望不要再散了
212,波切利这么瘦了...
213,英国孤悬欧洲
214,《奇异恩典》
215,所谓欧盟，非欧洲联盟
216,墓铭
217,加油！！
218,欧洲加油
219,医护人员最美丽
220,为了挽救欧盟才勉为其难开始救的
221,不攻自破的联盟
222,全世界都要加油！求你们快带上口罩吧！中国现在还戴着，可你们！？
223,R I P
224,人类命运共同体
225,我们都希望世界和平，但是不是每个人都接受这种观点。
226,不会是因为中国疫苗研制取得成功吧
227,牢不可破的联盟
228,我唾弃你们的行为，我唾弃你们政客的无耻行径。
229,我看过了
230,加油！
231,等到人类真正意识到人类需要联合起来的时候，人类文明一定会进入新时期
232,瑞典今天确诊有创建新高了……
233,英国尴尬了
234,除了美国都加油
235,这讲的是欧洲啊，看清主题
236,庆幸英国脱欧？确定
237,德国厉害
238,欧洲万岁a
239,欧洲已经经历过黑死病了，一点教训没有吸取
240,说了  然后谁来做这个出头鸟
241,↑都快看完了还没发现这是讲欧洲的视频吗？？
242,你口罩呢？
243,这些政客最虚伪
244,只看到虚伪的政客嘴脸
245,虚伪
246,都是一群虚伪的政客
247,吴彦祖
248,哎呀577
249,白发吴彦祖嘛
250,马后炮
251,挺好
252,道歉有用吗
253,乳法
254,精罗落泪
255,加油
256,还请大家把欧洲，英国和美国这三个地方分开说。欧美在这个时代已经不是铁板一块
257,说真的，这就叫不见棺材不落泪……下次还敢
258,四月份道歉？有用吗？
259,这是欧洲之间的事，也不好扯到我们
260,R.I.P.
261,地球人加油
262,好听
263,疫情早日结束吧！不要再有人命了！
264,生化奇兵3里有这首歌
265,这一切还是建立在中国大力支持的情况下的，该放下那卑微的自尊与傲慢了
266,你  复  活  辣
267,讲的欧洲，谢谢
268,R.I.P
269,圣母院修好了？
270,这是自己国家守不住了，开始道歉，让别人给物资
271,欧盟的根基是欧元，但是欧元已经给米国打残了
272,中国是一个国家，而欧盟只是一个联盟
273,hhh
274,致歉，下次继续
275,你觉得欧洲当时口罩够用？天天口罩口罩的
276,????
277,hai
278,加油
279,安德烈•波切利
280,塑料兄弟
281,就这么说吧，老子宁可往赛尔维亚捐30万也不愿意在欧洲丢一分钱
282,人类命运共同体理念 得是站在多高的角度才能得出这样的结论！
283,有用么…已经有那么多人不在了…
284,傲慢与偏见与代价
285,道歉有用要欧洲各国法律干啥
286,就是没提中国
287,好好听
288,扯
289,这此疫情让我深刻的感受到祖国的美好
290,标题有误，应是欧盟重启吧，片子里没英国和俄罗斯
291,骂他们活该吧，又有些于心不忍，都是受害者，但他们的悲剧明明是可以避免的
292,让我们携手共渡难关
293,加油
294,英国还在挣扎
295,德国还是欧盟的领头人，虽然抗疫初期做的也不好
296,女神！
297,阿尔萨斯洛林
298,这在讲欧洲内部
299,白色巨塔
300,为何都说英语
301,希望世界都能好起来
302,还不戴口罩
303,安德烈波切利老了
304,希望快点好起来啊
305,世界是美好的，，，绝对
306,RIP
307,法德友好是建立在共同利益上的
308,这不算风凉话，我们当然希望世界和平如初
309,环球同此凉热！这标题我爱了
310,尊严在病毒面前显得。。。
311,我们都是地球人
312,。。。。泪目。。。
313,团结一致，共御外敌
314,团结一致。。。。。
315,道歉有用吗，呵
316,可共富贵，不可共患难
317,美国:我看看谁感谢
318,哈哈哈哈
319,都是先自己保命，等自己好点了才开始一点一点地帮别国
320,这个女的老墙头草了，一直反华
321,fight as one
322,真是牢不可破的联盟
323,加油吧
324,欧洲联盟加深了，美国利益就受损了
325,想笑，真正涉及到利益你们会团结吗
326,德国抢救意大利这个剧情，怎么感觉从哪看过
327,加油
328,相比之下祖国早日封锁才让悲剧没有扩散，唉各自安好吧
329,早就应该封锁了，还嘲讽中国
330,要不是知道你们前期的荒唐举动我差点就信了
331,中国已经预警了，这些 悲剧本可以避免
332,再看看中国驰援武汉
333,NH90
334,无意冒犯
335,就属你们抢得多
336,人类不就是这样吗？只有事到临头，才会真有所感
337,加油
338,希望疾病远离人类
339,哎
340,泪目
341,jiayou
342,欧美为前世罪付出代价
343,英国加油啊
344,rip
345,欸~莫名庆幸英国脱欧
346,加油
347,逝者安息
348,加油啊~
349,世界加油！
350,世界加油！！！！
351,封路还好，但是抢物资就....
352,都加油吧
353,再不控制病毒迟早会变异，就更难了
354,R.I.P.，一路走好！
355,默哀
356,泪目
357,大家都是人
358,讲个笑话，欧洲非常团结
359,不可能有，他们合美国一条裤子的
360,"我不相信欧洲的黎明将至,虽然希望如此"
361,友好传统不是你来我就投降吗
362,没必要幸灾乐祸
363,自己作的！ 轻视 傲慢 无知 无脑 虚伪  有此下场实属活该
364,疫情之中不分国界
365,人类命运共同体！
366,欧洲经过疫情后，会不会就不迷茫了呢
367,你的口罩？
368,重建神圣罗马帝国
369,欧洲经历疫情后，会不会就不迷茫了呢
370,法国东部有很多日耳曼人的
371,带口罩不出门就可以解决的问题非要搞得这么惨
372,下次一定，不不不，下次也不。
373,这人是谁
374,生命
375,吹弹可破的联盟
376,老是说戴口罩的烦不烦
377,道歉完就可以反手抢物资了
378,死亡率不高让一部分口罩市场化
379,这才是真正的人类命运共同体
380,人类不会感谢逻辑
381,被在这边说风凉话了，看着真的很寒人，世界是一个共同体，加油
382,我们都是地球人
383,应该脱的是欧盟，地理上还是欧洲
384,加油
385,友谊地久天长
386,团结就是力量
387,加油！
388,美国：就这？
389,前面那位老三体了
390,唱的是《奇异恩典》  很好听
391,早点搞定吧，中国一国很难顶
392,没人感谢种花家吗？
393,一共接受了十几个来着？
394,没有感谢中国嘞
395,塑料盟友情
396,今天学了协约国和同盟国....
397,在灾难面前所有的国家都被打回原形
398,道歉有用？
399,跟欧盟有关，又不是跟亚洲有关
400,即将分崩离析的欧盟，貌合神离
401,都是“政治正确”洗脑的结果！
402,波切利瘦好多
403,无意冒犯逝者安息，欧洲加油
404,德意志加油法兰西加油意大利加油苏格兰北爱尔兰加油
405,泪目
406,封锁可以但封锁可以但物资不能封锁
407,加油哦
408,感觉老独联体国家还靠谱点
409,怎么瘦成什么样
410,这个片讲欧洲
411,一个个口罩也不戴
412,这个视频基调哀而不伤，建议关闭弹幕观看。
413,全国禁足是值得的
414,希望疫情早点结束
415,欧洲绝对还会反弹的
416,别说咱们啦，这个视频主题讲欧洲，咱们不是欧洲的啦
417,西班牙呢
418,傲慢的代价
419,白色巨塔  也有这个日语插曲 
420,背景音乐：Amazing Grace
421,A life of joy and peace
422,within the vail
423,I shall possess
424,And mortal life shall cease
425,"Yes, when this flesh and heart shall fail,"
426,Was grace that taught my heart to fear
427,加油吧
428,Was blind but now I see
429,塞尔维亚是最懂人心
430,友谊地久天长
431,That saved a wretch like me
432,欧洲的团结只不过是纸上的童话而已
433,友谊地久天长
434,这是为了只是为了自己的国民
