,comments
0,致敬
1,致敬
2,R.I.P
3,中国！！
4,致敬！
5,致敬。
6,致敬
7,致敬
8,致敬！
9,致敬
10,中国万岁
11,致敬致敬
12,致敬
13,致敬
14,致敬
15,致敬致敬
16,致敬！
17,致敬
18,致敬
19,致敬
20,致敬
21,致敬
22,致敬
23,英雄永垂不朽！！！
24,值
25,致敬
26,致敬
27,武汉是安全的
28,致敬
29,致敬
30,值了
31,大国风范！
32,致敬
33,致敬
34,不是值不值，这是血赚
35,致敬
36,致敬
37,值！
38,致敬
39,致敬
40,致敬
41,值
42,致敬
43,致敬
44,L
45,致敬
46,致敬
47,一路走好
48,致敬英雄
49,致敬
50,致敬
51,致敬
52,值！
53,致敬
54,值
55,致敬
56,致敬
57,致敬
58,英雄走好
59,致敬
60,致敬
61,致敬
62,值
63,致敬
64,值！
65,致敬
66,致敬
67,致敬
68,英雄城市  武汉
69,值！
70,致敬
71,值！
72,值得
73,致敬
74,致敬
75,致敬
76,英雄一路走好
77,致敬白衣天使
78,安息
79,亻直
80,致敬
81,致敬
82,致敬
83,致敬
84,废话，不检测出来感染更多。值!
85,致敬
86,致敬
87,致敬
88,致敬
89,值
90,一路走好
91,值
92,致敬医生
93,致敬
94,值
95,致敬
96,致敬
97,致敬
98,值！
99,致敬
100,致敬
101,致敬！
102,致敬
103,能不能不走呀
104,致敬
105,致敬
106,致敬
107,唉
108,致敬
109,致敬
110,致敬
111,值
112,致敬
113,致敬
114,值
115,致敬
116,泪目
117,致敬
118,一路走好
119,致敬
120,辛苦啦辛苦啦
121,致敬
122,值
123,中国加油
124,致敬
125,是因为英雄的存在才有了我们的春暖花开
126,致敬
127,致敬
128,致敬
129,致敬
130,致敬
131,致敬
132,致敬
133,致敬
134,致敬
135,致敬
136,致敬
137,致敬
138,致敬
139,致敬
140,致敬
141,致敬
142,向他致敬
143,致敬
144,致敬
145,走好
146,致敬！
147,值
148,致敬
149,它阿美瑞卡做得到吗？
150,致敬
151,致敬
152,致敬
153,致敬
154,致敬
155,致敬
156,致敬
157,致敬
158,致敬
159,致敬
160,致敬
161,致敬
162,致敬
163,致敬
164,致敬
165,致敬
166,值
167,致敬
168,致敬
169,致敬
170,为什么把好人变的那么黑
171,致敬
172,致敬
173,致敬
174,致敬
175,致敬
176,致敬
177,感谢祖国
178,致敬
179,走好，致敬
180,致敬
181,致敬
182,致敬
183,致敬
184,值得
185,致敬
186,在未解决任何瘟疫 流感病毒得到有效治止之前 我都不会说这种搞笑而不成熟的客套话
187,在未解决任何瘟疫 流感病毒有效办法之前 我都不会说这种搞笑而不成熟的客套话
188,致敬
189,致敬
190,致敬
191,致敬
192,一路走好
193,致敬
194,致敬
195,致敬
196,安息
197,致敬
198,致敬
199,致敬
200,致敬
201,致敬
202,致敬
203,致敬
204,唉，今天我还在特殊对待
205,致敬
206,致敬
207,致敬
208,找出来一个人就值
209,值
210,致敬
211,致敬
212,致敬
213,值
214,致敬
215,致敬谢谢你们
216,致敬
217,值
218,愿天佑我中华
219,愿天佑我中华
220,心疼
221,致敬
222,英雄走好，致敬！
223,致敬
224,英雄走好！
225,致敬
226,致敬
227,致敬
228,致敬
229,致敬
230,哭了
231,值
232,敬礼
233,致敬
234,致敬
235,加油
236,致敬
237,致敬
238,致敬
239,致敬
240,致敬
241,值
242,致敬！
243,致敬
244,致敬
245,致敬
246,致敬
247,致敬
248,值啊
249,行
250,致敬
251,致敬
252,特别值得！
253,一路走好
254,看来终于要开学了
255,我养你啊
256,致敬
257,致敬
258,致敬
259,英雄走好！
260,致敬！
261,致敬
262,加油！
263,致敬
264,致敬
265,致敬
266,值
267,致敬
268,致敬
269,一路走好英雄
270,致敬
271,致敬
272,致敬！
273,致敬
274,致敬
275,一路走好
276,致敬
277,致敬
278,值
279,致敬
280,致敬
281,致敬
282,致敬
283,致敬
284,值
285,致敬！
286,值
287,致敬
288,致敬
289,致敬
290,致敬
291,一路走好
292,值
293,致敬！
294,致敬
295,致敬
296,值
297,万岁
298,致敬
299,值
300,致敬
301,致敬
302,致敬
303,致敬
304,致敬
305,致敬
306,致敬
307,致敬
308,致敬
309,致敬
310,走好
311,走好
312,致敬
313,致敬
314,致敬
315,致敬
316,致敬
317,致敬
318,致敬
319,致敬
320,致敬
321,致敬
322,致敬
323,致敬
324,就值
325,值！
326,致敬
327,走好
328,一路走好
329,致敬
330,致敬
331,致敬
332,致敬
333,谢谢您，一路走好
334,值
335,值！
336,致敬
337,致敬！
338,致敬
339,致敬
340,致敬
341,致敬
342,致敬
343,致敬！
344,值
345,致敬
346,致敬
347,致敬
348,致敬
349,谢谢你们
350,致敬
351,致敬
352,一路走好!
353,致敬
354,致敬
355,致敬
356,致敬！
357,致敬
358,致敬
359,致敬
360,致敬
361,致敬
362,致敬
363,你是好样的
364,致敬
365,致敬
366,致敬
367,致敬
368,致敬
369,愿祖国永远繁荣昌盛
370,致敬
371,太值了
372,致敬
373,致敬
374,致敬
375,致敬
376,走好
377,致敬
378,致敬
379,英雄城市，欢迎归队
380,致敬
381,值得！
382,致敬
383,致敬
384,致敬
385,致敬
386,致敬
387,致敬
388,致敬，走好英雄！
389,向英雄致敬
390,值！
391,值
392,致敬
393,致敬
394,致敬
395,致敬
396,致敬
397,血赚
398,致敬
399,致敬
400,值
401,致敬
402,走好
403,致敬
404,致敬    走好
405,伟大国家
406,致敬，走好
407,致敬
408,致敬
409,致敬
410,走好
411,值
412,值
413,值！！！
414,致敬
415,愿天堂再无病痛
416,值
417,致敬
418,致敬
419,谢谢你
420,致敬
421,致敬
422,致敬
423,一路走好
424,国土无双
425,致敬
426,致敬
427,致敬
428,bgm好评！
429,致敬
430,那他一定是红色
431,致敬英雄
432,致敬英雄
433,致敬
434,走好，致敬！
435,值得
436,走好
437,致敬
438,辛苦啦
439,致敬
440,致敬
441,致敬
442,泪目
443,致敬
444,致敬
445,生命无价
446,值
447,致敬
448,致敬
449,了不起！看看纽约，没有对比就没有伤害
450,致敬
451,致敬
452,值！
453,非常值
454,值
455,致敬
456,走好
457,一路走好。
458,致敬
459,致敬英雄
460,致敬
461,致敬
462,致敬
463,英雄致敬
464,致敬
465,值
466,难过
467,致敬
468,致敬
469,致敬
470,致敬！
471,致敬
472,致敬
473,zhi致敬
474,致敬
475,致敬
476,走好
477,厉害！！！
478,走好
479,致敬
480,致敬
481,走好
482,致敬英雄
483,致敬
484,致敬
485,致敬
486,致敬
487,致敬
488,太可怕了
489,致敬
490,致敬
491,致敬
492,致敬！
493,走好
494,致敬
495,致敬
496,感恩
497,英雄走好！
498,值
