,comments
0,保护                             国徽
1,保护                                  国徽
2,底端弹幕全部举报了
3,他们没这个觉悟的
4,美国对中国已经歇斯底里了
5,保护我妈
6,哈哈哈哈
7,拿出证据来！！！！
8,华半仙
9,洗衣粉警告
10,别害羞
11,保             护
12,保护
13,华姐威武又温柔！
14,发展中国家哈哈哈
15,哈哈哈哈哈哈哈
16,保                                   护
17,保                                护
18,保护
19,保护
20,这叫大格局
21,洗衣粉
22,不愧是我华夏
23,羞羞答答
24,"Show me your good thing, dont be shy"
25,保护不好就别保护了，
26,保护
27,保护
28,保护                      国徽
29,太多了 我都懒得说了。哈哈哈
30,外交天团
31,声音好温柔
32,don't be shy
33,保                         护
34,羞羞答答发个弹幕
35,洗衣粉
36,注意 关键词 
37,保                          护
38,保                         护
39,保护
40,保护我方漂亮姐姐
41,保护姐姐
42,声音好小
43,保护
44,哈哈哈哈哈哈
45,不能问，一问就是言论自由，
46,姐姐好温柔
47,帅   
48,帅
49,帅
50,吃不到葡萄说葡萄酸呗。
51,是不是从心
52,哈哈哈哈羞羞答答
53,蒙多觉得你是个大娘们
54,哈哈哈哈哈哈哈哈哈哈
55,。
56,。
57,扭扭捏捏像啥样，像个黄花大姑娘。
58,哇是我家的洗衣粉么？
59,华姐威武
60,华姐威武
61,凑不要脸
62,不要脸的美国
63,小心美国拿出洗衣粉
64,小心美国拿出洗衣粉
65,他们不肯。会以知识产权为由全世界收高税
66,哈哈哈哈哈哈哈哈哈哈哈哈哈
67,羞羞哒哒
68,女神
69,哈哈哈哈哈哈
70,保护国辉
71,保护国辉
72,保护国辉
73,保护国辉
74,羞羞答答的保护
75,羞羞答答的保护
76,哈哈哈哈哈哈哈哈哈哈哈哈羞羞答答
77,勿须有
78,太可爱了，awsl
79,羞羞答答哈哈哈
80,噗，笑死我了
81,哈哈哈哈哈哈
82,哈哈哈
83,保                      护
84,哈哈哈哈哈
85,让我康康
86,然而美国把它看成了资本
87,传统音量
88,说得好
89,别拿出洗衣粉出来就行了
90,言论自由啊。~
91,可以告他吗
92,保                              护
93,哈哈哈
94,今日猴戏
95,保护                                                                       国辉
96,保                  护
97,保           护
98,保                护
99,保                 护
100,羞羞答答
101,嘿哈哈哈哈
102,（                                                                                                  ）
