,comments
0,加油
1,加油
2,加油
3,康康来了
4,加油
5,相信北京，相信自己，口罩还不能摘
6,现在已经全北京二级响应了
7,精准，社会管理中的“微积分”，数字化世界
8,康康康康！
9,康辉回来了，爷青回
10,康辉也太帅了吧
11,精细化管理
12,加油
13,加油
14,这个声音真的脆亮
15,康辉！！！
16,哈哈哈熬夜
17,口罩我都摘了
18,哪个国家进口的
19,北京加油！
20,让我康康！
21,精准
22,精准检测
23,厉害了，我的国
24,牛掰
25,康康
26,感谢啊，精准好啊，不然我们都得回家
27,北京加油！
28,精准
29,真的国家一直在动态控疫
30,康帅的眼睛有熬夜的迹象
31,当然贵，以前五毛一块一个
32,有点憔悴的感觉
33,加油
34,精准
35,康老师还直播带货么，爱了爱了
36,一旦发生了疫情，就不能放松，(朱一旦被冒犯到了)
37,加油加油加油！
38,兄弟们把精准打在公屏上！
39,加油我的祖国
40,加油
41,北京加油！
42,小松鼠瘦了啊
43,来啦
44,感觉康康没休息好，辛苦了
45,加油
46,加油
47,北京加油！！！
48,加油！
49,北京加油！
50,北京加油
51,这个蓝色的领带！！！
52,现在天气热，很多人在街上都不戴口罩了，还随便吐痰
53,说白了 还是有人作，就是不戴口罩
54,看过带货我已经无法直视康辉老师了
55,加油啊！
56,点赞
57,加油
58,加油
59,bgm好评
60,加油
61,精准
62,长期共存！！！
63,jo等了
64,怎么感觉康辉眼睛肿了，还瘦了
65,精准
66,完全放开，只有等疫苗
67,我觉得只有纯进口才需要特别注意，毕竟有些洋牌货仍然是国内生产的。
68,北京加油
69,精准
70,北京加油呀
71,精准
72,加油
73,北京加油啊
74,？？？
75,加油！
76,口罩不能摘啊
77,加油！
78,精准
79,精准
80,辛苦
81,说得对√
82,不给国家添麻烦
83,加油
84,听说进口三文鱼来自美国已经全部下架
85,是不是进口三文鱼问题
86,哎，等疫苗吧
87,说的好，说的详细
88,瑟瑟发抖
89,加油
90,热乎
91,口罩一百块50个很贵吗？这是正常价位吧。
92,小松鼠
93,朱一旦？
94,感动
95,加油！
96,我吐了，好不容易开学了找回点状态
97,辛苦了
98,加油
99,唉、全球这趋势…
100,打地鼠哈哈哈哈
101,有点突然。
102,认识清醒
103,北京加油！中国加油！
104,牛！
105,加油 加油 加油
106,网格化管理
107,国家雄起！北京加油！
108,康康说得对 说的准
109,加油
110,精准
111,北京瑟瑟发抖
112,太强了
113,加油 加油
114,精准
115,发个弹幕
116,中国人不容易啊
117,加油
118,加油。
119,加油
120,口罩好贵好像一百多50个
121,请注意安全
122,又帅了
123,现在是进口产品输入病毒吗？
124,是的
125,央爸优秀
126,精准
127,加油哦
128,加油！
129,北京加油！
130,加油，中国必胜
131,精准
132,防护不能松懈
133,加油！
134,加油
135,加油！
136,加油！！！
137,加油
138,伟大。！
139,加油
140,感谢！
141,冒头....打地鼠?
142,久等了
143,加油
144,久等了
145,久等了
146,加油
147,加油加油
148,热乎
149,少买国外的东西，减少与境外接触
150,有人知道这个bgm是什么吗，求告知
151,加油
152,不要一刀切就好
153,听到康辉的声音就安心
154,多难兴邦啊
155,承包空屏
156,来了来了来了来了来了来了来了来了来了来了
157,加油
158,来啦
159,加油
