,comments
0,加油
1,加油
2,加油
3,加油
4,玻璃下？
5,不怕发现多，就怕没发现
6,左下的是短裤吧
7,中国加油
8,裤子？？？！！？？？
9,北京加油
10,裤子，哈哈哈哈
11,剃头+裤子 全程亮点
12,郭志坚剃头了
13,加油
14,豹纹
15,我害怕！！！！！嘤嘤嘤！
16,迷彩裤子嘛？
17,哈哈哈哈哈哈
18,北京加油
19,迷彩裤好评
20,加油
21,家在花乡学校西罗园，又线上学习了
22,裤子不错
23,天佑中華！
24,早發現比沒發現要好得多
25,褲子。。。。。。。
26,裤子666
27,我还以为是反光
28,选择题和必答题，，强行挂钩
29,加油
30,放大多外国人进来了
31,北京加油
32,都在看新闻突然飘过一个迷彩裤子哈哈哈哈
33,蛇皮裤子？？
34,裤子
35,迷彩裤子秀啊
36,加油
37,加油
38,郭哥裤子哈哈哈哈很潮啊
39,你们人类管我屁事
40,好可怕
41,玻璃下面的腿
42,玻璃下面是腿吗
43,又帅了
44,加油
45,加油
46,呵呵
47,加油
48,天佑中华
49,北京加油
50,加油
51,北京加油
52,北京一定能好！
53,加油
54,北京加油
55,加油，我们一定能赢
56,我的币都给了志坚叔叔
57,加油
58,北京加油！中国加油！
59,北京加油！
60,希望北京快点恢复正常
61,实践出真知
62,中国加油
63,北京加油
64,确实现在好多人都放松了
65,啦啦啦
66,今天好早
