,comments
0,去最危险的地方！
1,邱院长是中国第一个重症医学博士，
2,哈尔滨几百人，武汉几万人。。
3,全国第一个重症博士啊，厉害
4,比喻的太好了
5,哈尔滨前来报到
6,感谢
7,泪目
8,东南辈出英豪
9,一个人400，至少要6个人献血
10,“东大牛B”，破音
11,真的辛苦了
12,是的
13,感恩
14,致敬
15,老师有点东北口音
16,致敬
17,辛苦了
18,感动
19,辛苦了
20,医者仁心！
21,这里真的憔悴很多，心疼
22,现在可以去北京了
23,辛苦了
24,您可能又得转战北京了……辛苦啊……
25,武汉只有冬天和夏天
26,东南大学重症医学ICU南方第一
27,ICU中的ICU
28,不是想突击就突击的，这次突击没引发感染，将来要是感染了怎么办
29,加油
30,眼泪止不住
31,心酸了
32,太伟大了
33,泪目
34,辛苦了
35,致敬！
36,嘤嘤嘤南京人狂喜
37,国士
38,舍小家为大家，鞠躬精粹啊
39,致敬
40,这个真的厉害
41,做视频的时候，北京还没爆发呢
42,辛苦了
43,东大牌面
44,致敬
45,这才是当代英雄
46,辛苦了
47,我的天2600
48,这就是中国的优势
49,致敬
50,医者仁心
51,辛苦了
52,致敬！
53,耳机好像带反了，但是贼帅！
54,谢谢
55,我记得主持人这个表情
56,来积累素材啦！
57,太了不起了
58,TT
59,TT
60,好棒
61,辛苦了
62,加一 而且笑眼很舒服
63,致敬
64,辛苦啦    我的天
65,大国脊梁！
66,2600毫升，真多啊
67,泪目泪目
68,真的辛苦了，谢谢您
69,太辛苦了
70,幸得有您，江山无恙。
71,致敬
72,辛苦了
73,致敬
74,欢迎回家
75,全国抗疫
76,共渡难关
77,可以可以
78,致敬
79,面善
80,转战这词听着让人有些热血
81,致敬
82,这回真是血浓于水了
83,你们辛苦了
84,6666
85,辛苦了
86,最可爱的人
87,而且瘦了很多
88,辛苦了
89,邱医生，主持人说话很有水平
90,东大骄傲
91,啊啊啊
92,邱海波副院长人们的骄傲，我们永远爱你永远说住您！
93,泪目
94,致敬
95,伟大的职业，可爱的人
96,想哭了
97,致敬
98,超喜欢这个女主持，节奏，内容，职业素养很高
99,辛苦了
100,"百载文枢江左,东南辈出英豪"
101,おかえりなさい
102,⬅️突击建设的是病房，团队呢？时间窗呢？这个时候去世的患者呢？
103,现在是北京
104,辛苦了
105,凯旋
106,东南辈出英豪
107,好温柔
108,致敬！
109,555555
110,真的辛苦了………………
111,真辛苦……
112,妈呀心疼
113,疫情可以突击建设
114,谢谢你们！
115,伟大的中国人民
116,哈尔滨有哈医大
117,东大报到！
118,加油！！！！！！！！！！！！！！！！！！！
119,热乎的
120,加油！！！！！！！！！！！！！！！
121,啦啦啦
122,2
123,热乎的，致敬！
124,这话很有水平
125,？
126,还能用
127,内心强大且柔软，又不做作
128,向邱教授致敬 时代楷模 东大骄傲！
129,苍老了
130,东大报道
131,邱海波教授！
