,comments
0,加油
1,谢谢你们，辛苦了，中国因为有你们而美好
2,辛苦了 致敬
3,致敬
4,辛苦了
5,辛苦了
6,辛苦了。
7,辛苦了
8,辛苦了
9,加油
10,致敬
11,辛苦了
12,北京加油！！！
13,保护好自己啊
14,辛苦了
15,致敬
16,辛苦了
17,北京加油啊
18,辛苦了
19,辛苦了
20,辛苦了
21,爱你们
22,焦圈豆汁儿加油
23,制度的优越性！！！辛苦了！
24,辛苦了
25,辛苦了！
26,给我们的白衣天使点个赞
27,辛苦了
28,辛苦了，致敬一线医务工作者
29,辛苦了
30,北京加油
31,辛苦啦
32,北京加油！
33,加油加油
34,不能松懈
35,辛苦了
36,北京加油
37,辛苦了❤️
38,北京 加油
39,辛苦了
40,辛苦了
41,辛苦了
42,北京加油
43,辛苦了
44,北京加油
45,辛苦了
46,致敬！！
47,辛苦了
48,加油加油
49,也注意别中暑了，辛苦了
50,北京加油！来自热干面的问候
51,辛苦了
52,加油北京，加油中国
53,辛苦了！
54,辛苦了
55,辛苦了
56,加油啊啊啊啊啊啊
57,辛苦了
58,北京加油
59,北京加油
60,辛苦了
61,辛苦了
62,辛苦了
63,辛苦了感谢
64,辛苦啦
65,辛苦啦
66,辛苦了
67,辛苦了
68,辛苦了
69,辛苦了
70,用韩国那种检测人员能呆在室内的小房子不行吗？
71,辛苦了
72,辛苦了
73,辛苦了，中国加油
74,我们会胜利的，我们这么努力了
75,加油，
76,北京加油！
77,北京加油
78,辛苦了
79,致敬
80,为什么桌上有块砧板
81,辛苦了，不是说夏天病毒就消失了吗
82,希望凉快些
83,辛苦了
84,幸苦了
85,加油
86,辛苦了
87,辛苦了
88,辛苦了
89,加油！！！
90,辛苦啦！！！
91,北京加油啊。大观园致敬
92,太不容易了啊
93,辛苦了
94,加油
95,辛苦了
96,加油！
97,辛苦了
98,北京加油
99,北京加油啊啊啊啊 辛苦啦无私的人们
100,辛苦啦
101,北京加油！
102,加油豆汁儿
103,辛苦了
104,加油加油！
105,辛苦了！加油！
106,辛苦了
107,辛苦了
108,棚子，板房，空调
109,后勤更上啊
110,辛苦了
111,辛苦了
112,幸苦了
113,辛苦了
114,北京，加油
115,辛苦了
116,辛苦了！
117,祖国加油
118,加油北京
119,加油加油
120,致敬
121,辛苦了
122,辛苦了
123,辛苦了
124,帝都加油！
125,辛苦了
126,北京加油
127,中国加油
128,辛苦了
129,加油！加油！加油！
130,辛苦啦
131,辛苦了
132,辛苦了
133,辛苦了
134,辛苦了，致敬
135,加油！
136,辛苦了！
137,辛苦了
138,中国加油！！！
139,泪目
140,辛苦了！
141,辛苦了
142,辛苦了
143,幸苦了！
144,辛苦了
145,辛苦了
146,中国加油！北京加油！
147,辛苦了，致敬
148,加油！炸酱面
149,辛苦了
150,辛苦了
151,辛苦了辛苦了！
152,北京加油！
153,北京加油
154,烤鸭加油
155,辛苦了
156,辛苦了！！！
157,辛苦了
158,中国加油！
159,北京加油！
160,辛苦了
161,北京加油！！！！！！！！！！
162,泪目
163,中国加油！
164,加油我的祖国
165,致敬
166,加油
167,辛苦了
168,北京加油！中国加油！
169,辛苦了
170,辛苦了
171,中国加油，北京加油
172,中国加油！
173,手好看
174,辛苦了
175,辛苦了
176,辛苦了
177,为什么北京那么热
178,加油北京
179,37度，户外工作者戴口罩真的特别辛苦
180,致敬
181,辛苦了
182,辛苦了！
183,北京加油
184,辛苦了
185,致敬
186,加油
187,致敬
188,情况控制的很快
189,和武汉差不多情况，但是执行力强！
190,大家都很棒
191,辛苦啦
192,自觉！！！点赞
193,辛苦了
194,不说了去擦泪去了
195,北京加油！
196,辛苦了
197,中国加油
198,辛苦了
199,辛苦了
200,辛苦了❤
