,comments
0,公正
1,公正
2,公正
3,公正
4,兄弟们把公正打在公屏上!
5,公正
6,公正
7,justice
8,公正
9,公正
10,快打钱
11,公正
12,公正！！
13,呵呵
14,公正
15,其实有道理的，玩梗适度
16,北京加油
17,北京加油！！！！
18,挪威的病菌类型
19,公正
20,正道的光
21,他讲的有一定道理
22,公正
23,公正
24,公正
25,公正！
26,保护
27,公正
28,正道的光
29,进化:空气传播二级
30,公正
31,公正
32,还是不是阴谋论？
33,正道的光
34,公正
35,应该停止从欧洲及疫情爆发区进口食物了……
36,都在核心城市的菜场，枢纽中心和首都，太巧了
37,公正
38,公正
39,公正
40,公正
41,北京
42,公正
43,武汉、北京，这两个地点，一切都太巧合了
44,公正！
45,这次属于极其巧合的巧合啊
46,公正
47,兄弟们把公正打在公屏上！
48,兄弟们把公正打在公屏上！
49,兄弟们把公正打在公屏上！
50,兄弟们把公正打在公屏上！
51,兄弟们把公正打在公屏上！
52,兄弟们把公正打在公屏上！
53,兄弟们把公正打在公屏上！
54,最好先别买进口货
55,世卫的发言还是很客观的
56,因为美国退出了，所以才正常
57,我关弹幕了？
58,iPadPro瞩目
59,米国（滑稽）
60,保护
61,放眼全球，少有的几个正常组织
62,没有人吗？
63,嘤嘤嘤
64,弹幕呢？？？
65,，，，，，
66,没人？
67,这BGM瘟疫公司。。。。。
68,150人，没人发弹幕？
69,没人？
