,comments
0,加油
1,大佬发型
2,加油
3,加油
4,赞
5,王院长
6,高考生物考题素材走了
7,加油
8,666
9,还没过一半（狗头）
10,祖国加油
11,致敬
12,中国加油
13,看这发型就知道这波稳了
14,加油
15,ohhhhhhhhhhhhhhh
16,中国加油
17,祖国万岁
18,安全第一！好的！
19,期待期待
20,加油
21,棒棒棒
22,ohhhhhhhhhhhhhhhhhh
23,大佬专属发型
24,加油！奥利给！
25,好
26,人多的优势
27,我是第一个黄色弹幕doge
28,奥力给。。
29,保密画质
30,科学家好样的
31,这个进度估计今年春节就能出来了
32,加油！！
33,加油中国
34,加油！加油！加油！加油！
35,中国nb
36,辛苦了！！
37,我又倒回去看了发型
38,666666
39,诶嘿！好
40,中国加油
41,祖国万岁
42,我希望越快研究出疫苗，但不希望有人因为研究疫苗劳累过度
43,这才是默默做事的
44,这镜片厚度
45,全面开花
46,加油加油
47,加油
48,疫苗才是实现群体免疫的正途
49,人类之光，人类命运共同体，工业文明
50,好
51,加油加油
52,加油
53,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
54,保密画质
55,流水线还要时间吧
56,加油！
57,弹幕支援
58,防疫工作者辛苦了。
59,加油啊！
60,66666666
61,太厉害了
62,凸^-^凸 太棒辣！
63,6666
64,6666666
65,鼓掌撒花
66,ohhhhhhhhhhhh
67,加油
68,强者的发际线
69,第一份那观众弹幕
70,中国加油！
71,厉害了！！！我的国！！！
72,会像狂犬疫苗那样有假货吗？
73,中国崛起
74,giao
75,吾辈当自强不息
76,giao
77,giao
78,不要把它当做成国际竞争，这是为了拯救人命
79,加油
80,加油
81,帅啊
82,饱和式研究疫苗
83,加油加油
84,好！
85,666
86,中国万岁
87,我有选择困难症怎么办？
88,哇哇哇哇哇
89,可以安心开学了
90,这发型 大佬
91,好！！！！
92,加油 呀
93,v587
94,66666666
95,加油
96,发展自主工业，掌握核心科技
97,666
98,贺
99,加油啊
100,加油
101,这就是强者吗？爱了爱了
102,！激动！
103,强者！！！！
104,厉害
105,赞
106,真的第一个彩色弹幕
107,第一个顶部弹幕
108,第一个彩色弹幕
109,第一个弹幕
110,666
111,快就意味这后面的大量付出，辛苦了
112,中国加油
113,能报销吗？
114,这些地方一步错了全部推翻重来
115,祝贺
116,nb
117,研究完了卖给漂亮国！
118,我想去学校
119,希望年底能用的上
120,看这发型就知道可靠
121,加油
122,666
123,厉害
124,稳扎稳打
125,辛苦
126,加油！！！！
127,中国加油
128,这也太快了
129,66666
130,强者发型
131,96孔板真是永远的噩梦
132,加油啊
133,中国牛啤！
134,666
135,666666
136,赞！
137,不能着急，求稳，否
138,ohhhhhhhhhhhhhhhhhhhhhhhhhhh
139,牛逼
140,好强 
141,加油
142,噢噢噢噢
143,中国加油！
144,没人
145,强者的发型
146,人类之光
147,可喜可贺
148,哇
149,加油
150,666
151,太好了，离疫苗研制能大量投入使用又近了一步
152,中国正在引领世界开发疫苗
153,好！！！
154,1
155,6
156,就靠着这个救外贸了
