,comments
0,28号新闻说采集了880多万
1,一天30w   
2,会好的
3,控制的这么好肯定很快结束，我们学校已经不让进口国外肉了
4,西城大爷真的记性好
5,确实nb
6,主要是新发地东西便宜
7,北京挺住
8,上医治未病
9,太优秀了！
10,+1
11,致敬
12,罩护士
13,辛苦了，加油
14,所以现在大家也都淡定了
15,专业。
16,川宝出来挨打
17,致敬，所以的防控英雄
18,不用说对不起，你已经做的很好了
19,朝阳的
20,真棒!加油！
21,哇！！！！
22,戴好口罩很重要
23,真的断崖了 今天22号降到9例了
24,这检测速度666
25,致敬
26,老医生发言好亲切
27,说摆拍的，你眼镜瞎吗？
28,这天气戴口罩防护服真的是煎熬
29,这天气带防护服真是………
30,辛苦了
31,预后没有错
32,你大爷永远是你大爷
33,很实在这个医生，喜欢
34,辛苦了
35,辛苦了
36,真最强大脑
37,辛苦了
38,炸酱面加油！
39,辛苦了
40,法国死亡率百分之18
41,辛苦了
42,北京大爷
43,说到点儿上了
44,应该是吧愈后
45,我们保定有很多确诊都是去新发地的
46,感谢所有人的付出
47,加油啊
48,主持人你带着呗
49,伟大的医生和防疫工作者
50,苏北老乡无误了
51,辛苦了
52,这记者得戴口罩呀
53,加油 感恩
54,泪目
55,0.
56,感谢西城大爷 还有所有工作人员的付出
57,哇 真好 北京加油
58,北京加油
