,comments
0,呜呜福建来啦！！！
1,呜呜呜
2,医生职责所在吧！太伟大了
3,都是些朴实善良的人啊
4,太感人了
5,不幸中的万幸啊！
6,医护人员也好好
7,大爱无疆
8,国家太好了
9,他妻子也很伟大，国家也很好
10,家人那时候一定很焦灼
11,太感人了
12,牛
13,中国医科大学
14,泪目泪目
15,让他活
16,走过了鬼门关
17,感谢国家！！！
18,瘦的不行
19,感谢所有关心武汉的朋友
20,感谢所有人的付出
21,真的是奇迹
22,医护人员和余轶把他从地狱里抢回来，不容易
23,谢谢你们
24,祝福，阖家平安
25,ECMO一响，黄金万两
26,哈哈哈哈
27,可怜啊……
28,新冠狂徒张三，不管在热月还是寒月吹什么样的笛子，做恶比遭惩戒。
29,余甜？？
30,泪目
31,大家可以看央视另外一个纪录片 《一定要让他活》，就是记录的这位患者
32,不敢看
33,不好看
34,真爱，活着真好
35,好可爱的宝宝
36,感人
37,泪目
38,感谢国家 感谢所有医护人员 让生命得以延续
39,泪目
40,活着就好
41,大难不死，必有后福
42,…………泪目
43,四川妹子
44,………恐怖
45,真的是重生
46,哭死我了
47,这狗粮吃了又香又感动
48,鬼门关里走一遭
49,虽然这样说不是很符合气氛，但台风中心不是风平浪静的么？？
50,这还好是在中国，国外估计没这么多资源给平民治疗
51,好
52,突然被这个整给整笑了
53,万幸家人都没事
54,在抽泣
55,很幸福
56,昏迷…很危险啊
57,妻子看到当然心疼
58,真的好感动
59,设备一响，黄金万两
60,人不在这接受采访么= =
61,天啊
62,大难不死，必有后福
63,哭了
64,致敬，最可爱的人
65,这就是我的国，必须爱
66,泪目
67,抱抱，大难不死必有后福的
68,医疗人员也很棒！
69,国家的伟大就是体现在这里
70,这一次我们所有人的命都是国家给的
71,你们是幸运的
72,好了，一切都过去了
73,感动
74,感谢国家
75,limbo
76,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
77,太好了。
78,太好了
79,所以说 别的国家抄不了作业 中国nb
80,生命的伟大，生命的渺小~~~................
81,如果换成美国的话，我无法想象
82,太不容易了 真的是死过一回了
83,主持人的名字好霸气(°ㅂ° ╬)啊
84,感动恭喜
85,厉害，昏迷一个月苏醒过来
86,太好哭了……
87,祝福
88,哭死
89,不行了，眼泪止不住
90,辽宁河南好棒
91,我大辽宁自带的人工肺，能救回那么多人，真好！！！
92,祖国万岁
93,辽宁
94,哈哈哈哈哈东北医疗队太有意思了哈哈哈哈哈
95,向医护人员致敬
96,太好了
97,是个奇迹
98,还记得妻子送医疗队时抱头大哭
99,医生真的太伟大了，尊重每一位医生！
100,谢谢你们
101,受不了，受不了，我也要跟着哭了。
102,老铁们不远千里，踏雪而来
103,住院这么久，在漂亮国不得200万美元啊！
104,眼睛看的进沙子了
105,这狗粮值得恰，眼泪和狗粮一起恰
106,其实也是在鼓励自己，太坚强了
107,啊！是你！出院了，太好了！
108,祝余生平安
109,重生了
110,祝福祝福
111,太不容易了
112,活着不容易，希望以后安好
113,我爱国家
114,泪目
115,泪目
116,恭喜
117,宝宝
118,泪目
119,恭喜
120,心里肯定很难受，抱抱
121,泪目
122,伟大的白衣天使
123,太艰难了
124,感谢祖国
125,幸好家人还没事
126,在弹幕里拿人名字说事的，希望你自己组建的家庭能和睦，不要走父母老路。
127,让他活
128,珍惜生命
129,不容易挺住了
130,妻子好伟大
131,感动
132,哎呀，看哭了
133,亚克西
134,25天肯定一百多万了
135,恭喜恭喜
136,名场面
137,这腿。。
138,有内味儿了
139,共患难以后就好了
140,没有她这样你可能就醒不过来了
141,窒息太可怕了
142,太幸运了，老哥
143,太不容易了
144,我穿一层都热 别说他们
145,抱抱，过去了过去了
146,这狗粮该死的美味
147,⊙∀⊙
