,comments
0,预言家
1,敢医敢言
2,希望大家不论什么时候都要注意防护 健康平安❤
3,国士无双
4,钟老辛苦了！
5,一直戴口罩
6,天国空荡荡，天使在人间
7,国士无双
8,一年都不行吗
9,美国进了听讲
10,钟老辛苦了
11,国士无双！
12,屋檐
13,国士无双
14,钟老都80多了，还在奋斗，您辛苦了，
15,国外根本不管控  你说它怎么会消失
16,好久不见
17,好久不见
18,明年毕业还是困难
19,下学期还能上学吗
20,辛苦了您
21,钟院士辛苦了！
22,要等疫苗了
23,留学党真的好想回家啊T T
24,辛苦了
25,钟院士，辛苦了!
26,钟老爷爷辛苦了
27,前提是要防止外来输入
28,不会爆发但会稳定增长吧
29,早发现早隔离早治疗
30,继续努力......
31,老爷子，万寿无疆！！
32,一切努力全部木大···
33,唉，希望俺们后浪要加油啊
34,疫苗出来就没事了
35,辛苦了
36,幸苦了
37,下学期又不开了吧
38,熬吧，把今年挺过去
39,印度那颗大雷还没爆呢
40,等疫苗了
41,我个人觉得如果是一下子出现大量的才能叫做反弹吧
42,头发白了不少，保重啊
43,又来做采访 辛苦了
44,爷爷辛苦了
45,消失是真的不可能的
46,三文鱼里
47,这算是反弹吗
48,钟老辛苦了
49,我想上学
50,热乎的
51,钟院士辛苦。
52,来了来了
53,别呀我还想回学校了
54,hi
55,不信谣不传谣！
