,comments
0,太吓人了！
1,肯定咸粽子
2,咸粽
3,谁？
4,肉肉肉肉肉肉肉！！！！！
5,恩
6,不吃粽子，绿豆糕天下第一
7,甜！
8,咸粽子它不香吗？
9,吸猫更快乐
10,让我康康
11,喜欢吃甜的
12,都要！！
13,瘦肉板栗
14,康帅的领带好喜庆
15,恐怖
16,我今天吃了咸甜粽
17,康帅
18,我吃甜咸味的
19,自己包的
20,咸粽第一
21,蛋黄肉粽
22,叉烧粽 板栗粽，都好吃
23,肉粽
24,肉粽最佳
25,么的吃。想买也买不到
26,浙江中考……
27,咸粽
28,咸粽冲呀
29,BGM是徐梦圆的
30,？
31,谁？
32,其实端午节最开始不是为了纪念屈原的
33,都吃
34,对！
35,嗯嗯嗯嗯
36,哎！
37,我去
38,中央电视台爱您
39,！！！！！
40,甜的
41,甜粽天下第一
42,盗梦空间bgm
43,潮汕双拼粽，双倍快乐
44,坚决禁毒，绝不轻饶
45,酸粽子nb
46,男神我来啦！！！！！！
47,坚决禁毒！！！！
48,甜咸都吃
49,甜粽子
50,肉粽天下无敌
51,来看康康
52,甜党
53,甜
54,咸甜通吃
55,甜棕！
56,？？？？？？？？？？
57,什么时候给大学生解封？
58,好多啊
59,甜党的胜利！枣粽天下第一
60,吸猫更快乐
61,给爷死
62,来了来了bgm变了
63,甜粽子
64,徐梦圆！圆哥！
65,甜粽永远滴神
66,BGM好好听
67,咸粽第一
68,甜粽子！！！！
69,肉粽 枣粽
70,咸蛋棕万岁!!
71,我的天哪
72,端午安康
73,徐梦圆的
74,咸 肉粽子
75,康康
76,排面
77,粽子我甜咸都可
78,肉粽赛高
79,端午安康
80,咸粽是邪道
81,糯米味的
82,甜粽天下第一！
83,双烹粽嘿嘿
84,零容忍
85,禁毒人员辛苦啦
86,多吃几个粽子
87,康康瘦了
88,北京要加油啊
89,粽子要有板栗咸肉
90,安康
91,根本不知道牛萌萌是谁
92,康康帅
93,我都可
94,咸的
95,咸肉粽
96,在上班，没吃到。
97,嘻嘻嘻  谐音梗大佬
98,这么多；
99,谐音梗警告
100,苦的好吃
101,我想吃辣粽子
102,辣粽子
103,都好吃啊啊啊
104,背景音乐逐渐严肃
105,牛某
106,甜的咸的都可以
107,咸蛋黄粽子
108,原味（只有糯米）
109,肉粽
110,真·苦口婆心
111,豆沙粽万岁
112,康帅笑起来可真好看！
113,板蓝根味粽子
114,端午安康
115,肉粽
116,这是刻在中国人DNA里的东西
117,吃了妈妈包的蜜枣粽！
118,升华主题
119,甜粽子，咸鸭蛋！
120,张口就是申论阿
121,肉粽
122,不能说快乐？纯属扯淡，B站有up主专门讲过
123,没吃，呵呵呵呵有的。就是不想吃
124,甜粽天下第一
125,！！！！！！！！！！！！！！！
126,禁毒，一定不能手软，从虎门销烟到现在，不知道有多少家庭破裂，多少英雄离去，禁！一定要把毒贩打得他们消失到这个世界上！
127,桌子怎么是歪的来
128,辣粽子那个是把老夫笑到了
129,海鲜粽子
130,咸！！！！！
131,甜
132,甜甜甜
133,一点不错
134,康辉发型有点帅
135,甜味的
136,咸粽子啥味道啊
137,这么多人
138,恐怖
139,蛋黄粽
140,没吃
141,肉粽！！！
142,我靠，必须依法严惩！
143,肉！
144,白粽
145,肉
146,撸狗不快乐吗
147,白粽子万岁
148,巧克力酱粽子
149,巧克力粽子很腻
150,肉粽赛高！
151,甜咸都吃，哈哈哈
152,我的辣粽子
153,禁毒必须坚持
154,涉毒的必须糊
155,甜粽子
156,甜
157,端午快乐
158,端午安康g
159,端午安康
160,666666
161,蜜枣蜜枣
162,说脱口秀的
163,甜粽子赛高
164,不可原諒！！！！
165,支持
166,咸粽万岁
167,卡姆
168,甜粽子
169,BGMChina－e
170,辣的
171,康康要安康啊
172,排面
173,咸粽子
174,端午快乐！
175,端午安康
176,是的，今天吃的粽子甜咸一体
177,甜！
178,康辉点名了，排面！
179,肉粽天下第一
180,牛某某
181,哈哈哈
182,肉粽沾糖，嘿嘿嘿
183,没吃加一
184,牛萌萌
185,甜粽子赛高！！！！！
186,吸猫不快乐吗？
187,豆沙粽万岁！
188,端午快乐
189,是的是的
190,牛某某
191,引战举报了（doge）
192,咸粽子！！！
193,牛萌萌，不说她是演员，我都不知道还有这号人
194,延伸太强
195,康康人家
196,我咋没想到？
197,是的呢
198,卡姆
199,牛萌萌
200,在下第三条
201,端午要祝安康 不能说快乐的
202,蜜枣的
203,甜粽万岁！
204,牛某某
205,决不能放过他们！！！
206,这个波点的领带好可爱哦
207,China-X
208,甜的咸的都能吃，还咋咋地
209,建议雄黄酒少喝，一小口就像，雄黄酒是有毒的
210,禁毒
211,万年不变的咸蛋黄肉报道~
212,谐音梗扣钱！
213,谁啊
214,一到端午就想起屈原的悲情
215,甜
216,都吃
217,我喜欢咸的
218,咸粽子天下第一
219,蜜枣！
220,又甜又咸的粽子
221,咸
222,谁呀
223,端午节安康
224,赞同
225,我爱咸粽子
226,好！
227,在下第二条 端午快乐
228,我来发第一条弹幕
229,哈哈哈
230,端午快乐
231,666
232,呜呼
233,蜜枣粽子
