,comments
0,我喜欢他，哈哈
1,对对对你都对
2,对对对你都对
3,666这解释清楚
4,政治娱乐化
5,你说正不正确 我的天
6,跟你说瞎话呀。
7,危
8,无法反驳
9,不检测就没有了
10,fucck news ，fucck BBC
11,别忘了美国，真正说了算的是哪些人
12,这都能邀功，老驴酱了
13,好活
14,如果不存在病毒，再先进的仪器也测不出来 川鬼自欺欺人
15,非静止画面
16,群体免疫第一实现，灯塔明灯世界第一
17,不好意思，我肚子疼
18,危
19,印度日本表示很淦
20,fake news
21,一叶障目
22,???????????
23,这句话真有人信我也是服了
24,不检测就不传播
25,这就别测试了，不测试就没有，还测试啥子
26,微笑
27,看看武汉？
28,只有我一个人觉得盖茨的嘴角纹像猫咪吗
29,？
30,右边的人越来越尴尬
31,请战忽局出手 对美国进行降智打击
32,啥？
33,比尔盖茨：呵呵
34,行踪跟踪？？？你在推销你的产品？恰饭？
35,感觉像是在说测试会使人感染一样
36,危
37,非静止画面
38,比尔盖茨都憋着笑
39,危
40,那你不检测不就一个确诊就没有了嘛？那还检测什么呢？
41,盖茨都想笑了，这甚至不能叫措施。。。。。
42,他说的没错，你细品
43,主持人信了？
44,哈哈哈哈哈哈哈哈哈
45,？？？
46,左右对比←_←
47,右边慌了
48,这特么有脸说
49,以前觉得比尔盖茨太虚伪了，现在发现虚伪也比疯子好
50,邪恶比尔盖茨
51,比尔盖茨不是早就死了？
52,检测数越多，确诊数越多，恰恰是最吓人的
53,对对对，你说的很对
54,只会甩锅
55,这逻辑是检测导致患者多的吗？
56,应收尽收他们是完全无可能做到了，所以.....
57,嘲笑
58,这只是数据的谎言，这不应该看比例？
59,想笑哈哈
60,福奇：？？？
61,哈哈哈哈哈哈哈哈哈
62,逻辑感人
63,你说的是人话？
64,一码通了解一下
65,哈哈哈哈哈哈哈
66,？？？？？？？
67,苦笑
68,逻辑鬼才
69,你在好好想想
70,你好好在想想
71,fake news
72,？？？？？？？？？？？？？
73,比尔盖茨:忍住不能笑
74,课外阅读理解写入魔了吧
75,实在带不动
76,把老子的意大利炮泡面拿来给友军尝尝！
77,似乎中国才是检测的最多的
78,我自滋骗智己
79,像一群人在过家家。。。
80,人被S，就会死！
81,你们看他们自己都没底气
82,epidemic
83,？
84,哈哈哈哈哈
85,可以
86,你们还骄傲了？！
87,右边那哥们和图片一样
88,明白人
89,巨   大  成   功
90,红红火火恍恍惚惚哈哈哈哈哈哈哈哈
91,GIF         MP4             GIF
92,不，这是完全错误的
93,比尔盖茨：这么简单的问题好意思来问微软的创造者？这不是小孩子都懂的吗？
94,《巨大成功》
95,我不检测，就没有确诊
96,ma呀
97,我不测、我没有、你瞎说23333
98,（笑）
99,great success
100,你在吓扯啥呢？
101,保护
102,右边福奇快憋不住笑了
103,这。。。。。。。。
104,那是你没看过6月中下旬这一波我们国内的检测
105,除了比尔盖茨，旁边那俩跟贴的动图一样hhhhhh
106,说的对✓✓✓✓✓✓
107,检测多不能解决问题呀
108,右边卡通口罩哈哈哈哈哈
109,危
110,不愧是我快乐的源泉
111,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
112,没有人比我更懂检测
113,眼圈都带颜色
114,逻辑鬼才
115,鲜艳的红领巾↑
116,better than！！哈哈哈哈
117,盖茨:我太难了
118,经  典  前方高能预警老番
119,没人比我更懂扯淡
120,如果没有感染，你检测再多不也不会增加吗
121,那没有感染的话，你检测了也不会增加啊？
122,逻辑鬼才川建国
123,哈哈哈哈哈哈哈
124,说的自己祖国?----CHINA
125,坚持实事求是的人都一样
126,这吗好的科技没有用到该用的地方上GPS唉～(￣▽￣～)~追踪应该也不难呀
127,我无法反驳
128,面 壁 者 的 笑
129,睁眼说瞎话
130,认为
131,我就问问之？
132,哈
133,福奇：我就静静的看着你胡扯
134,川普：都是假新闻不要相信 你们只管相信我就好
135,最好的检测，最高的确诊率
136,？？？？
137,宝宝加油
138,真逗 死亡也是最多的
139,嘴角逐渐上扬
140,巨大成功……
141,？？？
142,什么理论？》？？？
143,建国说得对
144,盖茨一脸鄙视
145,脑子呢？
146,川普这是在暗示祖国吗
147,哈哈哈哈
148,盖茨太难了
149,掩耳盗铃
150,????
151,掩 耳 盗 铃
152,难道不是因为感染数目大吗哈哈哈
153,明白人总是少数
154,逻辑鬼才
155,散装理解
156,有毛病吗？没毛病吧
157,对对对   你说的都对
158,你们不觉得左边的和中间的长得很像么？尤其是眼睛
159,这还需要问？？？？
160,美国政客都是逻辑鬼才
161,懂王
162,特朗普你个逻辑鬼才
163,掩耳盗铃
164,掩耳盗铃
165,"Trump: fake news, next one."
166,笑了
167,危
168,可是 不检验 或者 些许检验 就可以让病毒消失嘛？果然神奇的美国~愿一路顺风~
169,逻辑鬼才
170,好多美国人要求把盖茨关起来
171,你怕不是想给我笑死吧
172,左边随时要打人，右边随时准备挨打
173,胸前的红领巾更鲜艳了
174, 哈哈哈哈哈
175,王者嘲笑
176,护  国  公
177,世界上最贵的检测就是你们美国
178,你们检测的多？
179,盖茨还在管这个事情？你管不了的
180,中国十天检测了一千多万你个智障
181,不能让这货当总统 危
182,哈哈哈哈哈哈哈
183,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
184,保护川宝宝
185,没毛病，和日本相反
186,哈哈哈哈
187,手风琴十级哈哈哈哈
188,比尔：带不动，真的带不动啊
189,什么鬼理论
190,盖茨：xswl
191,对对对
192,ARREST BILL GATES!
193,鲜艳的红领巾
194,？？？？？？？
195,说的有道理，不查就永远不知道哈哈哈哈哈哈哈哈哈
196,95
197,只要不检测就不会知道得病了（逻辑满分）
198,政府确实不好 但是你们的百姓里蠢货也太多
199,不检测就没有
200,若按这个逻辑来说，那岂不是中国全检查了，也要出这个数？
201,他们的思维我们无法弄懂，或许莫须有的自由比死亡更重要
202,你说的对doge
203,哈哈哈
204,比尔盖茨：带不动，带不动
205,不愧是你
206,治愈率也低的啊
207,啥b
208,？？？？？nb
209,嘛玩意
210,？？？？？？？嘛玩意
211,两个主持人表情都很僵硬
212,难道不是抗疫不力造成患病增多么
213,无语
214,反弹了
215,不自由！
216,这个表情
217,哈哈哈哈哈哈哈哈
218,确实有点道理
219,哈哈哈哈哈哈哈哈哈哈
220,只要我检测多了！！死的也就多了！
221,死的也多
222,川宝？？？
223,哈哈哈，神逻辑，盖茨都笑了
224,盖茨起码还有话语权，马云可没有
225,美国的检测数连中国的三分之一都不到
226,追踪是美国无法做到的，所以不许提
227,无延迟？
228,哈哈哈哈哈哈哈哈哈
229,美国每天都要死亡成百上千个病例。
230,比尔盖茨一席话，打了多少中国企业家的脸
231,？？？？？？？？？？？？
232,我天左右都不带眨眼的吗
233,你还骄傲起来了？？
234,《巨大成功》
235,？
236,三个人都是中老年
237,但是你比率也是最高啊
238,左右懵逼
239,真的想问一下，这种话说不出来不搞吗？？
240,手风琴大师
241,来自祖国的支持
242,印度：没错说的就是我
243,啊呀，“毒王”盖茨上线
244,不要脸的准确定义
245,右边的表情绝了
246,盖茨先生干嘛不来中国生活几年？
247,不检测就没疫情了
248,笑死我了，这是什么逻辑？
249,哈哈哈哈哈哈哈哈
250,盖茨想笑
251,？？
252,角度清奇
253,确实：确实《确实》（确实）
254,结果我们检测了9千万人
255,单手手风琴
256,为什么我在笑
257,懂王
258,比尔，澳大利亚人还在策划逮捕你
259,良心人
260,保护
261,《西方媒体的河蟹词汇表》
262,典型逻辑qj
263,你检测是为了阻断病毒传播 光检测不隔离有毛用
264,你检测是为了阻断病毒传播 你光检测有毛用你检测是为了阻断病毒传播 你光检测有毛用
265,一看见川普就想笑
266,巨大成功（指去世
267,？
268,巨大成功
269,没有人比我更懂
270,盖茨不骂娘已经很客气了
271,逻辑感人
272,话是这么说，不过这也能吹嘘吗
273,？？？
274,保护
275,掩耳盗铃喽
276,福奇博士心里苦啊
277,红领巾瞩目
278,自由大于生命的国度，这种情况并不意外
279,比尔♂gay♂茨
280,没有人比我更懂检测
281,带不动的感觉
282,确诊不断攀升，让别国望尘莫及，我们u.s再次伟大起来！
283,000
284,继续忽悠他们，让世界和平，建国加油
285,加油
286,自夸模式
287,55
288,234
289,complete false
290,pandemic
291,我们有全世界最好的嘴     就这一点你就赢了
292,资本家の指责
293,盖茨尴尬的嘴角
294,阿巴阿巴阿巴阿巴
295,接回院士
296,印第安人
297,公知出来洗地啦
298,说 other的时候结巴了，不敢说是印度（狗头）
299,不检测
300,哈哈哈哈哈这小学生都知道吧
301,666666】
302,66666
303,哈哈哈哈哈哈哈
304,真是说话把逻辑的头掐掉了，没有感染这么多怎么会检测确诊这么多
305,关爱智障的眼神
306,建国说得对
307,盖茨笑了
308,保护
309,没毛病
310,是根本没做
311,这理解能力没问题啊！
312,哈哈哈哈哈哈哈哈
313,特朗普：Fake news！next!
314,特朗普：Fake news！next!
315,特朗普：Fake news！next!
316,Fake news！next!
317,特朗普真小人，拜登伪君子
318,危
319,危
320,哈哈哈哈hi
321,打脸噢哈哈哈哈哈
322,事实噢
323,还有人信？
324,那反过来想你们不检测了，不就没事了吗？
325,你怎么又在拉手风琴
326,用一个鸡蛋问题来掩盖问题，应该反问回去如果不是因为先有那么多病例那怎么可能测出来那么多呢
327,其 他 国 家
328,fake news.next!
329,反弹？根本就没有下降过吧
330,逻辑正确
331,说起来盖茨的微笑在外网让挺多人不爽哈哈哈哈
332,建国是对的！！！！！！！！！！！！
