,comments
0,这段和钢铁洪流转场有点…～
1,有点像美军的熄灯号（也叫安息号，致敬牺牲的战友）
2,有点像
3,军民团结如一人，试看天下谁能敌！
4,敬礼！李旭昊NB
5,敬礼
6,感谢
7,硬币给你
8,祖国！我爱你！
9,众志成城！
10,钢铁洪流进行曲那个味
11,感谢有您们的守护
12,好像还有点钢铁洪流的旋律
13,好好听啊
14,听出了不屈不饶的精神
15,为中华之崛起而读书
16,致敬
17,李旭号？
18,❤️❤️心❤️❤️
19,幸福，并感激着
20,幸福并感激着！
21,好喜庆
22,最可爱的人
23,中国，我爱你
24,再一次泪目
25,感谢云南帮助咸宁！
26,感谢云南！
27,都给老子变红
28,红色基因代代传
29,点赞，很好听的
30,都变红！
31,致敬
32,鸡皮疙瘩蹭就起来了
33,人类命运共同体
34,北京加油！
35,这个创作者真的nb啊
36,加油
37,众志成城，我们无所不能！！！
38,加油！
39,起床号？？
40,加油加油！！
41,不一样，只是有点相似
42,没有一个春天不会到来
43,致敬
44,此后如竟没有炬火，你便是唯一的光，鲁迅
45,十年饮冰，难凉热血
46,此后如竟没有炬火，你便是唯一的光。鲁迅
47,致敬！！
48,同呼吸，共命运
49,立意很好
50,美丽
51,黎明终将到来
52,没错，我就应该这个色儿
53,起床号
54,有感觉了
55,不知不觉2028已经一半多了
56,看到时间表哭了
57,哭了
58,父亲当时来我这过年，呆了一晚上被紧急召回了，虽然年龄大了没上一线
59,天佑中华
60,鸡皮疙瘩都起来了
61,致敬
62,自动变色
63,优秀
64,愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话
65,致敬！！
66,此后如竟没有炬火，你便是唯一的光
67,幸福并感激着
68,经典吟唱
69,辛苦了
70,❤️❤️❤️❤️❤️❤️❤️❤️
71,致敬！
72,泪目
73,通电中
74,我们众志成城，无所不能
75,感谢！
76,泪目
77,忽然听出来了
78,钢铁洪流变奏！
79,教育
80,加油
81,致敬！感谢所有前往湖北的斗士们。身在武汉，心怀感恩。
82,机战的味儿来了
83,优秀上面
84,泪目
85,他来了他带着伟大又来了
86,鸡皮疙瘩起来了
87,妙啊
88,黎明终将到来
89,吹响吧，小号
90,想哭
91,左上角颜色好评
92,期待这一天
93,致敬
94,来个神仙，填词呀
95,完了，鼻子酸了
96,立即泪目
97,祖国我爱你
98,一下子哭了
99,泪目
100,太阳升起
101,有内味了
102,傲傲傲嗷嗷嗷嗷嗷嗷嗷嗷嗷嗷
103,幸福并感激着
104,致敬
105,投币干嘛？愣着啊！
106,致敬
107,我哭了
108,我们需要更多的进行曲类型的音乐
109,不错
110,军号气宇轩昂
111,中国人最棒了！
112,音乐真不错，是那种感觉
113,强
114,B站什么宝藏男孩都有
115,我们苏维埃
116,有感觉了
117,眼里进沙子了 让我多哭会 qwq
118,蔡徐坤情报局是什么鬼
119,这个绿色真好看
120,致敬
121,这军号声真好听
122,红一波
123,重生！
124,红色不能断！
125,红不要断❤️❤️❤️
126,致敬  加油哟
127,人类命运共同体
128,致敬！
129,China！
130,鸡皮疙瘩
131,致敬
132,热搜准备！
133,全体中国人民都是伟大而值得致敬的！
134,不发弹幕？不给我央视面子
135,真，起鸡皮疙瘩
136,泪目
137,好听
138,红没断过
139,多出一点这样的歌
140,致敬
141,我应该是这个色
142,众志成城
143,致敬，加油！
144,致敬
145,感谢白衣天使
146,感谢白衣天使
147,感谢白衣天使
148,鸡皮疙瘩起来+1
149,鸡皮疙瘩
150,致敬
151,棒！
152,起床号
153,众志成城
154,致敬
155,起床了～
156,强
157,哎呀，真是感动
158,来了来了
159,老了，看不得，一看就哭
