,comments
0,？？？？？？？？？
1,去年三月？？
2,Wtf
3,话说西班牙的标本采样和保存做的可以啊
4,哦豁
5,点水源传播了？！
6,漂亮国病毒
7,哦豁
8,你就知道知乎？？
9,？？？？？
10,百分百米国产
11,138
12,？？？？？？？？？？？？
13,西班牙好耿直
14,您的好友专业团队已经上线。
15,出大问题了
16,啊这
17,？？？
18,啊？？？
19,？？
20,hp
21,新冠能存活一年？
22,？？？？？？？？？？？？？ 
23,害怕
24,这段话有剪辑吧，很难知道有多少的“东西”不一定是新冠病毒”
25,笑死人了
26,害怕
27,去年？？？？？？
28,害怕
29,太恐怖了
30,草
31,？怎么一半就没了？？？
32,wtf
33,天
34,2019年3月???
35,终究还是电了水传播
36,美国病毒
37,为什么去年的废水能留到现在啊？
38,(°_°)…感染水产品，然后再传染给人类
39,？？？
40,去年…
41,细思极恐
42,去年三月？？？
43,水源传播？
44,？
45,粪口传播很正常
46,中情局又要行动了吗
47,？？？？？？
48,？？？？？
49,去年三月？
50,害怕
51,思细级恐
52,啊这
53,？？？
54,自爆卡车
55,啊啊啊啊啊啊
56,去年3月？
57,害怕
58,怎么会
59,美丽国贼喊抓贼
60,？？？？？我的妈呀
61,老恒河水了？
62,giao？？？
63,2019  3月？
64,危
65,？？？？？？？？？？？？？？？？？
66,？？？？？？？？
67,点水传播了？？
68,去年？？？
69,？？？？？？？
70,？？？？
71,？？？？？
72,可怜的西班牙 海牙走起 
73,那还说什么快去调查美国生化病毒实验室吧
74,？
75,3月？？？
76,洗清嫌疑
77,热水时代
78,卧槽西班牙流感？当年死了几千万人啊
79,恐怖
80,？？？？？？？？？？？？？
81,gg
82,2019年3月12日，采集的废水样板。在新冠状病毒之前。
83,？？？
84,这也太巧了吧
85,害怕
86,美国的生物研究所，实锤
87,?what？
88,美国病毒
89,？？？？？
90,会不会是水样保存不善被污染了
91,网络摧毁了英美的伪善
92,就是美国流感的变异美国肺炎，美国病夫害死全世界
93,爆抽特没谱的狗脸
94,corona
95,？？？
96,.00.
97,美国：你干嘛呢，干嘛自爆呢，这不是打我脸么
98,wtf？？
99,？
100,？？？？？？？
101,知乎东西个人偏见太重了，不然我觉得还好
102,?
103,去年3月?????
104,破案了
105,什么自爆，人家向世界公开怎么是自爆
106,so 发源地是欧洲？
107,恐怖
108,？？？？？？？？？？？？？？
109,真实性存疑
110,知乎。。。除了一些经验性的东西外，只要有点学术性的文章，我都不看
111,？？？？？？？？？？
112,我看错了吗？2019年的废水样本
113,？
114,？
115,？？？？？
116,害怕
117,啊，这啊......
118,？？？？
119,？？？？？？？？
120,去知乎看看，这篇论文漏洞很多，别被带节奏了
121,欧洲病毒
122,自爆？
123,？？？
124,会不会是有人往里面倒。。。。。
125,82下课！
126,哦吼
127,82下课！
128,？
129,老墨怎么积极
130,刚看完局座的视频 再看这个有点后怕
131,啊这
132,特朗普是不是要向欧洲索赔呢
133,那还说什么，西方病毒
134,多喝热水
135,欧洲已经遍地病毒
136,害怕
137,????
138,？？？？？？
139,第一条弹幕
140,前排占座
141,？？？？？？？？？？？？？
142,啊？那么早
143,我去
144,护体
145,是去年就在了还是钢....
146,wtf
