,comments
0,这就是文明国的素质！
1,自由
2,老人才是担心对象哈哈
3,已经挂了28万人~一点都不严重的（狗头）
4,这是什么发型
5,这是个狠人
6,我不关注=并不严重
7,这坐姿，这口罩。美国素质没跑了
8,官方不重视的结果
9,把口罩带好行不行
10,牛批
11,奶音猛男
12,不知道这姑娘现在咋样了
13,？？？？？？
14,口罩反了吧。。。
15,？
16,不严重了，姐姐你们六百万人了
17,？？？？？
18,这个口罩质量很好
19,不看，然后觉得没事……
20,太自由了，其实是没有规矩意识
21,？？？？？
22,公知可以出来 说说 这女的坐姿 比国内大姐好多少  还吹嘘么。不是很喜欢拿个例来嘲讽么
23,牛皮
24,骞哥
25,素质，直接脚踩座椅么
26,？
27,进过毒窝的男人
28,？？？
29,民疯蠢朴
30,哈哈哈(/≧▽≦/)
31,话筒要消毒啊啊啊啊!记者摄像师都要注意安全!
32,这个女的把口罩带上行不
33,头铁
34,啥需要都会
35,猛哥是你
36,哈哈哈
37,？？？
38,自由，哈哈
39,奶音猛男
40,大佬
41,never depend on facts，but depend on what your thoughts，那就等死
42,大佬来了
43,骞儿哥你可自己多加小心啊
44,对啊你们也就死了十几万感染420w当然不严重啦嘿嘿嘿
45,猛男
46,厉害厉害
47,这是去巴西那个吧哈哈哈哈
48,美国人也带口罩啊！不是不自由吗？
49,输出高能
50,也戴个眼镜遮一下吧
51,哈哈哈哈哈哈
52,掩耳盗铃？
53,哈哈哈哈哈哈
54,真猛男！！
55,封条没按紧，注意安全啊
56,我算是明白为什么那么多人感染了……
57,其实。。说实话我觉得H1n1夸大了，但是确实很严重。
58,小哥带个护目镜，穿个防护服呀，都不怕的吗？
59,？？？
60,没救了。。。。
61,任贤齐？
62,?????????????????????
63,已经400万了
64,大佬又是你
65,口罩带的不对！
66,这几场一起去过啊
67,哈哈哈哈
68,集体免疫
69,？？？？？
70,妈呀 不戴口罩
71,你自己感染了就会改变的
72,美白这素质老高了
73,文明
74,别管他们了 自己做的
75,？？？
76,就这？叫爆满？？
77,战地记者！
78,哈哈哈哈哈哈哈哈哈哈
79,这个why很萌～～
80,大佬
81,？？？？？？？？？？？？！！
82,换发型了
83,你以为其他国家过家家呢……
84,奶音猛男
85,战地记者
86,好像小砍[doge]
87,你还真乐观
88,用餐吗
89,我求你了，带n95吧
90,啊这
91,天
92,妈呀
93,原来三百万确诊不严重呀，那没事了
94,又是这位老哥
95,啧啧啧
96,啧啧啧，他们真的一点都不怕
97,猛男注意安全呐
98,你这个是n95？
99,小哥口罩没戴好
100,记者和摄影师团队都太棒了！注意安全！
101,《不严重》
102,周围的人出事的时候你后悔都来不及了
103,死神会告诉你的
104,完全不在乎人命，对于其他国家就是个祸害！
105,这记着有18岁吗
106,非战斗人员请撤离
107,注意安全
108,？？？？？？？
109,自欺欺人
110,你只是个普通的平民而已，你能看到的肯定没那么多蠢货
111,迷之自信
112,战地记者
113,建议佩戴N95
114,加油！
115,猛男大佬
116,郑智
117,应为美国准备向全世界投病毒
118,绝了。。。
119,迷之自信
120,这大姐坐姿
121,别摸他们的东西！有病毒！
122,骞哥注意安全呀～勇归勇还是要保护好自己
123,保护好自己啊！
124,注意安全啊
125,真正的勇士
126,我来为骞哥增加弹幕！骞哥注意安全！
127,大佬
128,居然摘口罩了？
129,？？？？？
130,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
131,心大
132,这还吃什么饭
133,只有我一个人觉得他长得像小砍吗？？？
134,这小姐姐挺可爱的
135,战地记者
136,猛男快跑
137,？？？？？？？？？？？？？
138,这个脚
139,？？？？？？
140,啊这
141,注意安全
142,猛男
143,保护好自己啊
144,大佬！！！
145,？？？
146,保护好自己
147,末日？？
148,骞哥！
149,脑子坏了治病没用
150,到处找死最勇记着！
151,大佬
152,鼻子那块夹紧啊，哥
153,胸肌
154,心大
155,？？？？
156,我爱小哥
157,我可以！！
158,又个被川宝忽悠瘸的 川宝真棒
159,广播里不是刚说戴口罩不要把口鼻露出来吗
160,回来吧
161,又是你奶音猛男！
162,hhhhh
163,又是你
164,危险啊！！
165,挺好看的老妹脑子不够用
166,哈哈哈
167,好久没看到刘记者了！
168,哈哈哈哈哈哈
169,不严重？？？？！
170,刘小哥真猛男
171,勇士
172,这个抬脚很灵性
173,这航班也太多了吧。
174,你要保好自己呀。
175,外国人素质高实锤了
176,没到自己头上就没事的铁头娃
177,571
178,米国经典撒毒
179,弹幕礼仪
180,不到1000万，一点不严重
181,美国人的脑子普遍有坑吧
182,记者哥哥是真的瘦了
183,大佬明显瘦了
184,又是你！
185,美国人真的够冷漠的
186,猛男记者
187,鼻夹
188,鼻夹
189,可见公众媒体公信度在民众心里一毛不值
190,死了多少万人来着？
191,？？
192,猛男
193,问题不大
194,心大
195,不严重
196,战地记者
197,小哥你还是带n95吧
198,好好讲话別脱口罩啊
199,ohare
200,小心啊……太危险了
201,勇者
202,猛
203,勇士
204,这是猛女，没错了
205,？？？
206,猛
207,注意安全啊
208,？？？？？？？
209,憋死了
210,诶？怎么都戴口罩啦？
211,坐姿牛批
212,老弱病残可谢谢您了
213,？？？
214,猛男
215,猛男
216,注意安全
217,哈哈哈哈哈哈
218,最强记者
219,危
220,你只是没死，死的那十几万人不这样想
221,你你你  ！ 口罩这样用 ！危 ！
222,人家是逃跑
223,猛男
224,这就是字由有秩序的美国吗？爱了爱了
225,病毒传播要是能看见就牛壁
226,感染这么多人了
227,哈哈哈哈哈哈哈哈哈哈
228,？？？？？？
229,外国人也这样坐的吗  这坐姿
230,？？？
231,注意安全
232,这声音听起来14岁
233,快带好你口罩，别立flag了
234,just flu
235,采访毒枭窝点的锰男
236,还可以用餐？
237,危！
238,鼻梁子那里不捏一下吗？
239,战地记者
240,死了10几万，还夸大
241,口罩还是带不好，
242,注意安全哦！
243,战地记者
244,战地记者
245,这就是公知嘴里高素质的外国人吗？i了i了
246,那里危险他去哪里
247,拜托您戴个N95吧
248,注意安全
249,我想跳伞了
250,太危险了
251,骞哥跟谁都能聊，羡慕
252,骞哥
253,？？？？
254,男孩子也要保护好自己
255,这里比毒枭身边还危险
256,好可愛的聲線
257,震惊
