,comments
0,辛苦了
1,蚊子：我进去还要先问你？
2,什么祖传滤镜呀？CGTN央视外语频道。
3,致敬
4,笑死我了
5,P4
6,大家快来发弹幕
7,病毒警告
8,口罩都戴不好
9,外国媒体不会报道的
10,辛苦了辛苦了
11,CGTN是专门成立的，就是说英文
12,上面说P4无论哪个国家都不泄露的，老流氓美国不能算
13,员工不只是研究生 还要顶级大学的研究生
14,等级低一点的里面装的是什么感冒吗
15,辛苦了
16,弹幕礼仪同志们
17,因为是给老外看的不是给你看的
18,中国有两个
19,感谢科普，现在明白了，谢谢
20,保密画质
21,辛苦了
22,致敬！
23,辛苦了
24,自曝系统(doge)
25,为什么不用中文？你是来搞笑的吗
26,九磅十五便士
27,所长出来接客啦
28,所长
29,院士夫人
30,这中式英语的口音听着难受
31,所长小三艺术生
32,所长艺术生
33,所长艺术生
34,你们所长呢？
35,辛苦了，致敬！
36,烟究
37,有可能是对外的视频
38,玩梗上头了，建议出门右转
39,保密画质
40,空气漏出来都得经过处理
41,辛苦了
42,辛苦了
43,烟旧
44,致敬
45,他们不想了解。。。
46,这个普通话听着很舒服
47,我先来：为什么不戴口罩
48,我先来：为啥不用中文？
49,热死的里面温度是恒温的
50,中国居里夫人培育实验室爱了爱了
51,能进出
52,the umbrella company
53,这个标准英文太难了
54,辛苦了！
55,致敬
56,泄漏时美国德特里克堡实验室的事
57,本科只能算入门
58,我想起有一个法国佬黑武汉实验室
59,P114514
60,看不到看不到
61,这这种地方工作的人真是生命太危险了每时每刻都面临着会有可能会被感染
62,纸我不知道 水你们不喝水的吗还是人都在里面封闭着
63,发无知言论弹幕的原因，是因为b站进入大量年龄低切被各种段视频同化的人
64,血疫的那个，埃博拉不是一个道理吗，都是这么搞的，Bb赖赖啥呢？
65,辛苦了
66,还怕啥？害怕你美爹四处咬人呗
67,国际频道，注意不是CCTV是CGTN
68,家具厂喷漆间也是这样的
69,负压状态下空气根本出不去
70,气压才几百，大气压一千帕
71,血疫nm看了几部电影在这指点江山
72,法国就是垃圾
73,像学校23333
74,辛苦了
75,辛苦了
76,乍一看以为bbc
77,问不说中文的能不能看看左上角标志？
78,必须负压，空气携带病菌外流就不好了
79,cgtn是中国国际电视台不懂别乱说
80,这是CGTN 中国国际电视台 主要受众是外国人
81,保密画质
82,致敬 辛苦了！
83,四姨太是实验室最大的笑话
84,四姨太让实验室成为一个笑话
85,这滤镜
86,CGTN是英文国际台呀，别带节奏啊
87,还以为是搞科研的小学生呢
88,不愧是保密画质
89,辛苦了
90,又是这祖传的滤镜
91,我说怎么弹幕这么难受，开了七级就好
92,致敬
93,有的负压仓会释放怠性气体以保护病毒无法逃脱，所以穿空气隔离服
94,辛苦了
95,辛苦了
96,一起看病du吗
97,辛苦!
98,某国某实验室来看看
99,防护服上厕所就报废了!全一次性!
100,与某国某实验室形成鲜明对比……
101,防护服超级贵!全部一次性的!!
102,中国应该有自毁系统
103,那个防护服很贵!一次性的
104,开玩笑哈哈哈
105,辛苦了
106,辛苦了
107,全亚洲就这一个，前面的睿智居然还说哈尔滨还有一个。。。。
108,致敬
109,辛苦了！
110,答应我了解下CGTV再来发弹幕好吗
111,昨天考试考到了负压
112,我们班上所有有人叫许可
113,怪不得墙这么白
114,麻烦不要那么幼稚行吗
115,哪些说美国实验室经常泄露的就跟美国说我们泄露的人一样
116,首先P4级实验室都不肯能泄露不管是哪个国家的
117,但凡多读书也不会这么愚昧无知
118,要那么多p4干嘛，这可是最危险的实验室，一旦有问题全人类完蛋
119,辛苦了
120,CGTN是国内向国外开放的频道！！！
121,负压胀气
122,秦昊好像啊
123,这末快  NB
124,中文 nice
125,阴间滤镜
126,有p9吗
127,只有那些英语烂的人才会天天提别人口音
128,不用防蚊，好啊
129,出来之前先净身
130,说人体携带怕不是在讲笑话？
131,水是出不去不过比水小的东西就不能保证了哦
132,广美校友
133,可以理解为绝对防尘间么= =
134,弹幕是有病吧
135,sop
136,这是最安全的地方，这也是最危险的地方
137,辛苦了
138,标准中式英语
139,好怕他们眼镜滑了，
140,不能叫广告，应该是魅力太足，随便一提都让人感兴趣
141,辛苦了
142,辛苦了
143,看看左上角cgtn知道什么么？
144,这个地方大家读个生物相关专业读个博再说，一个本科生算个啥
145,辛苦了
146,幸好我生物工程硕士 等我博士毕业一定去应聘
147,你理解有问题吗？都说了是为数不多的几个之一，有说唯一？回去好好读读书吧！！！
148,致敬
149,辛苦啦
150,辛苦啦
151,为什么看上去憨憨的好可爱啊哈哈哈哈哈
152,倒卖哈哈xswl
153,蚊子不需要许可
154,那些职业造谣抹黑p4实验室的，是有目的
155,前段时间，B站一堆低级号说是从这里泄露的
156,辛苦了
157,读过书，做过研究生就知道那些谣言是假的不要假了
158,整个实验室几千万，上亿，为了那几只动物掉价
159,就那几只动物不值钱
160,bow
161,warning
162,花了15年！
163,滴――老年卡
164,还有这种人?
165,辛苦了
166,嘀   O5卡
167,电动助吸器
168,真棒！
169,辛苦了
170,听力题
171,乳发乳魔怔了？
172,这个人声音可以
173,幸苦了
174,真实的大白，可爱
175,18年建成，19年就被外国针对，外国人是有多害怕啊！
176,国际频道的吧
177,下面别挡字幕啊
178,qqnl，up传4k嘛(狗头
179,辛苦了
180,阴间滤镜
181,辛苦了
182,国际频道，讲个外国佬听的
183,滴，05卡
184,CGTV不用英语用什么
185,某些人是只知道乳法吗??
186,记者手抖了
187,张东升！
188,哇，我竟然能听懂
189,法国对武汉投资很大
190,法国在武汉投资很大的，所以武汉很多法国人和中法合资项目
191,的确，从里面往外送纸要写在防水纸上然后浸泡消毒液才能让外面的人拿
192,看着b站弹幕，就知道平常说别人ky的，通常都双标自己，只能自己ky，这就是b站的高贵嘛
193,我看到了手风琴哈哈哈哈
194,CCTN是国际台，给老外看的
195,这是向外宣传的
196,辛苦了，致敬！
197,这个笑话不错
198,辛苦了
199,好健全的体系！
200,好稳的手
201,CGTN全英文
202,这都能乳法的？一群玩梗小鬼有完没完了
203,烟旧
204,不用中文可以解释，不用脑子真没法解释了
205,中国好像就两个
206,袁同志注意身体！
207,注意身体啊小姐姐小哥哥们
208,辛苦了呀啵啵
209,我也想当科技人员，袁叔叔我们怎么进来？
210,没有没有，人家就是想抹黑，可能连你们搞啥都不知道
211,感觉周生辰就在这种地方工作
212,去哪个大学读书以后可以去这种地方工作啊
213,嘿！有没有一键毁灭！
214,淋浴？可以洗澡吗
215,怎么才能考进去呢
216,我好想去这里上班啊
217,谁爸爸啊这么厉害
218,这是谁爸爸呀？
219,(⊙o⊙)哇 该怎么进去工作呢
220,这是给老外看的
221,埃博拉就是生物四级
222,辛苦了
223,满满的高考英语听说考试即视感
224,那个所长呢？
225,经典滤镜
226,进这里特别难的，谁会为了那么点钱自毁前程
227,前面的，P4了还要跟你详细介绍么？你是不是傻
228,辛苦了
229,伟大
230,武汉研究所
231,蚂蚁，我去试试
232,中国的官方算是世界上最言行一致的了
233,哈哈红红火火恍恍惚惚你们有毒吧！
234,我英语要能有她一半好就好了
235,停电
236,查查cgtn啥意思还问讲英语搞啥
237,问为啥不用中文的你为啥不用脑子思考
238,这是国际电视台，给外国人看的，懂吗？
239,就是老外看的
240,这个口音我以为是外国人
241,给国外看的
242,这个老头对记着有意思
243,霍尼韦尔
244,辛苦了
245,听上课老师说里面是负压的，要穿供氧气的防护服进去
246,我还有机会吗。
247,这个主任讲话有条理，不卡顿，听着真舒服
248,刷乳法的小鬼可以停一下了，乳法也是要看场合的好吗
249,手风琴
250,每天都从这路过
251,因为这是给外国人介绍的
252,QAQ画质感人
253,这个移液管我在药大用过！欢迎大家报考中国药科大学！！！
254,实验室
255,一听就是老手风琴了
256,实验室的东西咋介绍啊，都p4的级别了
257,乳法小鬼滚
258,辛苦了
259,还有沙雕问为什么不用中文?
260,致敬
261,确实，空气都进不去
262,哈哈哈，我也想说张东升
263,祖传画质
264,提前说明看左上角，这个是中国国际电视台的给外国人看的。
265,我真的不信所长是艺术生
266,前面说所长是艺术生
267,好酷！
268,世界只有九个P4
269,不是亚洲唯一
270,辛苦了
271,加油！
272,英文
273,honey well
274,也就是BSL 4
275,如果科研人员人体携带呢？
276,可以打码加二次
277,自己人啊，别骂了别骂了
278,好厉害啊，里面都是我一辈子都不可能成为的大佬
279,致敬！
280,辛苦了
281,辛苦了
282,蚊子：许可哪里办？
283,辛苦啦
284,想这个的就迷
285,中文国际电台吧
286,辛苦了
287,辛苦了！
288,这是老爸测评的老爸吗？
289,我感觉跟听英语听力似的
290,CGTN是国际频道啊，就是对外说话的啊
291,辛苦了
292,哈哈哈哈
293,烟酒人员
294,但凡有点文化，也不会在这乱喷
295,来练听力
296,今日乳法
297,暴露了就有应对之法 
298,听力测试开始 第一题、、。。。。
299,辛苦了
300,腌制的病毒
301,辛苦
302,辛苦了
303,问为啥不说中文的 真是个nt
304,辛苦了
305,也是要给外面看的 所以英文
306,今年的双黄连
307,想了解的人还是查得到介绍的，但有的人就只会道听途说，根本不查，等着别人介绍
308,弹幕一堆不知道CGTV是啥的
309,国际频道
310,辛苦了，你们好好工作，流言蜚语交给我们
311,教学楼？
312,这画质是给印度人看呢？？
313,保密画质
314,传染病诚不欺我
315,电影《传染病》里就有p4的景
316,美国在全球的生物化学实验室竟然都不公开，可见其中猫腻
317,辛苦了
318,诸位问为啥不讲中文的，看左上角， 
319,大家看清，是CGTN，不是CCTV 别再问为啥不是中文了
320,辛苦了
321,辛苦了
322,为啥讲英文
323,建议屏蔽弹幕，尊重别人是中华民族的传统美的
324,练听力
325,致敬
326,造谣的太小看中科院了
327,这是中文国际电视台，肯定以英语为主
328,我一泡尿有话说
329,生化危机既视感
330,热死
331,辛苦了
332,致敬
333,辛苦了
334,哈哈哈哈哈哈这把我们专业人士急的
335,辛苦了
336,哈哈哈你们
337,倒卖也太搞笑了
338,哈哈哈哈哈哈哈哈
339,像大白?这话不合适吧。
340,做实验天天用
341,移液枪
342,b站弹幕越来越离谱了
343,国际频道
344,这比越狱可难多了
345,郑店
346,反智真是祸害
347,这滤镜?
348,致敬
349,辛苦了！
350,好强
351,这应该是要发到外网的，所以用英语
352,CCTV国际频道的节目
353,高考听力
354,蚊子：？？
355,英文旁白，中文采访好评！！！好评！！！好评！！！
356,弹幕带英语砖家
357,想起生化危机了
358,画质感人
359,祖传画质
360,漂亮国：不~就是你们泄漏的（狗头）
361,他讲的中文好听
362,不知道为什么用英文的先去了解CCTN
363,学过建筑设备，能明白
364,防护服是正压，气压大于实验室负压，一旦破损气体只会往外跑不会进来～
365,总结这段话：传谣的人无知
366,这是发给外网上的吧。
367,放心，这种实验室不管是资金还是安全系数比你想象的高得多
368,这是cctv的对外频道
369,今日乳法
370,这是我国自己的国际媒体吧？
371,有和没有是两种问题
372,哇负压
373,宣传广告石锤了
374,CGTV中国电视台
375,CHV中国电视台
