,comments
0,记者：当时我的收都在抖动
1,同归于尽
2,我想听听翻译
3,记者：你不要过来啊
4,危
5,危
6,死神已经快急死了
7,真·我不活你们也别想活
8,又一个 nb
9,记者连夜坐火车逃走
10,记者：我当时快吓死了
11,没想到也166万了，无奈ヽ（・＿・；)ノ
12,早上摘中午躺晚上走
13,危
14,啊这
15,后退的两米，还不错
16,快跑！！
17,？？？？
18,害怕
19,还用这玩意？？？？
20,记者：害怕
21,你这是谋杀
22,恭喜
23,what
24,run
25,人家后退了，好吃距离了
26,我死你也要死
27,跑！！！
28,啊啊啊啊啊，你不要过来
29,166万……
30,下意识屏住呼吸
31,有 毒 共享，有难同当
32,蜜汁操作
33,金砖四国 ？！
34,过几天暴毙了就可以当历史名宿了
35,结果挺舒服的
36,下意识我一个战术后仰
37,你这行为看着就不冷静
38,？？？？？？？？？？？？
39,记者危
40,危
41,跑啊
42,不是不感染你吗？
43,哈哈~
44,快死的征兆
45,有种别戴口罩啊
46,这脸色算好吗？
47,记者：危
48,记者属实nb 还在采访
49,嘴唇都发白了，还说自己没事，想传染给记者？？？？？？
50,这个国家也不得了啊
51,记者也太危险了吧，就算这样这也很危险。。
52,人家已经退远了啊…没必要吧
53,说话就说话干嘛摘口罩？？
54,危
55,危
56,哎干嘛呢
57,谁要看你的脸！
58,封印解除
59,危
60,记者玩命采访
61,危
62,危
63,红光满面
64,记者危险
65,记着:我当时害怕极了
66,自取灭亡
67,危
68,舒服了
69,记者危
70,斩首行动
71,你不要过来啊
72,祈祷你早日见到SD
73,他们还没有检测能力呢？
74,危
75,众生平等
76,危 记者 危
77,我才寻思过来这新闻，他感染了然后他当着记着的面摘了口罩。。。
78,三个话筒不能要了
79,暂停暂停！！！！！！！！
80,记着:wdnmd
81,哈哈哈
82,啊？确诊了不隔离还采访？
83,卧槽
84,666
85,Ohhhhhh
86,快传太医
87,恭喜
88,为记者默哀
89,记——————者——————
90,我的妈呀，面青口纯白的，还没事？
91,记者：你不要过来呀
92,危！
93,~让你再看我一眼、让我轻轻说声再见
94,希望话筒没事
95,还敢用哈哈哈哈
96,危，快跑
97,前方高能
98,希望口罩没事！
99,记者危
100,嘴有点泛白，脸色也不太好
101,？？？？？
102,？
103,送葬者
104,真•战地记者
105,危
106,危
107,快跑吧
108,话筒不能要了
109,活该
110,记者危
111,觉得？？？
112,我自爆了
