,comments
0,退球？
1,见证历史
2,这波是不解释退群
3,666
4,芜湖
5,退出世界
6,？
7,高考题
8,让美国再次伟大
9,麻溜滚蛋吧 美国fw
10,简称 美国去世
11,退出联合国
12,见证历史
13,《  美   国   离   世  》
14,《 美   国   离   世 》
15,见证历史
16,美国离世
17,美国离世
18,合影留念
19,先把欠的账給还了！！！！
20,联合国也给退了吧
21,退出才可以不用共享信息资源大家品一下吧！细品。
22,太好了
23,见证历史
24,大国的担当
25,哈哈哈哈哈给自己挖坑吧就
26,退一年……
27,世卫组织搬到北京吧
28,超  级  大  国
29,见证历史
30,建议退出地球，前往太阳
31,抢话嘿嘿
32,还钱
33,？
34,谣言
35,谣言
36,谣言
37,谣言
38,自己把位置让出来 
39,钱先给了的
40,下一步可以退出地球了
41,退出五常
42,这个真的妹想到
43,见过，牛
44,负责的大国
45,普          天          同          庆
46,见证。。奇怪的历史
47,我真的是xsl
48,社恐吗
49,慢走不送
50,赶紧滚
51,滚吧
52,拜拜
53,6666666
54,叒见证历史了
55,不愧是你
56,就离谱
57,见证历史
58,呵呵
59,有没欠钱
60,台词有问题，扣钱
61,芜湖起飞
62,会费会费
63,恭喜
64,啊这
65,绝了呀
66,nbnb
67,nbnb
68,赶紧退
69,见证历史
70,哈？
71,可喜可贺
72,气 急 败 坏
73,普天同庆
74,？？？
75,？？？？？
76,走之前，把债务还清！
77,日常迷惑
78,请先还钱
79,超      级    大    国
80,超    级     大    国
81,你我见证了历史
82,先把钱还了行不
83,wow
84,看成美国正式去世
85,迷惑行为
86,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
87,卫总部不就在美国么
88,又退群了？ 迷惑行为。。。
89,退出球籍
90,退出球籍
91,？？？？
92,真有你的
93,？？？
94,联合国也退了吧
95,活久见
96,。。。
97,来年高考题!!!敲黑板
98,起飞！
99,还钱！！！！！
100,还      钱
101,公共厕所吗？！想来就来！想走就走
102,就是想赖账，老流氓操作了
103,文明退却，野蛮回归
104,退吧
105,创 造 历 史
106,这孩子离家出走了
107,2333
108,-200
109,卧槽
110,交完钱才能退
111,合影
112,干得漂亮
113,这段我要说（窃喜）                                     好的
114,这段我要说（窃喜）                                     好的
115,扣钱
116,不愧是宁
117,什么时候退出联合国啊？
118,我就想知道什么时候退出联合国
119,？？？？？？？是不是玩不起？
120,哈哈哈哈哈哈哈
121,见证历史
122,2020的考点又多了
123,见证历史
124,退群
125,先把钱还了在说
126,什么意思你
127,通知？
128,哈哈哈哈哈哈哈哈哈哈
129,见证历史
130,摊牌了这是？
131,卧槽卧槽一觉起来就有喜事？
132,卧槽
133,想进就进想走就走？
134,？？？
135,test
136,？？？？？？？？？？？？？
137,卧槽真退了
138,退群先给钱
139,世卫NB
140,又要退群
141,迷惑
142,建议退出联合国
143,我慌了
144,“大国担当”
145,恭喜美国
146,“负”责任
147,负责任
148,因為不想被調查，因為是他們幹的
149,见证历史
150,普   天   同   庆
151,见证历史
152,别回来了
153,23333
154,迷惑
155,………………
156,还钱啊喂
157,先把欠的钱交一下嗷
158,迷惑行为
159,？？？？？？？
160,233333
161,它慌了！
162,玩不起
163,见证历史
164,《负责任的大国》
165,还钱！
166,迷惑
167,迷惑行为
168,下一步退出世界
169,？不愧是你
170,合影
171,合影
172,牛啊，第一次见这操作
173,666
174,让他去吧
175,川  建  国
176,让 美 国 再 次 伟 大
177,建议退出联合国
178,？？？？？
179,欠的会费交一下谢谢
180,见证历史
181,扣钱
182,有种退出联合国啊，不要给我面子
183,舒服
184,抢话了哈哈哈还哈哈哈，这该扣谁工资啊
185,之前的会费教了吗？
186,"感觉“世界第三次大战""要来了"
187,？？？？
188,build that wall
189,build that wall
190,不能说的秘密
191,心虚了
192,舒服了
193,见证历史？？
194,我还没开除你，你竟然就走了。
195,慢走不送
196,等一波美国推出联合国
197,我惊了
198,慢走不送，群体免疫吧
199,啊
200,下次啥时候退联合国
201,请注意，有一年反悔期
202,最好退出联合国
203,自由
204,退出可以不缴费了
205,这大半年尽忙着见证历史了，以后给我的孙子有得聊了
206,还要等一年？？？？不舍得吗？
207,褪群
208,美国世界贸易组织和联合国等你退哦！
209,会费拖着不还了
210,2021？
211,美国退出地球吧
212,不愧是你
213,泼皮无赖国家USA
214,慌了
215,为啥需要一年才退。
216,已退群。。。
217,丢人
218,啊这
219,见证历史
220,见证历史
221,逆全球化的推动者
222,先还钱再走呀
223,世卫搬出美国吧
224,美利坚合众国退出了群聊
225,抢了
226,传 统 艺 能
227,？？？？？？？？？？？？？？
228,见证历史
229,搬到火星去吧，月球已经被我们占领了
230,联合国也退了吧
231,？？？？？
232,这是要干生化危机实验了吗
233,联合国都退了吧
234,卡兹克
235,老卡兹克了
236,还了钱再退
237,美国日常迷惑行为
238,自私自利的美国
239,触发孤立无援被动
240,触发孤立无援被动
241,哈哈哈
242,？？？？？？？
243,先结清欠款再说
244,这很自由
245,没有下任了  美国解体不远了
246,？？？？？？？？？？
247,退出地球吧
248,喜讯啊
249,Menendez
250,这个是九头蛇的组织吗
251,啊这
252,扣钱哈哈哈哈
253,扣钱了
254,66666
255,打断施法
256,那就没必要供应疫苗了
257,退群狂人！
258,美国现在各种退群是为了要开始世界大战
259,那以前的费用结清了吗
260,就怕被查
261,又退群
262,另起炉灶嗷
263,先还钱
264,退出阳界
265,迷惑行为
266,真行啊
267,欠的会费先结一下
268,飞向太阳
269,为什么还不退出联合国？
270,见证历史
271,川宝真棒。
272,呵呵
273,元旦那时候你告诉我会发生这些我肯定不信
274,立刻生效好不好
275,见证历史
276,背景反讽
277,退出地球月球定居
278,大  国  不  担
279,拱手让位
280,欠钱不还
281,滚出去就别回来
282,为啥是1年
283,欠的费用先补齐！
284,合影留念
285,？？？
286,懵
287,这真的？
288,联合国解散？？？
289,退群
290,先把会费交了
291,我以为早退了
292,灯塔国
293,抢话
294,抢饭碗
295,抢活儿
296,伟大的美国
297,666
298,把欠的会费补一下再退
299,我去！！！？
300,要不要退出一下联合国呢？
301,先把钱交了
302,88
303,迷惑行为
304,自己有鬼，怕人查
305,呦呵
306,牛逼
307,！！！！！
308,孤   立   无   援
309,人类迷惑行为
310,丢人现眼
311,就这？
312,迷惑
313,ohhhhhhhhhhhhh
314,钱记得还
315,美国要上天了。。
316,见证历史，可以（合影）
317,一年内把欠的钱先交了吧。
318,牛
319,别来分享数据就行
320,恭喜
321,钱不给就跑了
322,啊这
323,还钱还钱
324,妙
325,弹幕看清楚哈，是一年之后才正式退出，不是只退一年
326,美国是不是五常对他有影响吗？干什么不都是先干后通知其他常务理事国
327,欠世卫的钱不用给了
328,？迷惑
329,甩锅，节省财政
330,好事
331,退出太阳系吧，干脆
332,见证
333,扩工资
334,抢话
335,把钱先还了
336,急了急了急了急了急了急了
337,下一步是不是退出世贸组织啊？最后退出联合国？
338,先把钱还了
339,迷惑
340,牛
341,？？？
342,310万感染，退不退也没啥区别
343,退出地球
344,一年？我以为不回来啦呢
345,要考
346,什么鬼？？
347,？？？？？？？
348,先还钱
349,下一步是不是退出联合国啊
350,讲话打架了
351,为什么是1年 不是马上
352,哥 先把欠的钱交了
353,不愧是您
354,大  国  担  当
355,自寻死路
356,太棒了
357,他怎么不退出地球？
358,恭喜
359,666
360,绝了
361,2021政治预定考点
362,美国这是要放弃球籍了？
363,看来美国末日要成真了
364,快去调查，还有时间
365,真不愧是最“伟大”的国家
366,还一年，别吧，终身退出怎么样
367,批评没屁用啊，说好的三权分立都到哪里去了？
368,迷惑行为
369,啊这
370,就离谱
371,见证历史
372,合影
373,我看你老美怎么死
374,见证历史
375,干的漂亮
376,ohhhhhhh
377,哈 哈 哈
378,普天同庆普天同庆
379,？？？？
380,走好不送啊
381,再见了您内
382,见证历史
383,恭喜 恭喜
384,下一步 退出联合国
385,真好
386,所以就怪世界啊
387,总之就是自己做不好就怪别人就对了，传统了
388,哦豁，有人要扣工资了
389,退出一年？
390,牛的
391,要退出，得先还钱把
392,请世卫组织来中国把，地大待遇好
393,川宝加油  妈妈爱你
394,标志事件
395,退出五常可好
396,一年？
397,钱还了吗？
398,下一步是要退出联合国吗
399,？？？？？？？？？？
400,退  出  联  合  国
401,合影
402,我退出你就查不了我
403,哦吼，这下没人能去美国查找源头了
404,恭喜
405,来搬到中国来 中国需要世卫
406,退 出 地 球
407,美国要被世卫检查了，快跑
408,无感
409,好，漂亮国干的漂亮
410,见 证 历 史
411,一句世卫组织收到美国的通知我就，，，
412,扣钱
413,不想被查就退出
414,不会又是钱不够了，想省钱吧。。。。
415,说好的，可不许回来哟
416,哦
417,？？？？？
418,一说查就退，这是为什么呢。
419,人类迷惑行为
420,？？？？？？？？？？？？？？？？？？？？？？？？
421,跑路了
422,芜湖～
423,666
424,啊这
425,-100
426,芜湖？？
427,都是好事
428,无所谓
429,啊？
430,世卫：你别跑！你还欠了老子一大笔钱呢！！！！！
431,??????
432,你想退就退，退来还像再进来？
433,扣钱
434,？？？？？？？
435,eee
436,哈哈哈，你退吧，我们兔子来牵头
437,下一步，退出北约[狗头]
438,、、、、、、
439,要不把联合国退了？
440,退出就退出呗！！还要一年？
441,……
442,心虚了 怕世卫揭他老底
443,抢话?
444,这事办的娘娘们们
445,建议退出地球
446,玩不起？
447,在啥时候退出联合国
448,哦
449,顺便退了联合国吧
450,美国啥时候退出地球？
451,美国啥时候退出地球？
452,哈哈哈 疯狂退群
453,下方日本洪水emmm
454,一个滚字送给美利坚
455,你说今年爆发三战我都信
456,今年知识点太多了，之后几年的高考生好可怜
457,呵
458,还一年啊
459,OK
460,真就不给自己留退路呗
461,魔幻元年
462,传统艺能
463,啊这。。
464,？
465,重构？？？
466,md，还钱
467,不愧是宁
468,哈？
469,md，先还钱啊
470,啊这?
471,通知？
472,把联合国也退了
473,下一步，退出世界
474,不愧是川宝
475,扣钱！
476,嗨，你不听我的，我就不跟你玩了
477,他是不是还没还钱
478,会费不补交一下？
479,啥时候退出阳间？
480,一年？拜托马上好吧
481,漂亮国还是秀啊
482,混不下去了
483,好
484,“负责任的大国”
485,不送哈
486,为期一年？太短了吧
487,迷惑
488,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
489,？？？？？？？？？？？？
490,？？？？？？？？？？？
491,退前先把欠费还了。
492,退一年？？？
493,我可真傻了
494,抢话哈哈哈哈
495,普天同庆
496,斯国一呐
497,哦
498,为了逃避世卫组织调查COVID-19病毒来源而愤然退群
