,comments
0,fake news!
1,为什么要讲英文？？
2,怕死都戴
3,这不是文化差异
4,“享受”你们的“自由”
5,祖传滤镜警告
6,她在撒谎
7,为什么要总英语
8,这话说到点子上了
9,啥小地方不会，我们一个县城都做的很好
10,不戴不让进啊
11,这不就是说的国民素质吗？
12,快600万了
13,因为会死人，所以大家都怕啊
14,用下巴fu吸
15,"fake news,next"
16,这雾霾滤镜
17,看到美国官方还是这么反智我就放心了
18,口语好棒
19,左边小哥哥声音好好听
20,这是常识！摇头=愚昧，麻木！当然，也有个华丽的辞藻叫“自由”
21,这么拍出来好洋气哈哈
22,姐姐英语好棒
23,生于华夏，我很骄傲
24,是智力区别而已
25,非静止画面↓
26,抓到一个不戴口罩的
27,阴间滤镜
28,我学校旁边
29,这不是我下地铁的地儿么
30,是啊！外国人在中国，可以不说中文！跟人交谈必须用英文，中国人在国外就不能用中文，必须用外语？
31,！这是朝阳区的商场
32,干得漂亮
33,西直门啊
34,小姐姐是战忽局成员小李，注意隐蔽
35,摇头表示:又没了一个
36,小姐姐教我学英语吧
37,后期翻译啊
38,说真的这也只是部分地区，在我们那儿点餐是没有这种的
39,什么阴间滤镜
40,这英语太标准了， 我去
41,明 白 人
42,糊的一塌糊涂
43,假的是p的
44,假的
45,蒋方舟？
46,你看地上这光斑像阴天吗
47,          没好好戴↓
48,是的，互相保护
49,阴间滤镜
50,看前面的大叔，脱口罩了
51,一个没带。
52,英语只是一门语言而已...
53,祖传 滤镜
54,啊啊啊啊啊
55,战术摇头。
56,准备战术摇头。
57,这个年纪在北京一看穿着就知道是大学生，不会英语才鬼了
58,国家使我们联合在一起
59,fake news!
60,金融街
61,←滤镜不该是让你用来把阴天画面变亮的？
62,就是托
63,傻了吧
64,口音好听
65,人家不信
66,终于也有美国公知了！！
67,fake news
68,美国没网络
69,fake news
70,healthy code
71,是我了
72,我老婆
73,我家附近不是吧
74,我去过刚才那个地
75,老师，我要和这位小姐姐坐一起学习
76,我近视又严重了
77,fake news
78,不！我不信！
79,哈哈哈
80,世界奇观
81,不可思议
82,这不自由！！！
83,口罩都绿了，离谱
84,标准滤镜
85,要不是看到有人打伞我还以为阴天呢→_→
86,我无带口罩，女朋友差点不给我进去
87,这里！！！！！
88,我的天啊这不可能！
89,我不信
90,极度自由就是自私，就算自己不怕就没想想那些会被你传染的老人吗？
91,难道不是这个小姐姐长得像ABC嘛，标准ABC长相
92,好漂亮
93,这不是保命的嘛
94,不是文化而是素质区别
95,大望路华贸
96,真的吗？我不信。
97,真的吗？我不信！
98,为了保命好吧。。。
99,托比？？
100,哈哈哈哈
101,摇头娃娃哈哈哈
102,是我
103,阴间滤镜
104,500万了
105,眼睛瞪的像铜铃
106,为了把蓝色的天空变成灰色
107,哈哈
108,好
109,汉堡王打钱
110,这是卡视角了吗
111,真•美丽的风景线（指美国混乱的时候我们井井有条）
112,震惊吗? 是不是不敢相信
113,真的吗？我不信
114,对，就是我
115,这是中国 讲什么鸟语
116,确实就很大程度就是culture attitude呀
117,红种人
118,冲啊 一千万
119,不敢相信
120,阴间滤镜
121,阴间滤镜
122,战术摇头
123,这不自由
124,阴间发言
125,北京情况应该没美国那边严重但我们有严肃对待
126,fake news！
127,这不是报道鞭炮结婚的那位小姐姐吗
128,祖传阴间滤镜
129,其实我主要是怕死哈哈哈哈哈
130,啊啊啊啊啊啊啊啊啊啊啊
131,砍头不要紧，只要自由真
132,你觉得他们会找不会英语的人采访吗？
133,找不会说英语的也只会告诉他我不想死
134,这个口罩在下巴上
135,不带口罩地铁让进么？？？
136,流利说英语app广告（狗头）
137,你们美国就是自由过了火
138,这是个常识
139,这个小姐姐是不是报道大使馆前的“婚礼”的那位？？
140,真的吗我不信
141,自由美利坚逗比每一天
142,真的吗 我不信
143,华贸
144,你们能把防卫全人类问题说成culture attitude也是np
145,就是惜命
146,前面星梦剧院的聚聚别跑，好想看公演啊！！
147,哇哦
148,确实，尴尬死了没带口罩
149,就是这样，没戴口罩出门，我都感觉自己在裸奔
150,戴口罩也能和政治扯上联系，是真牛壁
151,不一定是人家英语好啊，万一后来配音呢
152,讲道理这不是滤镜啊，日常看到的跟自己拍的都是这种色调
153,不 可 思 议
154,保护
155,阴间滤镜
156,阴间l jing
157,这是真的……就像裸奔
158,摇你妹的头呢
159,米国在烧口罩
160,诺基亚拍的。。。。。。。
161,阴间滤镜
162,fake news
163,fake news
164,他在撒谎别听他的
165,这个女孩子就是说放鞭炮是结婚的那个
166,丑国
167,这个镜头我看的都晕了
168,这女的好红
169,握草
170,呵哈
171,点餐不是平时也是这样吗
172,啊这我常去
173,我觉得滤镜还好啊哈哈哈怎么了
174,鱼眼摄像机拍的
175,天皇？
176,来中国的歪果仁基本上都同化了
177,好现实，那个男的戴一半
178,假新闻 fake news
179,6
180,是我哈哈哈哈哈哈
181,口语真好
182,不敢置信吧 老说我们民众素质不行
183,主持人呆了
184,常营？
185,你在教谁做事？
186,说的好，社会责任
187,这英语好好
188,面红耳赤
189,公知震怒
190,不戴口罩，车都不让上
191,不不不，应该是看到美国佬害怕了
192,这还用说，中国人多惜命啊，活着它不香吗？
193,亮度都无法拯救的滤镜
194,真的吗？我不信（狗头）
195,右边一脸呆滞
196,先给他隔离，美国来的呢
197,祖传阴间镜
198,懵逼了
199,也有不认真带的
200,阴间滤镜
201,为什么这个男的这么像伏拉夫
202,确实
203,就喜欢鹰酱一本正经胡说八道
204,英语好好
205,面壁者
206,卧槽我家旁边！
207,B站现在的弹幕真是无语，国人素质。好多酸
208,哈哈哈哈，我不信我不信。
209,fake news！
210,不带不让上车
211,啊啊啊啊啊啊啊啊
212,右边都已经开始怀疑人生
213,因为我们是团结的中国人
214,我是：啊啊啊啊啊啊啊啊啊呕
215,僵尸人
216,2号线！
217,有些人你觉得所有中国人英语还有素质像你一样次吗？
218,北京那么多高校很奇怪吗
219,不可思议
220,这是托吧
221,小妞让你失望了吧？
222,小妞，让你失望了吧？
223,hhhhhhhhhhhhhhhhhhh
224,右：我们比不上
225,我们相救你们，不领情还倒打一耙
226,真的吗滑稽
227,是的是的
228,我爱我的国家爱我中华!我们国家真好
229,弹幕是咋的了，人家英语好还不行了？
230,360P灰色蒙版
231,要真滤镜这颜色还打个鬼的伞哦
232,保命要紧啊。。
233,这个女的
234,服从性纪律性第一的华丽中华族群
235,雾霾滤镜
236,不是人家就不能英语好吗
237,你们害妹戴呐
238,我爱你中国
239,小姐姐总结的好
240,一开始难受的要死，现在不戴口罩跟不穿内裤似得
241,北美病夫
242,洋文好的人多得很啊
243,不，我不是因为责任，只是不想死
244,阴间滤镜
245,这不可能！
246,美国伏拉夫
247,对啊，尊重和保护是相互的，不要只顾着自己
248,带个口罩都能上升到政治高度我是真的没想到。。。。
249,我就不懂了多会一门语言有什么关系？那些人在酸什么
250,在国内说英语？
251,我有次出门忘了，超级尴尬
252,我有一次出门忘了戴，超级尴尬的……
253,一听口音就知道abc
254,美人儿
255,因为不戴口罩你哪都不让你进
256,不带口罩不让上公交
257,哈哈哈哈哈哈哈哈哈哈我真是服了美国
258,额，我没带口罩校长差点不让我进去
259,美国：真的吗，我不信
260,美国人只要自由，不要口罩
261,fake news
262,Fake news
263,美国人是真的蠢啊
264,66666666
265,漠叔？
266,汉堡王
267,我们中国太牛逼了！我爱中国
268,传统技能 阴间滤镜
269,真实哈哈哈哈
270,我就想你是问了几个人才找到说口语这么6的
271,主持人：哥，你哔嘴我有政治压力
272,fk news
273,暴露了同志
274,部分美国佬觉得戴口罩能预防都是骗人的，自由活动你管我
275,美国公知 哈哈哈
276,其实我们怕死啊。。。。
277,悠唐，哈哈哈哈哈哈哈哈
278,大望路
279,真的吗，我不信
280,难 以 置 信
281,这个英语口音。。。海龟还是华裔？？
282,啊～～～～～～～～～
283,有脾气你一辈子都别带口罩
284,小姐姐诶英文好
285,英语差评
286, 昨天刚路过，，，
287,为啥我们戴口罩就不会死，都是惯的
288,小姐姐英文太棒了
289,骗人的 中国根本没人带口罩  不要相信  不要相信
290,这位女主持怎么一脸沉痛？不知道的以为他们国丧了呢
