,comments
0,责任在身不敢松懈
1,都是阳性可还行。
2,辛苦了
3,愿善良永存人间
4,辛苦了
5,都是个我们一样的普通人，冲在第一线保护我们
6,我辈楷模
7,这人声音好像我们老师
8,致敬每一位一线医务人员
9,好人有好报  一生平安
10,泪目
11,致敬
12,加油！！
13,辛苦了
14,辛苦了
15,你用橡胶手套可以用手机？
16,加油！！！！
17,辛苦了
18,辛苦了
19,致敬！
20,辛苦啦！！！
21,辛苦了
22,天佑中华
23,致敬
24,不弄操作不了手机
25,说新发地，你给个东直门的背景板，绝了
26,感动
27,辛苦了
28,辛苦了
29,感动啊
30,致敬
31,辛苦了
32,致敬
33,致敬
34,这才是负责任的大国作风
35,辛苦了
36,辛苦了
37,辛苦了
38,致敬！！
39,"阴性的,太好了"
40,哎
41,辛苦啊，不容易
42,辛苦了
43,辛苦了
44,辛苦了
45,泪目
46,这是谈话式流调啊，被问者容易回忆行程
47,感恩
48,China nb
49,加油
50,AAS
51,奔驰排面
52,中国加油
53,致敬
54,致敬，担当
55,辛苦啦！
56,加油，必胜，因为有你们！
57,致敬
58,辛苦啦！
59,真的太辛苦了  大家平安多亏了她们
60,真的辛苦
61,致敬
62,o(╯□╰)o
63,手指那里应该是为了好操作手机剪了的
64,真是辛苦了
65,记者穿了防护服了吧
66,好在现在物资不那么匮乏了
67,你这问题问的让人咋回答
68,手术室挺多高级护士都是男的
69,我们单位都是年轻的上
70,估计都是医疗系统的人
71,不打无准备之仗
72,摄像师也辛苦了
73,护目镜上面那一块露出来了
74,辛苦了
75,辛苦了
76,看着就好热啊，天啊
77,辛苦了辛苦了
78,辛苦了
79,辛苦了
80,辛苦啦，爱你们医护人员
81,泪目了～谢谢你们
82,辛苦了
83,辛苦了
84,辛苦了
85,对
86,泪目
87,督工？
88,辛苦了
89,辛苦了
90,辛苦了
91,辛苦了！
92,致敬，谢谢
93,真的好敬佩这些医生，如此付出，如此牺牲！致敬！
94,伟大的医生，伟大又平凡的女性！
95,致敬
96,高兴的眼泪
97,触动了泪点！
98,出动那个泪点！
99,北京大妈
100,泪目
101,6月天穿防护服，估计很快就汗湿透了，致敬，辛苦了！
102,真棒！
103,辛苦了  
104,致敬
105,幸苦了
106,辛苦了
107,王姐好温暖啊
108,这就责任和担当吧！致敬
109,太感动了
110,前面的，这不是记者，是王大夫吧
111,太辛苦了
112,辛苦了
113,致敬！
114,致敬
115,致敬
116,感恩
117,记者也很棒
118,辛苦啦
119,辛苦了
120,致敬
121,致敬
122,辛苦了
123,辛苦了
124,姐姐手套破了
125,辛苦了！致敬！
126,辛苦了！
127,致敬
128,致敬
129,致敬
130,致敬！
131,致敬
132,致敬
133,辛苦了
134,辛苦了
135,辛苦了
136,看着都热
137,辛苦了~
138,看你们笑我想哭。。。
139,致敬
140,一定要吃好
141,辛苦了
142,致敬！
143,大夏天不敢喝水...太辛苦了
144,脑门那里有点露
145,出租车司机样的健谈
146,记者也很危险呀
147,致敬
148,nice，就要好好的
149,辛苦了
150,阿姨看上去很年轻
151,回头要给长假，工作强度太高了
152,辛苦了，致敬
153,感动
154,致敬
155,好人一生平安
156,辛苦了
157,辛苦了，天这么热，防护服这么厚。 致敬
158,致敬
159,辛苦了
160,辛苦了！
161,手机可以之后在消毒啊。。
162,致敬
163,手套坏了 要小心鸭
164,致敬
165,双眼皮
166,男护士
167,辛苦了
168,辛苦
169,辛苦了
170,不好防护。。只能勤消毒了
171,致敬一线，北京加油！
172,辛苦了
173,辛苦了
174,辛苦了！
175,加油哇
176,辛苦了
177,致敬
178,辛苦了 致敬
179,辛苦了
180,辛苦啦
181,触摸屏的弊端，有些情况下不识别
182,泪目，致敬
183,北京加油，奥利给
184,致敬
185,好帅的！
186,辛苦了
187,泪目
188,辛苦了
189,"泪目,致敬"
190,泪目
191,太辛苦了
192,北京女孩讲究
193,致敬
194,不然弄不了手机呀
195,我也看到了
196,致敬
197,辛苦了
198,致敬
199,是可以识别的
200,太难了
201,致敬
202,辛苦了
203,真不容易
204,辛苦了
205,辛苦了
206,致敬
207,北京加油
208,辛苦了
209,辛苦了
210,致敬
211,辛苦了
212,致敬
213,辛苦了
214,辛苦了
215,北京加油！
216,中国加油！！！
217,医生辛苦了
218,加油！！！！
219,辛苦了辛苦了，真的太难了
220,辛苦啦
221,阿姨辛苦了！！
222,手机没做防护啊
223,致敬
224,大家没事就好
225,最美丽的人
226,手指位置是破的？
227,致敬！！！
228,致敬！
229,致敬
230,大案牍术，厉害
231,加油
232,天佑中华
233,辛苦了
234,辛苦了
235,两分钟
