,comments
0,妈妈很会讲话，两个宝宝也教育的很好，加油！
1,家人是最重要的。
2,好懂事
3,加油！
4,年纪这么小，就说话这么流畅
5,从此不长寿
6,这橘在笑
7,2个闺女算好的了，2个儿子试试
8,我也好想一手拉一个小孩儿呀
9,官方神兽
10,好帅
11,胰脏的bgm吗
12,中国加油，北京加油！
13,两个闺女
14,111111
15,这不是小本了
16,哈哈哈
17,好可爱
18,加油！
19,阔爱
20,加油
21,不当班主任，都可惜了
22,奢侈品啊
23,我觉得很好过了 
24,小孩儿东北口音可以啊
25,加油
26,我们班主任也是啊，上网课时孩子在身边，磕了碰了要去安慰，不过孩子很可爱也比较乖
27,hhhhh
28,哈哈哈哈
29,好可爱
30,珠宝未必就是全国连锁，请各位别妄加评论
31,一年级学英语
32,我就是怕中招了传染给别人
33,哈哈哈哈哈
34,又不是大型连锁黄金珠宝，，人家算首饰店
35,它在笑
36,京城百物皆贵，居不大易
37,东北话遗传
38,唉
39,北京市是课教版  俩版我都学过  课教版要比人教版简易很多
40,老东北人了
41,他这是小本生意，那我只算个乞讨的
42,橘：世道艰辛，可还是要微笑面对啊
43,加油，挺过去
44,生活从来就没有轻松的时候。
45,都不容易，愿同胞们平平安安的！
46,热干面给杂酱面加油
47,应该是那种批发初始的那种...我朋友家就干这个，店铺很小像批发市场一样她那
48,加油
49,看怎么说了，珠宝就都是大买卖吗？不一定吧
50,等孩子长大了 会怀念这段时光的
51,这才是生活啊
52,哎~早日过去吧……
53,做家长真的就是，奉献
54,好可爱
55,这小女孩，爱了爱了，太可爱了
56,住的又不是别墅，也没有专车司机，肯定是小本了
57,我妈天天吼我，哈哈哈
58,真实
59,我也想问
60,得看什么珠宝
61,都挺不容易的，加油吧
62,前面的看破不说破，能在北京养2孩子，还珠宝城有小本生意的了解一下，房子是不是买这个不知道
63,成年人的世界
64,天黑
65,辛苦了
66,我家有5只四脚吞金兽 1只两脚吞金兽
67,1
68,辛苦了
69,bgm很到位
70,太辛苦了
71,捣乱呐
72,hhh教学事故
73,都好可爱
74,两个女儿 太幸福了
75,转职家教
76,两个班hhh
77,有内味儿了
78,哈哈哈
79,珠宝行业是小本生意？
80,加油北京
81,不好办
82,辛苦
83,真棒
84,热乎
