,comments
0,李 梓 萌
1,劳动姐
2,厉害
3,这是假发
4,么得钱买机票
5,新闻的网络语真是越来越多了呢
6,一想起电影院突然泪目
7,好
8,不想去开学
9,押韵
10,@石家庄
11,腻害
12,姜子牙！
13,D229！
14,热乎的
15,完美文案
16,官方也用网络用语？
17,河北高三什么时候开学我也想知道
18,大快人心，用的不对。自己搜搜。用于坏人得到惩罚
19,冲
20,啊啊啊啊
21,妙啊
22,希望新建也控制好
23,我想捧场，然而20号了我们这边还没复工。。
24,妙啊
25,肯定是假发啊 而且一般人不能驾驭这个假发
26,她没失业，她是不怕
27,感动
28,卡其脱离太
29,敢问主持人，您这戴得是假发？？？
30,羊肉串加油！
31,好啊
32,大快人心啥意思都不知道就瞎用
33,划重点：很多网友…为了刺激消费啥话也说！
34,大快人心
35,字幕有心了
36,我也想啊，但是没时间
37,喜大普奔官方也在用啊？哈哈
38,ohhhhhhhhhh
39,终于等到了
40,skr
41,好
42,高兴
43,河北高三什么时候开学！！！
44,我为生在中国骄傲
45,大爱中华
46,真好
47,这不是赛跑。。这是赛车。。
48,火
49,skr
50,棒棒棒
51,咱没钱
52,好美啊
53,央视也用喜大普奔吗？
54,芜湖~
55,热乎
56,耶
57,中国NB！
58,冲鸭—！
59,想要认真防治是多么简单啊，怎么总有人学不会呢
60,好好好好好好好
61,好
62,羊肉串加油，来自热干面的祝福。
63,好
