,comments
0,川建国：“低调”
1,三哥
2,印度流批
3,三幻神
4,争第一
5,波索纳罗优秀
6,美国没有反弹，他只是在稳定的增长
7,今年千万有机会的
8,这种事就别开玩笑了
9,五百万不要停
10,往500万冲呀
11,已经200万了
12,美国突破500万
13,印度座位一个炒鸡大国
14,不多说，印度牛逼
15,不全体免疫了？
16,看新闻刷好帅？
17,你到高尚，美国这么抹黑我们，我们嘲讽两句怎么了？装什么理中客慕洋犬
18,三个“发达”国家
19,漂亮国第一，漂亮优先
20,人间炼狱
21,加油，早日破千万大关
22,快乐伊拉克 枪战每一刻
23,灾难面前他们的制度真的不行。
24,但是卫生组织又表示有抗体不一定就不会感染了
25,相比福奇比较敬业
26,富人区消毒，好办法啊
27,。
28,现在是却医疗物资，以后会却生活物资
29,点赞
30,离离离职？
31,真的美国长点心吧！
32,百万大V
33,是不想背锅吧，不听，出了事又怪他
34,？？？？？？
35,那会天天苦劝我爸戴口罩不要出去溜达
36,莫迪老仙，法力无边
37,我买了一个西瓜
38,雾霾滤镜
39,三国罪不至此（doge）
40,印度现在到底多少只有上帝知道了
41,坐等美国破千万
42,三        国        演        疫
43,三   国   演   疫
44,超疾大国
45,最严重（没有之一）
46,哈哈哈哈哈哈
47,美国决定来一次彻底的集体免疫
48,怕什么，喝消毒水，一瓶不行就再喝一瓶
49,祝早霉锅早日晋级八位数
50,福奇太难了
51,千万预订
52,群体免疫
53,已经120
54,他们马上群体免疫了
55,美国400万啦
56,还好中央一套没开弹幕，不然被你们笑死
57,群免
58,400万了，还越来越快
59,印度毕竟是牛尿治疗的国家
60,美国优先
61,无症状证明人家自身免疫力强啊
62,来个巴西的妞
63,三国染疫
64,三哥干啥都要第三
65,超级大国
66,巴西里约奥运会之谜doge
67,建议把人杀光，阻止病毒传播doge
68,加大力度
69,印度很多感染的国家都没统计
70,这就是确诊摘口罩那个人？
71,一超多强
72,西部牛仔  加油
73,印度增的不厉害阿，争取快点取代美国成世界第一
74,疫超多强
75,奥利给！
76,反弹，何来反弹，就没有减过
77,好漂亮，希望不要有事
78,妹子好看
79,飞飞飞飞飞飞飞飞
80,印度炸弹
81,三 国 演 疫
82,三哥终于有一个方面超过中国了
83,你们那口罩和不带有啥区别
84,不对吧  无症状不是难点  不戴口罩 不居家隔离才是难点
85,不用检测了，只要检测没一个没得的
86,Made in lndia(滑稽
87,穷人永远都是最先的牺牲者
88,超疾大国
89,疏漏就是不检测就不会有病例
90,反弹
91,美国加油，争取1000万
92,牛逼，美国加油，争取200万
93,多喝牛尿
94,印度这是要王炸啊
95,此人：龟孙子！
96,畜群免疫！！！
97,说实话，现在有可能已经千万级了
98,好像伊朗是2500万
99,王炸
100,还有日本
101,？？？？
102,nice
103,何来反弹，重来都没有控制过，也没有控制住过。。。
104,超   英   赶   美
105,超  疾  大  国
106,带了个寂寞
107,自然选择
108,现在全球已经1450w
109,直到全民感染者无症状，美国就赢了
110,fake  news!
111,真不怕死了？
112,漂亮
113,如果又多次变异出个超级病毒就真的要呵呵哒了。
114,榜一大佬加油
115,群体免疫
116,说漂亮的什么心态
117,记者要注意安全啊
118,三国鼎立
119,多多益善啊
120,6666
121,有声有色的大国
122,三傻大闹宝莱坞
123,大国竞争好激烈啊
124,印度又是第三
125,全是美国大佬的盟友国
126,印度作为一个大国
