,comments
0,这肚子没撒问题啊、
1,电影:第一次的离别
2,暂停 电影名:第一次的离别
3,没有这复苏的第一步，哪来的影片扎堆上映。Fighting
4,你穿个小背心，这么性感
5,枪版
6,中考啊哥！！！！！
7,唉
8,奥利给！
9,2020健康就好
10,泪目
11,看哆啦A梦？
12,泪目
13,唉
14,心疼。
15,"好事啊,"
16,枪版
17,叔的双眼皮瞩目
18,主要是没啥好看的
19,去产能
20,黑寡妇没看上
21,电影院不能吃
22,武汉的同学在中考
23,网络电影吧
24,那我知道你看的什么电影了。。。
25,发型 衣服 对劲
26,应该赞一个
27,会说话
28,都是旧电影，看过了，我等上新再去
29,不够电费
30,叔你好潮啊
31,黄渤
32,开个通风电影院
33,南湖时尚城的电影院！我们学校旁边
34,妈呀财大电影院 可惜我毕业了
35,没事，继续炒房
36,没钱了
37,片子不好➕1
38,哭了
39,叶问4
40,食贫道要更新了喂！
41,肚子
42,天呐
43,叔又回来了！
44,求BGM
45,求BGM
46,2019年电影公映许可证发放公示（国产故事片第二期）第一次的离别
47,是你！孙红雷（doge）
48,因为这个电影我不想看
49,是的！
50,啊啊啊啊到我们学校旁边来了！！！好开心！
51,叔，你又来了
52,感觉很好看那电影
53,我去过这里，当时看的是惊奇队长
54,真是财大那南湖时尚城?
55,说得好
56,隔着口罩也觉得像黄渤
57,花木兰一上映，我就去看
58,坐标深圳南山，我家附近那家电影院倒闭了
59,黄渤
60,等着姜子牙
61,不是你看了啥电影
62,叔的衣服真好看
63,武汉是低风险区？？
64,2020纪录片
65,血精灵：这里欢迎你的金子。
66,博纳开了妈
67,我家这已经倒了一家电影院
68,没事不要凑热闹哈哈
69,姜子牙有了吗？
70,舒服了，可以看电影了
71,中南民族大学
72,加油
73,加油！
74,加油
75,财大时尚城？？？
76,又来了？哈哈
77,会好的
78,感动
79,BGM好评
80,修眉了？？？
81,我们这还没开
82,加油
83,想看姜子牙
84,再苦再难都能熬过去的
85,主要是不是新片，不想去电影院看
86,我是没钱
87,实话实说点个赞
88,这种还不如不开呢 越干越亏 亏电亏人工啥都亏
89,赔死
90,口才太棒了！
91,脑补阶段
92,加油
93,2018
94,加油
95,中考去了
96,财大旁边那家？
97,财大旁边的那家
98,时尚城？
99,财大时尚城！！！！
100,哈哈哈
101,枪版
102,中南民族大学
103,中南民族大学
104,南湖
105,我来过这
106,好电影不怕没人看
107,恭喜贺喜
108,宜宾都没开白高兴一场
109,加油
110,都会好的都会有的
111,财大牛逼
112,加油
113,武汉现在就开了三家电影院
114,这就好像女朋友跟你分了手后又给你打电话说要谈一谈
115,送别
116,梅开二度
117,不开不挣钱开了会更不赚钱还赔钱
118,电影院的时代结束了囧妈已经做出了好的榜样
119,没有新片，低风险区开的影院也很有限
120,排姜子牙我就去了
121,这发型……
122,心酸
123,说得真好
124,肚子。。。。哈哈哈
125,这个外套我喜欢
126,是该时候建个：神木了
127,第一次离别
128,请客吃饭
129,还算比较自觉，谨慎
130,第一次的离别
131,哇
132,哈哈哈哈哈
133,叔你是谁
134,帅哥你谁
135,来了来了
136,观望
137,泪目
138,帅了
139,七月二十正赶上武汉中考
140,加油
141,好熟悉的场景啊
142,哈哈哈哈哈哈
143,武汉人已经淡定了
144,哈哈哈哈
145,黄渤？
146,刚知道，今天可以看电影了
147,数码宝贝带我一个！！！！
148,主要是新片没有上映
149,看的什么
150,就像穿着新内裤迎接新年一样
151,你穿的啥
152,没片子上啊
153,加油
154,唐人街探案走起
155,？？？
156,泪目
157,加油加油
158,武汉已经是低风险区了
159,辛苦了，加油
160,？？？
161,泪目
162,心疼，加油，有时间我会去看的，我在我爱的武汉
163,时尚城的！！
164,？？？？
165,帅哥你谁
166,眼泪掉小来了
167,质疑武汉是低风险的红字那位，你断网多久了
168,相信未来会更好
169,不开更亏损
170,泪目
171,眼中含泪
172,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
173,心疼啊
174,泪目
175,饼叔
176,叔这几乎大半年都在武汉了
177,黄渤
178,突然泪目，年纪大了诶……
179,2020活下去
180,不开不就纯亏了吗
181,你好欢迎光～～～临
182,唐探3，冲
183,饼叔儿一身沙滩服，帅帅哒
184,嘴嘌？
185,哈哈哈哈
186,泪目
187,叔，你的肚子
188,应该是没有什么好电影
189,in3！
190,来了
191,想看姜子牙
192,我应该去过这个厅哈哈哈
193,叔的比喻，永远恰到好处
194,我竟然认不出来是南湖时尚城？
195,哈哈哈哈
196,你的肚子
197,拍的都是误杀
198,晒足180天，厨房酱油美味鲜（狗头）
199,电影院吃啥
200,说的好像平时上座率有30%一样
201,砂锅大的拳头
202,真的是南湖时尚城！！
203,你看了啥？喜羊羊吗？
204,"这千层的肚子哦。。"
205,哇！我武汉上大学时候最常去的电影院，南湖时尚城那家
206,主要是没好片子
207,戴口罩又帅又年轻
208,;p[p;p[]\[[]\
209,可以趁机整治影视行业过热的现象了？
210,这也是去落后产能了。
211,开门可能比不开门亏的更多，你得算人工设备维护水电费等等
212,海皇
213,阴三儿还行
214,哈哈哈哈哈
215,叔！
216,《第一次的离别》
217,这个不是时尚城？
218,加油
219,泪目
220,娱乐业去产能，这是大好事
221,所以热搜是这来的
222,反正不是新片
223,字好看
224,看电影全程都要戴口罩，能卖啥饮料？
225,第一次的别离
226,刚回北京没多久 又去武汉了
227,升华主题
228,数码宝贝大电影啥时候上
229,数码宝贝大冒险最后的进化
230,你们赚钱辛苦了，记得交税
231,这是财大的银兴吧
232,掉眼泪了
233,武汉低风险区了？
234,泪目
235,真是财大
236,啥时候才上新片啊
237,财大？
238,因为大家还不知道影院开门了吧
239,主要是片不好看
240,要上班呀
241,2021估计也难
242,感觉就是南湖时尚城的
243,我哭了 我学校旁边
244,擦 武汉都有了  我这都没有
245,你这衣服？
246,哈哈
247,估计2021美国也放不了
248,加油！
249,要看周末，都上班呢
250,龙标！激动
251,开了一定去
252,好棒
253,不易啊
254,网飞能和院线比啊？
255,剧透不存在的，因为都是老电影！！！！
256,逃离北京
257,什么电影？
258,没有想看的片
259,刑满释放
260,请问这是什么电影
261,要上班呀！
262,卧槽财大？我华农知道你去，我也去看电影了！！！！！
263,主要是因为周一 我觉得
264,看的啥啊
265,加油
266,财大哈哈哈哈我财
267,表白bgm
268,泪目
269,大家都不容易！一起熬过去吧！
270,哥，你这头发真是一言难尽啊！
271,慢慢来！开始了就好了
272,170亿好像对资本家很少！
273,真低风险了
274,想哭
275,人家是阿婆主不用上班
276,奥利给
277,黄渤
278,前面的，你忽略了疫苗
279,辛苦了
280,真的好像黄渤
281,晒足一百八十天
282,辛苦啦！加油！
283,泪目
284,不务正业
285,有什么好激动得。。。
